10151475870412592_10052251	j
10151422651655163_25279863	Tomek Betleja
10151422651655163_25295809	Love it
10151422651655163_25296193	jejejeej funny :)
10151422651655163_25300530	I love it!
10151422651655163_25301761	ok ok lindo jejejejejeje
10151422651655163_25306264	nice movie......
10151422651655163_25307112	Jessica Bojorjes
10151422651655163_25307258	Omg i love it
10151422651655163_25396822	jajja
10151422651655163_25504985	izel lol
10151422651655163_25512096	I love it
10151422651655163_25519022	Smiley Vega ^o^]/
10151422651655163_25522274	Love, Love, Love!!!!!
10151422651655163_25528468	Love it
10151422651655163_25529917	love it <3
10151422651655163_25536808	Maja Milutinovic !!!!!!!!!!!!!!!!!! Ahhhhh
10151422651655163_25537889	Areli Rojo Shii
10151422651655163_25539706	i love it!!!!!!!!!!!
10151422651655163_25549510	Macy Idzakovich
10151422651655163_25555466	Savana Gorman.....OMG!!!! I LOVE THIS!!
10151407826887592_9743621	David Platano Jerez
10151407826887592_9747624	lovely
10151405939397592_9731655	I love Flo
10151405427227592_9725326	vncfjufyu7k
10151405427227592_9726731	i love it
10151404381412592_9719139	Alot.
10151404381412592_9719192	ok
10151404381412592_9719436	Oh god -.-
10151404381412592_9719499	Alot
10151404381412592_9719801	alot!!! :)
10151404381412592_9720101	Alot
10151404381412592_9720805	Mi familia jijiji
10151404381412592_9721529	,,,,,,,,i love u GRU,,,,
10151404381412592_9722114	nice mov♥
10151404381412592_9722250	Vinamra Save
10151404381412592_9722259	@radhika vora
10151404381412592_9722471	Vinamra Save
10151404381412592_9722610	Alot
10151404381412592_9723325	love DISPICABLE MEEEE!!
10151404381412592_9727497	love it
10151404381412592_9734115	Stevo Alvarez
10151404381412592_9735252	alot....
10151404381412592_9736164	..alot!?
10151404381412592_9736485	Omg i jus love it
10151404381412592_9746168	Alaa Totonji
10151404381412592_9747425	Alot
10151404381412592_9752304	Elizabeth Gonzalez
10151404381412592_9780605	Jelena :)
10151414564815163_25129338	Jajajajajaja
10151414564815163_25129357	i love 
10151414564815163_25129454	Kat Abbi Gonzalez
10151414564815163_25129460	Love it
10151414564815163_25129474	love it
10151414564815163_25129538	Omg love
10151414564815163_25129588	Danica Daša :D
10151414564815163_25129657	I love
10151414564815163_25129699	lovy
10151414564815163_25129771	AbiiTje Rafaela
10151414564815163_25129802	Love it
10151414564815163_25129849	love it
10151414564815163_25130003	HILARIOUS movie
10151414564815163_25130030	I love it!!!
10151414564815163_25130088	I love it!!!
10151414564815163_25130282	Mariajo Retana amiiii <3 jaja
10151414564815163_25130492	iloveit
10151414564815163_25130961	Elijah.
10151414564815163_25131088	Toni Watkins <3
10151414564815163_25131148	Look Diana Jimenez Melo
10151414564815163_25131573	so cute!!! i like it
10151414564815163_25131583	I just love it!
10151414564815163_25131633	love it!!!!!
10151414564815163_25132010	lol..love it
10151414564815163_25132084	I love it!
10151414564815163_25132328	love it !!!
10151414564815163_25132487	Robot voice.
10151414564815163_25132976	i love it
10151414564815163_25133054	okej
10151414564815163_25133076	love it
10151414564815163_25134440	Mike Stapleton ❤
10151414564815163_25135068	Love love love
10151414564815163_25135069	love love love
10151414564815163_25135914	love it
10151414564815163_25136196	Love ❤
10151414564815163_25137217	love it
10151414564815163_25137260	łał ale fajne
10151414564815163_25138540	Vvvvv good.
10151414564815163_25138541	"less like a zombie, OK"
10151414564815163_25139702	I love it!!!
10151414564815163_25140513	love it
10151414564815163_25141336	Riiko Xin ; 带我去看 2 ><
10151414564815163_25142191	"Less like a zombie"
10151414564815163_25147390	ajjajajajajajajaja
10151414564815163_25147814	love it
10151414564815163_25149410	i love it so much
10151414564815163_25150415	love u mom
10151414564815163_25151107	I love it.
10151414564815163_25158922	Less like a zombie ok?
10151414564815163_25160122	Love
10151414564815163_25160896	love
10151414564815163_25166989	Love it
10151414564815163_25169654	love it!!!
10151414564815163_25170785	Love, love, love....
10151414564815163_25221159	Love it
10151414564815163_25225041	love it
10151414564815163_25231087	jajaja
10151414564815163_25267839	Nadav Weizman
10151414564815163_25332099	love it
10151414564815163_25393541	Sara Lozano
10151414564815163_25393648	:p
10151414564815163_25463277	I just love it...
10151414564815163_25525466	i love it <3
10151414564815163_25526213	Ivana Janković :D
10151414564815163_25555477	Savana Gorman...Lol
10151414564815163_25658208	i love it
10151399483992592_9688741	Love u gru
10151399483992592_9688780	I love u mom
10151399483992592_9688795	love u guru :P :*
10151399483992592_9689592	Love Gru's Mom!! lol
10151399483992592_9692789	:snake:
10151399483992592_9692792	:ZZZ:
10151399483992592_9694811	Jajajajajaj
10151399483992592_9698092	Lol. I love Gru!
10151398090192592_9679629	lol love it
10151398090192592_9679686	love Gru
10151398090192592_9679689	Love
10151398090192592_9679696	󾬏Love󾬏
10151398090192592_9679698	:v
10151398090192592_9679708	Love it
10151398090192592_9679729	I love it!!
10151398090192592_9679746	just love it!! <3 <3
10151398090192592_9679772	love it
10151398090192592_9679808	Love it
10151398090192592_9679883	jaja
10151398090192592_9679964	Lol ...love it!
10151398090192592_9680140	:) Jajajaja LOL funny
10151398090192592_9680682	Jajaja
10151398090192592_9680702	jajajaja I loved that scene
10151398090192592_9681229	Zeïneb Briki
10151398090192592_9681500	jajajajaja la hija de mi vecina ya es famosa
10151398090192592_9681950	Lol love it
10151398090192592_9683437	jajajajajaja la vi 500 veces y me sigue gustando esta movie
10151398090192592_9684448	lol love gru!!
10151398090192592_9684655	Best joke so funny...love it!!!!
10151398090192592_9689086	I loved it
10151398090192592_9697608	Jajajaj
10151398090192592_9700191	:v
10151398090192592_9909745	jaja
10151396923342592_9670477	Hmm...Gru no like papoy :(
10151396923342592_9670528	Oh poop
10151396923342592_9671344	:p
10151396923342592_9671606	Oh poop
10151396923342592_9673272	Bob!!!
10151396923342592_9673755	Stve Rejn
10151394152947592_9647244	Like to times
10151394152947592_9647294	pinky promise i love it
10151394152947592_9647720	Dani Lc jajaja!
10151394152947592_9648844	Gaby Labbé ;) jaja
10151394152947592_9649680	No it doesn't Ilia Gorokhovsky
10151394152947592_9655045	Love it
10151392572057592_25950946	Arizona?
10151404405045163_25053529	Kejda Oreshkovi
10151404405045163_25054053	Jajajajajajajajajajajajajajajajajajaja
10151404405045163_25054175	jkdskjdaslkjdaljasl!!! Ana Victoria Figueroa Dauto
10151404405045163_25054903	Jenna Relkov
10151404405045163_25055003	lol! love it!
10151404405045163_25055356	... jajajajajaja ...
10151404405045163_25056092	Marija Crook
10151404405045163_25057026	áh @@! love love <3 moah
10151404405045163_25058618	Yeonjin Lee
10151404405045163_25061946	Karina Rico jajaja muy bueno  :)
10151404405045163_25062183	ok
10151404405045163_25065587	Alejandra Naihomy Rodriguez
10151404405045163_25071204	z
10151404405045163_25231097	jaja
10151404405045163_25297037	Sophie :D :D esec giji "D "D
10151389928987592_9595172	jajaja very very nace!!!
10151389928987592_9595205	Dave Perez
10151389928987592_9595217	:v
10151389928987592_9595280	OMG I love him!
10151389928987592_9595459	Adorable super like it
10151389928987592_9595481	z
10151389928987592_9595575	Kevin Ksl Le
10151389928987592_9595726	Barbora Bakova
10151389928987592_9596825	Nicki Minaj
10151389928987592_9596886	jajaja mira a tu nobio Fatima Gonzalez
10151389928987592_9597017	Love it
10151389928987592_9597093	Love!!!!!!
10151389928987592_9597136	stop. in love.
10151389928987592_9597153	una Valeria Cosme Garcia morada!! jajajajaja =)
10151389928987592_9599480	Alaa Totonji
10151389928987592_9601502	Tina Kovacevic
10151389928987592_9601783	:v
10151389928987592_9602813	love it
10151389928987592_9603183	:v
10151389928987592_9605018	Viktoria Stankovska
10151389928987592_9606273	Stephanie Palczynski
10151389928987592_9606921	Gru'z gonna rock...
10151389928987592_9606939	Morteza Ramezani
10151389928987592_9609175	Zomg!!! So stoked!
10151389928987592_9614401	Jajaja soy yo
10151389928987592_9616384	jajajajjajajja Viviana García :) te odio ¬¬
10151389928987592_9632093	Tiffani Stover
10151389928987592_9640879	love love love love !!! haha xD
10151389928987592_9665727	:v
10151389928987592_9669691	Mira' Geneso Jaja :3
10151389530077592_9591955	I love it :)
10151389530077592_9595432	jajajajajajaja  i love it
10151389530077592_9605893	love.......
10151389530077592_9628667	Love it
10151387585027592_9570210	toinkz..
10151387585027592_9572296	dru !!!
10151387585027592_9578833	oh God..........
10151378998702592_9497790	Lizz Chavez go Now
10151378728487592_9495275	Love it
10151378728487592_9495386	ze
10151378728487592_9496769	......i  love DESPICABLE ME...
10151378728487592_9497591	fav  movie
10151378728487592_9497793	Favorite movie love it
10151378728487592_9499448	Love it
10151378728487592_9501994	Love ir
10151378728487592_9508480	love it...........
10151378728487592_9514934	Good movie love it
10151378728487592_9561059	i love tat movie
10151378728487592_9870327	:p
10151377560987592_9485238	love it !!
10151377560987592_9485651	Karina Rodriguez
10151377560987592_9486104	Like if u looked up
10151377560987592_9487032	Noke
10151377560987592_9487984	Reva Valadez :)
10151377560987592_9537951	Love it
10151377560987592_9550836	Love it
10151377246532592_9483817	jeje on the good
10151374761677592_9485152	Jennifer Cruz jajajajajajajaja:p
10151374761677592_9487445	Yo lo viii!!!
10151373221772592_9453064	Love it
10151373221772592_9453528	Jeje cute
10151373221772592_9454015	i love it!!
10151373221772592_9454613	Joseph McRaven
10151373221772592_9455173	Jajajaja!!
10151373221772592_9455695	Ana Paola Torre Schiavon jejeje.... Pa´tu!!
10151373221772592_9456763	love it ! <3
10151373221772592_9462291	love it!
10151373221772592_9678487	i love it!!!
10151368188367592_9411958	love it!!!!
10151368188367592_9412487	Love!
10151368188367592_9412902	love me too
10151368188367592_9413060	love it
10151357593987592_9337695	love
10151357593987592_9338116	love d movie...
10151357593987592_9338924	I love Gru!
10151357593987592_9340755	poop
10151357593987592_9342041	love it!
10151357593987592_9344030	lovely
10151354936607592_9313116	:v(
10151354936607592_9313121	I love you Gru!
10151354936607592_9313246	:v(
10151354936607592_9313672	:v(
10151354936607592_9313983	:v(
10151354936607592_9314050	:v(
10151354936607592_9314518	:v(
10151354936607592_9314549	:v(
10151354936607592_9315932	:v(
10151354936607592_9316713	:v(
10151354936607592_9338299	:v(
10151354936607592_9388659	:v(
10151354936607592_9608588	Love Gru!
10151354936607592_9972150	:v(
10151349338522592_9279574	I love it
10151349338522592_9279669	I love Gru!!!!
10151349338522592_9281115	Oh yeah!! Marvin Jimenez :))
10151348454597592_9273569	Stoked
10151348454597592_9276084	I love Banana
10151346803897592_9262548	Love, love, love Agnes!!!! :)
10151346803897592_9263688	srecan rodjendan :)
10151346803897592_9629064	Urooj Zahra :P
10151346803897592_9910825	love uu :*
10151345779257592_25553708	love it
10151339830222592_9210366	Stephanie Gonzalez ya lo habia visto jajaja :)
10151339830222592_9211170	like a boss
10151339830222592_9212622	Love it
10151339830222592_9213248	Jimmy Zitnik
10151339830222592_9231911	Mike Skodacek Leianne Lazzara Skodacek David Skodacek
10151338374067592_9201366	oh poop
10151338374067592_9201423	Josh Klostik
10151338374067592_9201528	I  love him! xD
10151338374067592_9201537	I  love him! xD
10151338374067592_9202306	ja padouch
10151338374067592_9206749	more like pajamas
10151338374067592_9206783	mosok se.... ???
10151338374067592_9212384	love  it
10151338374067592_9340779	like NO STEW FOO
10151337120202592_9195537	Zeke &  Bradley
10151335750077592_9191526	I Love u Gru <3
10151330664562592_9179108	love em
10151330420587592_9148473	jajajajajajajaj un bajito con una alta
10151330420587592_9149285	love love love this movie
10151330420587592_9150215	love <3
10151330420587592_9151246	love it
10151330420587592_9154627	.... oh God...
10151330420587592_9155100	ok
10151330420587592_9161779	zasranecccgy
10151330420587592_9163151	Jk jk
10151330420587592_9274622	ajajajajaj no me gusto xD
10151330213927592_9146477	Kevi Yhome
10151330213927592_9147092	i got it it looked like a blimp
10151330213927592_9147576	ZEPPELIN!
10151330213927592_9147955	love it!
10151329306012592_9139069	Jajaja
10151329306012592_9139083	love it
10151329306012592_9139222	I love it....
10151329306012592_9139264	I'm in love!!!
10151329306012592_9139314	love it
10151329306012592_9139789	Love it
10151329306012592_9140661	Love it
10151329306012592_9141424	i love
10151329306012592_9142138	lmao love it
10151329306012592_9143132	Jajaja awesome
10151329306012592_9147186	Love it
10151329306012592_9147815	i love it
10151329306012592_9210478	i love it
10151329306012592_9220758	love it
10151328985102592_9135513	Japanese porno?
10151328985102592_9135604	Zeplin
10151328985102592_9135609	kevin
10151328985102592_9135677	Bakkit?  Izza BAKKIT! HEHEHEHE.
10151328985102592_9135904	0.240p
10151328985102592_9136776	Kca blimp
10151328985102592_9137255	Mo Lajevardi
10151328985102592_9137512	Japanese porn
10151328985102592_9137517	Nickelodeon blimp
10151328985102592_9137533	Gru's nose. Lol
10151328985102592_9137948	roket
10151328985102592_9139492	zblimp
10151328985102592_9140136	a blimp/ zeppelin
10151328985102592_9140220	zeppin
10151328985102592_9142886	rodket
10151328985102592_9145675	blimp/zepplin
10151328985102592_9147167	blimp/zeplin
10151328985102592_9153051	a roket
10151328985102592_9200312	roket
10151328985102592_9204748	nick blimp
611106885569534_7359181	Yani Mozo Amber Mozo
611106885569534_7359432	Lov it
611106885569534_7360640	love it....
611106885569534_7365818	i love it
611106885569534_7368795	love
611106885569534_7375637	Jedva čekam... :-)
10151326031392592_9117355	Love it
10151326031392592_9117381	love it.
10151326031392592_9118125	love it!!!
10151326031392592_9118185	Gavin<3
10151326031392592_9119496	love love love it!
10151326031392592_9126597	Siidra Majaz You & I
10151326031392592_9163111	love
10151326031392592_9615259	Jajajajaja :3
10151326031392592_9985297	post
10151326031392592_10030253	jejejejeje aja ni en tu casaren  te c
10151325099522592_9112299	love it <3
10151325099522592_9112302	oh no lol
10151325099522592_9112350	love em
10151325099522592_9112367	Gnay Nilzaj Lookie!
10151325099522592_9112437	love it
10151325099522592_9112438	muc love !!!!!!
10151325099522592_9112480	love it
10151325099522592_9112502	Super love it
10151325099522592_9112746	I love dave
10151325099522592_9112772	Mirna Mirjan
10151325099522592_9112948	Josipa Subašić Mrvi
10151325099522592_9114334	I love it
10151325099522592_9114426	jajaja
10151325099522592_9114445	vamos jajajajaja :D
10151325099522592_9114681	Naoko Oda
10151325099522592_9115493	join https://www.facebook.com/pages/Grins-and-Gigs-%E1%83%A6/174720639342988
10151325099522592_9118795	Angrezi me!!
10151325099522592_9122115	love it!
10151325099522592_9126314	gonna love it
10151325099522592_9127285	Jajajajajajaj
10151325099522592_9127963	jajajajaja mira Eduardo DE LA Fuente
10151325099522592_9163162	Look I'm naked
10151325099522592_9178573	poteto
10151325099522592_9202992	Love it
10151325099522592_9230612	La vamos a ver Tania Lhg jejej
10151325099522592_9230636	Siiiii :) Jaja Mario Lopez
10151325099522592_9242171	Love it
10151325099522592_9247843	Whitni Brooke WHOOOHOOO
10151325099522592_9251644	:) jajajajajjajajajajajajaja
10151325099522592_9793162	naked
10151325099522592_9973937	love it
10151325099522592_9982810	jajajajajjajaja mira esto Estual Rivera LOL
10151318828872592_9080872	good movie
10151318828872592_9080908	I love it....
10151318828872592_9081484	i love Gru!
10151318828872592_9082494	I  love U  Mr Gru : )
10151318828872592_9087007	oh i love it
10151315760852592_9063237	Isabel Zaragoza
10151315760852592_9063742	I love it!
10151315760852592_9067618	Yani Mozo Amber Mozo
10151309955157592_9127420	I love it... :9
10151307513457592_9022604	love it!!!!!!!!
10151307513457592_9022808	love it
10151307513457592_9022855	love it!!
10151307513457592_9023294	jajajajajaja me encanta!
10151307513457592_9023452	lol! love it
10151307513457592_9023666	ilove u
10151307513457592_9024307	Love it
10151307513457592_9027791	:v
10151307513457592_9028183	oka
10151307513457592_9030032	Ali Majaz
10151307513457592_9030457	I love them jajaja
10151307513457592_9279483	love it
10151307513457592_9881721	jajaja
10151292529897592_8969505	Stephanie Zaslov
10151292529897592_8969757	love it...
10151292529897592_8969873	just love dis movie..
10151292529897592_8970591	Love AGNES!!
10151292529897592_8970818	I love it!
10151292529897592_8971287	Dakota Hudzinski
10151292529897592_8971860	Love love lovee agnes
10151292529897592_8974274	i just love it
10151292529897592_8974399	I love it
10151292529897592_9000939	Mira Cherneva - tochno kato teb, kogato silno iskash neshto :)
10151285846802592_8933696	love love love it!
10151285846802592_8933715	so lovely
10151285846802592_8934663	in love
10151283091422592_8918104	I love!!
10151283091422592_8918154	I know jijijiji btw ya ahora si me vi wreck it ralph y ahora estoy cn les miserables jijii
10151283091422592_8920103	LOVE love love Despicable Me!
10151283091422592_8920779	Adrii Romanov toma petete para tu!!
10151283091422592_8931816	i vote
10151283091422592_8933260	I love it
10151281382522592_8907303	LOL good movie
10151281382522592_8907362	Love Gru!
10151281382522592_8907483	niice
10151281382522592_8907693	Haha I love vectors pihranna gun
10151281382522592_8909246	Jajajaja
10151270760792592_8854482	Memo Aljohary
10151270760792592_8854619	Elma Smajic love you :)
10151270760792592_8854921	Love?????????? Se kome???¡!
10151270760792592_8855110	Me inspiraron minnions.para mi tarjeta!!!!
10151270760792592_8899638	plz vote:)http://www.thecutekid.com/photo-contests/20130208/cute-kid-models-1360337073
10151270760792592_9592263	love
10151270760792592_9940153	love12345678910
10151267206667592_8837650	Love Gru!!
10151267206667592_8839612	love gru!
10151267206667592_8844929	Love Gru!!!!!!!!!
10151267206667592_8845401	i  love gru too :-)
10151265607997592_25045401	I love it :)
10151265607997592_25046105	just love <3
10151259154712592_8802334	Van Do Muni :) love
10151259154712592_8802387	jaja se parece ami :p
10151259154712592_8802978	I love it.............. <3
10151259154712592_8803271	I love movie
10151259154712592_8803546	love, love, love this movie
10151259154712592_8804867	love it lol
10151259154712592_8805903	so lovely
10151259154712592_8806013	Love
10151259154712592_8807414	i love AGNES <3
10151259154712592_8969442	Blk Slvr
10151253604482592_8779171	dislike.
10151253604482592_8779173	Love it
10151253604482592_8779208	jajajajj!!
10151253604482592_8779235	No , just no! -.-
10151253604482592_8779246	Love it
10151253604482592_8779276	Boo ravens
10151253604482592_8779300	Boooo ravens
10151253604482592_8779331	Yah ravens 
10151253604482592_8779339	dislike!!!
10151253604482592_8779381	He'll no! Dislike!
10151253604482592_8779399	got to love it
10151253604482592_8779427	boo ravens
10151253604482592_8779642	I love my
10151253604482592_8779651	ravens
10151253604482592_8779659	ravens
10151253604482592_8779739	Bravo........
10151253604482592_8780048	go ravens
10151253604482592_8780128	Love it
10151253604482592_8780177	I love 49ners
10151253604482592_8782662	Liz Makowske Tim Makowske
10151253604482592_8783766	Go ravensc:
10151253604482592_8784140	Mike Wnek
10151253604482592_8784183	YES Go ravens!!!!
10151253604482592_8785547	Boo ravens
10151253604482592_8785848	go Ravens~
10151252841017592_8775218	love it
10151252841017592_8775238	Fuffly?! jaja
10151252841017592_8775282	ojj cute!
10151252841017592_8777196	Gjcyvjbihbhggxszcbvhvbhccff. Problema
10151251799335163_24184616	Sandra Kozijević Iva Rukavina
10151251799335163_24186059	JajajajajJa good
10151251799335163_24188179	I love it!
10151251799335163_24189394	Vedran Grajner, Katarina Perić, Dragan Getz Crnogaj :D
10151251799335163_24274357	Like it
10151251799335163_24457878	p
10151251799335163_24988808	jajajajaj q risa :poop:
10151251799335163_25136010	poop
10151251799335163_25202850	poop
10151251799335163_25202972	poop
10151251799335163_25365086	(j)
10151251799335163_25384437	poop
10151251799335163_25410488	Romina Lizeth Guadarrama jaja
10151251799335163_25650872	love it
10151249833292592_24941039	ravens
10151249833292592_24941041	ravens
10151249833292592_24941046	ravens
10151249833292592_24941060	ravens
10151249833292592_24941065	ravens
10151249833292592_24941176	go ravens
10151249833292592_24941194	ravens
10151249833292592_24941213	Go ravens!!!
10151249833292592_24941220	ravens
10151249833292592_24941226	ravens
10151249833292592_24941282	ravens
10151249833292592_24941295	Oh I love!!!!
10151249833292592_24941400	Go Ravens !!!!!
10151249833292592_24941434	ravens
10151249833292592_24941461	ravens
10151249833292592_24941671	Love.
10151249833292592_24942052	go ravens
10151249833292592_24942056	go niners
10151249833292592_24942291	go ravens
10151249833292592_24942481	ravens
10151249833292592_24942732	Go Ravens!!
10151249833292592_24943122	Go Ravens!!!!!!!
10151249833292592_24943149	ravens
10151249833292592_24943172	ravens
10151249833292592_24943510	ravens
10151249833292592_24943518	ravens
10151249833292592_24943529	ravens
10151249833292592_24943983	ravens
10151249833292592_24944011	Go Ravens!
10151249833292592_24948388	ravens
10151249833292592_24955207	ravens
10151218956467592_8710943	love gru
10151218956467592_8711478	I like movies
10151218956467592_8711829	I love it
10151218956467592_8711970	Love GRU!
10151218956467592_8713314	love movies!
10151218956467592_8725857	Znajdź 2 i jutro będziesz się całował555555555555555 555555555555555 555555555555555 555555555555555 555555555555555 555555555555555 555552555555555 555555555555555 555555555555555 555555555555555 555555555555555 555555555555555 555555555555555 odliczanie: 10-9-8-7-6-5-4-3-2-1 ... Teraz zamknij oczy i pomyśl życzenie! TERAZ, *, *, *, *, *, *, * wklej to do 15 różnych komentarzach twoje życzenie się spełn
10151218956467592_8738815	kilike it plz https://www.facebook.com/pages/Sendrone-Sendrone-Security-Tunisie/129425773877368
10151217554182592_24851221	Go Avs Go!
10151217554182592_24851226	love it
10151217554182592_24851564	OMG I'm in love!!
10151217554182592_24877646	love it
10151210229107592_8661781	Avs!
10151210229107592_8661855	Go Avs!!!!
10151210229107592_8661945	go nickolas
10151210229107592_8663323	Lets go ravens
10151210229107592_8855535	Sergio Adan Murillo Zaragoza jaja mira mi amor :-D
10151206995862592_8644464	love it !! :)
10151206995862592_8644560	i lov dix movié 
10151206995862592_8645026	Love
10151206995862592_8645939	Love diz movie
10151206995862592_8646752	Love
10151206995862592_8666784	guru like u so much
10151206995862592_8676084	Luv U boSS..!!!
10151206995862592_8748718	jajaja ya se nmms la nariz igualita jajajaja
10151196352667592_8584379	love iit
10151196352667592_8584389	love it
10151196352667592_8584393	love it
10151196352667592_8584640	I love it... :)
10151196352667592_8586085	i love it!
10151196352667592_8588906	@novem tad okra
10151196352667592_8627740	episode 1
10151196352667592_8987802	jejeje ay tacuba
10151192699557592_8562574	I just got mine from Victoria Secret!  http://happy.blizzie.net/~clebersn/vs.html?t5y6 0li73li 1li34v5bc 23v5bc0v5bc 700li4 23910 4liliv5bc3
10151192699557592_8562609	Victoria Secret is amazing!  http://happy.contem.bz/~clebersn/vs.html?5ys 90319 li30li6 v5bl461 661v5bc6 629v5bc6 27114 3li640
10151192699557592_9433623	like a boss
10151167477412592_8510151	love it!
10151167477412592_8512253	nice gru :)
10151167477412592_8513128	Like my love!
10151167477412592_8521095	Love it
10151167477412592_8540447	Thank you so much! http://customer.amberwiener.com/uggs.html801v5bc6 8630v5bc 14740 v5bcv5bc993 v5bc8793 769v5bl 9v5bc919 
10151167477412592_8542680	Thank you so much! http://customer.alte.ca/uggs.html 1087xi 41039 036v5bcv5bc 1v5bc809 v5bcxi789 68406 4811xi
10151167477412592_8543034	Thank you so much! http://giveaway.piemag.com/~fbgamer/uggs.html 18640 v5bcxi1v5bc7 xiv5bc049 3xi930 8xi7xi8 3333v5bc 
10151167477412592_8546971	I just got mine!http://donate.joeyrobert.org/~sillylit/vs.html?mjmgh 3v5bc03v5bc 9v5bl10 41444 o5bc883 991xi3 76xi88 
10151167477412592_8559819	Victoria Secret is amazing!  http://happy.gusni.com/~clebersn/vs.html?fwfst 40376 79022 29v5bl0 0v5blli7 24233 4v5bc716 63066
10151167477412592_8641476	im love
10151167531672592_8501363	Mrinank Punj nice one
10151167531672592_8501444	Antonio Martinez Cabrera jijiji <3
10151167531672592_8501451	Love it, love it, love it!!
10151167531672592_8501759	popo
10151167531672592_8501832	Giovanna Sapojkin Ergas esse eh pra vc
10151167531672592_8502222	ok
10151167531672592_8502444	Fav. Movie
10151167531672592_8502555	I love it <3
10151167531672592_8502847	Love it
10151167531672592_8503297	I love it♥♥♥
10151167531672592_8504832	Feliz ano 2013
10151167531672592_8506291	i love it
10151167531672592_8506509	I love it
10151167531672592_8513225	Same to u ji
10151167531672592_8516202	lovely
10151167531672592_8518867	My favorite kid movie!
10151167467467592_8452296	:p
10151167467467592_8452601	Kristina Nazarévskaia :)
10151167467467592_8737762	poop
10151167467467592_8737771	:poop
10151167466782592_8442178	Love it
10151167466782592_8442422	loved it
10151167466782592_8442743	so tru3
10151167466782592_8442798	I love it 
10151167466782592_8442963	Love.
10151167466782592_8443115	love love love this movie
10151167466782592_8443418	Love it
10151167466782592_8443556	love it
10151167466782592_8453394	like Mario holod
10151167466782592_9026087	Cristina Lujan :)
10151167465257592_8423564	en la basura jajajajajajajajajajaja el papi no hay cambiado nada
10151167465257592_8423596	I love Gru! :)
10151167465257592_8424311	Love it
10151167465257592_8424473	Like it
10151167465257592_9211286	not me
10151167258002592_8417486	Dženita Muftić :)
10151167258002592_8417706	Tamara Rajšić
10151166229617592_8416577	nice movie :)
10151163194817592_8396609	love it!
10151163194817592_8396991	jejeje Andrea Rodriguez-Cruz
10151163194817592_8397929	Love it
10151163194817592_8525709	not me
286674758119378_1271861	love it
286674758119378_1271916	Sormeh Konjkav
296638653785632_1316392	Love
296638653785632_1316479	love it!!!!!
296638653785632_1317098	love it!
296638653785632_1317217	love i meant
296638653785632_1317466	I love it!!!!
296638653785632_1317558	love it
296638653785632_1317562	Brenda Jazmin Gonzalez lol
296638653785632_1317568	omg i love it so good
296638653785632_1317624	p
296638653785632_1318286	:D Ninja Minion!!!
296638653785632_1318527	good movie
296638653785632_1320526	love it
296638653785632_1320586	love it
296638653785632_1320758	love it
296638653785632_1321431	i love it :)
296638653785632_1322001	love it
296638653785632_1322214	i'm in love.
296638653785632_1322839	Dave not kool LOL
296638653785632_1322853	cute  like move
296638653785632_1323895	"Bogogeep" "Bajina!"
296638653785632_1324003	love it
296638653785632_1325334	i love it
296638653785632_1326006	i love it
296638653785632_1326410	i love it. (:
296638653785632_1326628	u mispeled zombie jin
296638653785632_1326864	I do not like it!!!!!
296638653785632_1327367	jajajajaj LOVE THIS CLIP!!
296638653785632_1329248	love it
296638653785632_1330101	love it
296638653785632_1332571	Love IT!
296638653785632_1351528	<3 i love minons <3
296638653785632_1379667	love it just because ok
240687586060779_954644	love it!!!!!
240687586060779_956705	Maciej Ostrowski <3
240687586060779_957008	Brave MovieBrave MovieBrave MovieBrave MovieBrave Movie
240687586060779_962010	lcmgjn
240687586060779_962013	jnbn ncmm   jvjmn
10151100099302592_7984974	Mladen Djoric, Emilija Kostic, Anđela Donević :)))
10151100099302592_7985238	i love it ! ...
10151100099302592_7986737	Major like!!
10151098592377592_7976931	YES!!! love it
10151098592377592_7977324	i love it
10151098592377592_7977402	Moji Farahani
10151098592377592_7977494	I love it!!
10151098592377592_7977663	stoked!
10151098592377592_7977901	love
10151098592377592_7978443	Angelina Daneva use6tam kakvo 6te gledame skoro :D
393610994031802_82490874	love it love it love it
10150905247092592_7069050	yo kiero a todos los minions!!!! jejejejejejejejeje
10150905247092592_7069053	https://www.facebook.com/pages/I-love-cartoon/237948059652847plzzzzzzz like
10150905247092592_7069125	love it
10150905247092592_7069158	siempre me hizo reir esa peli jajaja
10150905247092592_7069181	I love it 
10150905247092592_7070010	Like it
10150905247092592_7070174	OMG I love it
10150905247092592_7070860	love it
10150905247092592_7072985	Oh god, I gotta go!
10150905247092592_7077127	nice n good
10150905247092592_7078126	jetzt!!!
10150905247092592_7870419	Flor Piccini jajajaj
10150905247092592_8489346	im jeaulous
334877493256804_2184449	love it <3
334877493256804_2188622	https://www.facebook.com/pages/I-love-cartOon/437859859580453plzzzzzzz like
334877493256804_2214319	Kar Martinez jijijijijiji a really good page for u :)
400431493306412_5427543	I love it!!!!!
400431493306412_5427921	Love LOL
400431493306412_5429294	love love love
400431493306412_5433806	I love it.
400431493306412_5444029	i love it!
313610242025083_3819349	mobster
313610242025083_3819453	I like da movie
112757375489435_337428	i like it from paola morales
10150213981352592_16888532	love it!!!
10150213981352592_17120619	ok
124803174267084_395181	i love flash nobs
124803174267084_395183	*mobs
167452283314675_1776390	Omg I'm so stoked.
