10151475870412592_10052349	Kaylee Cox
10151448444637592_9942130	haha
10151448444637592_9942336	aaaaaaaaaaaaaaagggggggghhhhhhhhhhhhhhh
10151448444637592_9942865	Hahaa, Curly Evil..
10151448444637592_9943868	Hahaha
10151448444637592_9944856	aaaaaaaaaaaah!!! what's up wey? haha....
10151448444637592_9945328	ha....................................
10151448444637592_9945339	So calm
10151448444637592_9947185	hahahaha
10151448444637592_9955821	Hahaha
10151448444637592_9957388	dalay
10151448444637592_9966484	Hhhhhhaaaaaa
10151448444637592_9967719	ha ha ha ha ha ha ha ha ha ha ha ha ha!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10151448444637592_9967963	OMG hahahahahahahahahahah!!!!!!!!!!!!!
10151448444637592_9975715	hahahahahahahahahahahahahahahaha OMG
10151448444637592_10001048	haaaa
10151459176355163_25478175	haha
10151459176355163_25478180	hhahahahahahahah lol
10151459176355163_25478207	Ashleah Holbrook u me and jake okay haha
10151459176355163_25478377	yeahh
10151459176355163_25478404	Isaac <3
10151459176355163_25478423	hahahahahaa LIKE!
10151459176355163_25478486	Yay.
10151459176355163_25478520	0:23 hahaha
10151459176355163_25478522	hahahahaha I like that
10151459176355163_25478529	soooooooo excited Marco Pulido
10151459176355163_25478576	baaaaaaaaaa! Cant wait!!!
10151459176355163_25478626	Minions: Bottom hahahahahahahahahahaha
10151459176355163_25478665	awwwww dave
10151459176355163_25478690	MEEEE. DESPICABLE-MEEE
10151459176355163_25478767	looks so good!
10151459176355163_25478850	wat
10151459176355163_25478983	sooooooo cute
10151459176355163_25479155	Bottom hahahahahah...
10151459176355163_25479340	bottom buhahahahhaha
10151459176355163_25479398	Bottom hahahahahaha
10151459176355163_25479453	Hahahahahahahahahaha bottom hahahahahahahahahaha
10151459176355163_25479617	Bottom! Hahahahahahha
10151459176355163_25479679	Janie Hilton hahahaha
10151459176355163_25479685	waaaaaaaaaahahah... eggzoyted to this movie!
10151459176355163_25479945	Javier Zuniga hahahaha tan lindooooo <3 me encanta como abla! haha :p
10151459176355163_25480493	whoo-hoo! 
10151459176355163_25480569	yessss we doo need to see it soon!!! Carla Amaya
10151459176355163_25481235	Bottom bahahahahahaha BA Naa Naaa.
10151459176355163_25481459	I wanna see it
10151459176355163_25482420	SO AWESOME!!!!
10151459176355163_25482445	Haha
10151459176355163_25482732	Wow! JULY nahH?
10151459176355163_25483138	Shameeza Subtil
10151459176355163_25484119	so funny. haha
10151459176355163_25485316	EARTH TO DAVE! BOTTOM!!!!! hahahaha 2 funny
10151459176355163_25486155	Norma Shabot Salama
10151459176355163_25486158	Aby Abdullah
10151459176355163_25487156	que lindoooooooooooooooooooo
10151459176355163_25489755	"Hee hee hee. 'Buttom' hahaha..!!""Hilarious..."
10151459176355163_25491483	cafonaaaaaaaaaaa!!
10151459176355163_25499317	hahaha
10151459176355163_25499489	Aaawwwww
10151459176355163_25500394	4 day befor my b-day
10151459176355163_25501316	Alexa 0:29 omg
10151459176355163_25501354	Hahaha yeah :D
10151459176355163_25501413	Idkaaay? Whenever you can
10151459176355163_25501457	They r soo adorable
10151459176355163_25502124	Haha bottom
10151459176355163_25502365	bottom ahahah <3
10151459176355163_25502409	Yay!
10151459176355163_25502445	Yay!
10151459176355163_25502846	Imaaaa go watch it in da first daii :)
10151459176355163_25503048	Neidyn Regalado
10151459176355163_25503312	its not his bald head muahahahaha
10151459176355163_25503339	Chevy Smith yaaaaaay can't wait bebe ^.^
10151459176355163_25503340	Hahaha bottom
10151459176355163_25503385	Michael Song yaaaaay!!!!
10151459176355163_25503771	Bedo beedo beedo
10151459176355163_25504966	hahahaha botttom
10151459176355163_25505282	haha bottom hhaha XD
10151459176355163_25505877	i wana see it
10151459176355163_25505980	Lucy Abigail 2 days before your bday!! :)
10151459176355163_25505984	Hahahaha!!! BOTTOM
10151459176355163_25506146	Wut
10151459176355163_25507118	Yaaay Cant wait ^_^
10151459176355163_25509238	....bottom :) hahaha Calandra Dawson
10151459176355163_25509379	Hahaha
10151459176355163_25509466	hahaha Bottom... HAHHA
10151459176355163_25509922	can i tag myself? hahaha Gerald Arroyo
10151459176355163_25510342	Mansoor Mohd Abdul
10151459176355163_25510510	hahaha bottom haha
10151459176355163_25510736	Makisha Jamainne
10151459176355163_25511221	haha. mad cute.
10151459176355163_25511572	Yeaaaaaaaa finally
10151459176355163_25514334	My birthday :*
10151459176355163_25515360	yay!
10151459176355163_25516143	Shana Ta'afua
10151459176355163_25517577	Wanna see it so bad :D
10151459176355163_25518906	Hihi BOTOM!
10151459176355163_25519385	hihi BOTOM!lol
10151459176355163_25521466	xD
10151459176355163_25521968	Heehee bottom hahaha!!!! LOL XD:
10151459176355163_25522155	heck yaa lets go :D
10151459176355163_25522365	Lmaooooooo ctfuuuu e you know it all dang 
10151459176355163_25524295	Mashaal Amjad Hahahaha this so epicc :D
10151459176355163_25525496	Haha bottom... I'm so excited hahaha
10151459176355163_25526275	hahahahahahahahahahahahahahahhaha 'bottom' hahahahaahah Daniel Olalde
10151459176355163_25526551	hahahaha cuando sale
10151459176355163_25526624	Bottom....hahahahaha!
10151459176355163_25526822	Hehehe bottom hahahahaha
10151459176355163_25527772	sbhana alah
10151459176355163_25529467	Yeah (: lol
10151459176355163_25530583	Yayaya~~
10151459176355163_25531549	bottom ha ha ha haaaaaaaaaaaaaaa
10151459176355163_25533688	Shanda !!!!
10151459176355163_25537024	Hahahaha bottom
10151459176355163_25538480	hahahahahahahahahhahaahahaahahahahahhahahahhahahahaahhahashhahahahhahahhhhfhhhahahahahahghshaghhfahahhaah
10151459176355163_25538501	https://www.youtube.com/watch?v=tqVL_Mhcup0&feature=youtube_gdata_player share
10151459176355163_25540303	Babe we needa go see this Siiiiii ?Oscar Martinez <3
10151459176355163_25540329	Siii! :) Alma
10151459176355163_25540366	Sii babe ,3
10151459176355163_25541732	hhaha ":D
10151459176355163_25542025	Daisy-lynn Salomon :) we go watch em yah?
10151459176355163_25546905	Madison Mahan
10151459176355163_25550613	i want to see it soooo bad
10151459176355163_25555272	haha bottem hahah
10151459176355163_25559571	haha bottom
10151459176355163_25567925	DAVE..... EARTH TO DAVE! You can leave now. Oh, ahh bakadobidobi\
10151459176355163_25584925	Bottom hahahaha Jorge Ramirez
10151459176355163_25586042	2 july on malaysia
10151459176355163_25593549	bottom!! hahahahahahhaha
10151459176355163_25604444	bottom hahahahahahhahahahaha
10151459176355163_25608229	buttom hAhahahahahahahahahahahahahaha!!!!!!!!!!!!!!!
10151459176355163_25661747	Gumiho Sheeta <3
10151459176355163_25667896	hahaha LOL
10151441542812592_9908344	Bee doo bee doo bee doo!!!
10151441542812592_9908347	Awww
10151441542812592_9908353	Aww
10151441542812592_9908367	Bananaaaaaaaa......
10151441542812592_9908375	xD
10151441542812592_9908508	kawaii~~~~♡
10151441542812592_9908793	Beedo beedo beedo beedo. :D
10151441542812592_9909453	hahahahahahaahahahahahahahhahahahaha he looks halarious
10151441542812592_9909770	hahaha....what a look
10151441542812592_9910300	SO MUCH FUN!!!!!!!!
10151441542812592_9910692	adorableeeeeeeee
10151441542812592_9911556	(Y)
10151441542812592_9911635	Wkkwkwkwkkwkwkwkwkkwkkwkwkkwkwkwkwkwkkwkk .. LUCUUU :D motorr sayaa jadii diibrending .. :D 
10151441542812592_9916676	heh ko kamu jadi cewe.....
10151441542812592_9923061	Whaaa!
10151441542812592_9960004	hahaha
10151441542812592_10014091	hahaha
10151441542812592_10016222	ahahhahaha i agreed with micah kirk
10151441542812592_10043278	jajaja . is a minion like a mother   hahahahahahahaha .
10151441203797592_9906664	;) Alex Madrigal
10151441203797592_9906676	banana !ah ?
10151441203797592_9906745	HULA BANANA!!!
10151441203797592_9906762	frozen ba ba ba ba ba ba bananaaaa
10151441203797592_9906788	I wanna badadaaaa!
10151441203797592_9906825	You want my banana..... I know you do..... Too bad...lol
10151441203797592_9906827	coca coca ca nan naaa naaaa naaa
10151441203797592_9906828	"Oooh bahnaana"
10151441203797592_9906870	huh?...!?!?!?! ....Bananaaaaaaaah?
10151441203797592_9906879	Caaaa-Baannanaaa!
10151441203797592_9906899	Awww I could have had a Ba Na Naaaa!!!!!!
10151441203797592_9906965	ook A Nababa!
10151441203797592_9907016	Wanana!?!?!
10151441203797592_9907027	Buhnaaanaaa....
10151441203797592_9907029	Lime ooo banana..oooo
10151441203797592_9907040	Go Hawaiian.
10151441203797592_9907092	Baaaa Naaaaanaaaaaaaaaaas are so much better for you my minion
10151441203797592_9907103	Bbeeee blo nana bleep....ahahahahah!
10151441203797592_9907137	MINION SMOOTHIE
10151441203797592_9907193	Hahahahahah banana pop. Hahahaahah
10151441203797592_9907261	Eat this banana it makes you feel good. Hahahahah!
10151441203797592_9907263	Bananaaaaaaah? *Blah!* Bananaaaaaaah!? Bananaaaaaaah!!!!!!!
10151441203797592_9907278	Oo, Oo, Oo nan-a nan-a boo boo ee ee sickel sickel?
10151441203797592_9907282	Oooooo.....banana!
10151441203797592_9907313	Babaaaaabaaa :)
10151441203797592_9907348	Whaaaaaaattttttt
10151441203797592_9907349	"ooo ooo er ook no ands" hahaha
10151441203797592_9907464	Want a banana?   Na I'm good.
10151441203797592_9907523	:o bananaaa....
10151441203797592_9907533	eeehh banana
10151441203797592_9907605	Hah BANNA naaa
10151441203797592_9907615	Aruba jamaica oo I wanna take ya ...
10151441203797592_9907649	Ba-Na-Na!? Whaaat?! they had Ba-Na-Na's! ?
10151441203797592_9907829	Oooohhhh, baaanaaana......
10151441203797592_9907890	Soo bubboy?
10151441203797592_9907898	Baannaanna   Uh bwanan uhhhh
10151441203797592_9908185	Ohhhh, frozen ga ba banana? Wanna trade frozen ghu ba ba banana?
10151441203797592_9908295	Whanna banna??
10151441203797592_9909016	ooooooooo banana
10151441203797592_9909315	"Gelatooooooooooooo..." "Banana?" ":O"
10151441203797592_9909381	Bananada? Hee-hee-hee , nah- nope!
10151441203797592_9909401	Wanna banana?
10151441203797592_9909625	"oooh banana! GET THISH POPSHICSHIL OFF OTH MY THUNG!!"
10151441203797592_9909975	ooooo Banana....  Yonk!
10151441203797592_9911328	Ba-NAN-a
10151441203797592_9912624	Ba-na-na-na-naaaaaaaaa!!!
10151441203797592_9915347	eh, banana?  uh....banana?  hey, BANANA!
10151441203797592_9916399	Frozen ba-na-whaaaaa
10151441203797592_9917031	wow a magic bananas yay : }
10151441203797592_9930397	Mil hi gaya BANANA....
10151441203797592_9932751	hahahaa.. awsome!!!!
10151441203797592_9935636	Share share my baaaanannnnnaaaa!
10151441203797592_9941070	do you wanna go and.......gulf
10151439790857592_9900268	Maddie
10151439790857592_9900291	Heeell yeeeeaaaah!! :D.. 
10151439790857592_9900301	XD
10151439790857592_9900323	wanna see
10151439790857592_9900410	yah cant wait
10151439790857592_9900562	Hahahaha :DD
10151439790857592_9900747	be aware
10151439790857592_9900813	KAMPIHAN NA KITA!!!!
10151439790857592_9900998	NUEVO HACK DE GEMAS DE DRAGON CITY QUE SI FUNCIONA!!!!!! ES EL UNICO!!! :D :D :D (Y) (Y) ME DIO MILES DE GEMAS! EBTRA YA ANTES QUE DEJE DE FUNCIONAR!http://www.youtube.com/watch?v=kBxGbdXyYQ8 (Y) (Y) :D :D ;) ;) :3 :3 :3
10151439790857592_9901493	haha
10151439790857592_9901559	MaBey
10151439790857592_9901830	i want 2 see that soooo bad
10151439790857592_9922635	Ha ha ha freeze way!
10151439790857592_9954028	LIPSTICK TASER!!!Hahaha
10151439790857592_10000325	boy and girl too :D
10151439790857592_10025434	Good haha  funny
10151439301947592_9898126	Mhahahahahahahahahahaahaahaahahhahahaahhaahahahahah!!!!!!!!!!!!!!     XD
10151439301947592_9898141	mwhahaha! XD
10151439301947592_9898192	Mooohahahahah XD Jk jk Muahahahahahhahahah!! 8D
10151439301947592_9898204	Harsha Malkani
10151439301947592_9898210	Wa ha ha ha ha ha!!!!!!! =D <3
10151439301947592_9898215	Mwahaha >   <O
10151439301947592_9898246	MOOAH HA HA HA HAaaa :*
10151439301947592_9898468	Mooo hahahahaha!!!
10151439301947592_9898625	XD
10151439301947592_9899604	Oh yeah! :)...muwahahahaha!!!
10151439301947592_9953366	muhahahahahahahahahaheeheeheehohohohahahahahahahaha bleeeeeeeeh
10151439301947592_10014327	hola
10151437914872592_9892285	potatooooooooooooooooooooooooooooooooooooo
10151437914872592_9897762	Rabiya Muqtadar
10151437914872592_9999191	ba ba ba la banana ba ba ba... o.O
10151436905802592_9887658	oooo
10151436905802592_9888092	OH boy!
10151436905802592_9888550	That is waaaaaasy too many minions!!!
10151436905802592_9889086	woooooooow :-O
10151436905802592_9945303	Did he skip leg day?
10151436905802592_9963552	dami
10151436905802592_9963554	waw
10151450219560163_25408991	woohoooo
10151450219560163_25409100	So CUTE!!!!!
10151450219560163_25409125	ooo yeaaaa
10151450219560163_25409142	ieiii !!:X
10151450219560163_25409186	Casey De La Cruz I say we go :D yea yeah?!.
10151450219560163_25409202	Waaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaah... giggle
10151450219560163_25409269	Aww
10151450219560163_25409272	yay look Dewayne Doan ,,, myyyy turnnnnnnn
10151450219560163_25409313	WOW ON MY BIRTHDAY -_-
10151450219560163_25409319	(Y)
10151450219560163_25409395	Mayra Salceda
10151450219560163_25409399	YAY, ONE MONTH TO GO!!!! BEEELLLAAA BELLA BANAAANAAAA!!!! xD
10151450219560163_25409404	yehey... ^_^
10151450219560163_25409415	hahaha LOL
10151450219560163_25409458	OH YASSSSSSSSSSSS!!!!!!!! lol
10151450219560163_25409460	Wesam Aleyadeh
10151450219560163_25409482	I wanna se
10151450219560163_25409492	Sydney Gallina
10151450219560163_25409650	Walaa Walua'a
10151450219560163_25409665	yay!!!
10151450219560163_25409767	BEEE DO BEEE DO BEE DO lol
10151450219560163_25409817	BEE DO BEE DO HAHAHA lol
10151450219560163_25409878	hahhahahahaa super funny!!! i love it!! <3
10151450219560163_25409945	Bahboy!
10151450219560163_25410057	I caaaannt waiittt ! (:
10151450219560163_25410106	butt hahahahahaa :P
10151450219560163_25410210	(Y) :D
10151450219560163_25410258	Sayeed Ovi
10151450219560163_25410260	Shadi Samari
10151450219560163_25410262	waaaaaa Valentina Castro Schakira Kirlay <33333
10151450219560163_25410281	b-do-bee-do-bee-do
10151450219560163_25410445	Montse T. Lemus hahahahahhahaha ioioioioioioioioooo hahhahhahahahahah
10151450219560163_25410541	wooohoooo!!!
10151450219560163_25410570	Carlos hahahaha:)
10151450219560163_25410629	Oh yeeeeeeeeeeaaaaah!
10151450219560163_25410655	yay
10151450219560163_25410682	oh haha :DDD !!!
10151450219560163_25410702	yaaaay
10151450219560163_25410780	Karlaa Ediith!!!
10151450219560163_25410811	(Y)
10151450219560163_25410872	Chau Nguyen i saw this i wannanaa seee
10151450219560163_25410932	Anahi Pl' hahahahaha :D <3
10151450219560163_25411036	baaaa boooo baaaaa booooo ... :D love it
10151450219560163_25411084	Anissa Dadkhah
10151450219560163_25411174	ooooh looks good!
10151450219560163_25411234	Butt....hahahahhahahahah
10151450219560163_25411334	Dayannara Ayag ahihihihihihihi.....cant wait....
10151450219560163_25411363	Maryam H. Sahhafi
10151450219560163_25411454	Yahoo!!
10151450219560163_25411534	YAYYYY!
10151450219560163_25411562	Yay so funny
10151450219560163_25411579	woo hoo I can't wait...
10151450219560163_25411615	Mariah Jacobo
10151450219560163_25411655	bahahah I want to see it sooo bad
10151450219560163_25411665	wooo hooo!!
10151450219560163_25411723	I sooooo cant wait
10151450219560163_25411797	:D (: <3 ooh boy .(:
10151450219560163_25411872	Mustfa Nabil Alshama'a
10151450219560163_25411999	Sierra Stanley  deedodeedo hahah
10151450219560163_25412120	yeaaahhh
10151450219560163_25412233	Magdalena B. Villar hay q ir a verla :DD !! siii siii !!
10151450219560163_25412294	AHHHH MINIONS! http://sot.ag/tS33/
10151450219560163_25412357	haaaaaaaaa me encantaaaa.....
10151450219560163_25412412	Emma Côté yaayyyyy<3
10151450219560163_25412447	Solomon Park hahahahahaha
10151450219560163_25412478	aaaahhhhhahahhhhhhhh!!!! can't wait!!!!!!!
10151450219560163_25412551	i wanna see this so bad!!!
10151450219560163_25412729	Sanjuana Garza babe show sophi
10151450219560163_25412787	Yay!!
10151450219560163_25412800	Ahahahahahahahahahaha I LOVE THOSE ADORABLE MINIONS!!!!
10151450219560163_25412816	amorrr ya casiii Ren Gallagher
10151450219560163_25412969	xDDD ! BEeedoooo !!!! xDDD
10151450219560163_25413009	aaaaaaaaaaaaaaah eu quero Balbys, e quero rápido :x
10151450219560163_25413012	Obvi! :3 shiii son adorables!
10151450219560163_25413107	Hahaha yes I will Emily
10151450219560163_25413129	Wolfy Guzman miira cosa!♥
10151450219560163_25413213	sooooo cute!!!!! <3
10151450219560163_25413371	xD Xiomara Gonzalez
10151450219560163_25413549	Waaaaaaaaaaaaaaaaaaa me encataaaaa :3
10151450219560163_25413647	OMG YAY!!!!!
10151450219560163_25413779	beeeee doooooohhhhhhh beeeee dooohhhhhhhhho beeeee dooooohhhhhhh
10151450219560163_25413879	Deyiis Alvarado .-.
10151450219560163_25413885	hahhahahha banana!!!!
10151450219560163_25414050	hahahah, ya quiero que salgaaa !!!!!!
10151450219560163_25414079	siiiiii
10151450219560163_25414106	Shraddha Patil
10151450219560163_25414133	WHEEEE!!!!
10151450219560163_25414136	JAJAJJAJAJAJA bee-doo bee-doooo Genial!!!...... esta no me la pierdo por nadaaaaaaa
10151450219560163_25414206	bi do bi do bi do
10151450219560163_25414239	wow gandA 1!! na
10151450219560163_25414464	i cant waaaaaaaaait!!!!
10151450219560163_25414558	*w*
10151450219560163_25414690	Ajay Madhu
10151450219560163_25415052	GAAAAAAH! SO CUTE!!!!!!!!!!!<3
10151450219560163_25415163	ahahahaaaaaa!!!!!!!! Rocio Zamudio!! I think here it's shown but only in Korean :/
10151450219560163_25415213	Day before my birthday!
10151450219560163_25415297	Tamara AL Dabbas
10151450219560163_25415319	Seunghui Ashley Han hahahahahahaha ♥
10151450219560163_25415341	Banana??!?!! Poooootaaatoo naaaaaaahhhhhhh  Tricia Craig
10151450219560163_25415527	Ohh yeahh xD
10151450219560163_25415748	Bita us agaaaaaaaaaaaaaaiiiiinnnnn :))))))))))))))))))))))))))))))))))
10151450219560163_25415791	Elaine Tee bee boo bee boo bee boo
10151450219560163_25415944	ggaaahhhh.. I can't wait!!!!
10151450219560163_25415972	Los amoooo!!
10151450219560163_25416066	*u*
10151450219560163_25416185	On my birthday!!
10151450219560163_25416228	awwwww so adorabubble!
10151450219560163_25416306	aaaaaaaaaaaaahhhhhhhhhhhhh!!!!
10151450219560163_25416480	Oooooo......!!! cant wait......!!!
10151450219560163_25416577	Shinel Sahadeo
10151450219560163_25417233	Sarah Gee :D
10151450219560163_25417237	ASESOME!!!!!!
10151450219560163_25417451	lol!!awsum!!!xD
10151450219560163_25417699	Bedow bedow :D ♥
10151450219560163_25417990	mesmooooo :D
10151450219560163_25418202	I wan go also
10151450219560163_25418841	BEEDO BEEDO BEEDO hihihi
10151450219560163_25418974	i wanna see it lol
10151450219560163_25418990	Shona Yaara Hamna Mushtaq Amna Nasir Mahwish Saeed
10151450219560163_25419167	Ujuuuu hay q verla!!!
10151450219560163_25419216	ha
10151450219560163_25419511	mega :D und sooooo süß
10151450219560163_25419909	vayyyy ashegheshonaaaam
10151450219560163_25420000	A-gma Burhan
10151450219560163_25420027	Sofiaa GonzaLeez
10151450219560163_25420113	Alice Lala Salad-Sellers Gemma Brown Nicola Limbert can't waaaaaaaaaaaaaaait!!!!
10151450219560163_25420264	Hannah :DAhh wie geil *-* hahaha :D ♡
10151450219560163_25420851	Bbooyaahh :D Erika Shayne
10151450219560163_25421208	yayyyy
10151450219560163_25421703	woo hoo!!!!!!
10151450219560163_25421890	Ohhhhhh my god!!!!!! *-*
10151450219560163_25422257	Mohamed Jamal Radwan 7ayb2a fasheeeeeeeeeeeeeeeeeeeeeee5
10151450219560163_25422474	Faynan :D :D :D :D :D
10151450219560163_25422806	beedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedobeedo.... X)
10151450219560163_25422903	haha can't wait to see
10151450219560163_25423163	Lisi <3 haha
10151450219560163_25423423	bananaaaaaa lmaooo Shannon Ziegler
10151450219560163_25423799	Hahahahahah is good film
10151450219560163_25423819	hahahaha
10151450219560163_25423883	Baaaaahhhhhh!!!!!!!!  CAN'T WAIT!!!!  Lol!!  :)
10151450219560163_25423895	I sooo want to see dat
10151450219560163_25423949	Yay!!!
10151450219560163_25423980	hahahahahah!
10151450219560163_25424287	Im such a kid! I soo wanna c dis! ^_^ :D
10151450219560163_25424430	Marcelo Hayashi
10151450219560163_25425435	NaNA MISSES YOU SO MUCH
10151450219560163_25426918	yay
10151450219560163_25427370	haha :))
10151450219560163_25429438	Hahaha(;
10151450219560163_25429457	WIERD!
10151450219560163_25429991	bobababobanana
10151450219560163_25430110	Iiiiiiiii LOVE IT
10151450219560163_25430178	Haaahaaa I love em!!!
10151450219560163_25431215	Shawnee Darby :)
10151450219560163_25432186	Yay!!!!
10151450219560163_25432851	Yamen hahahah
10151450219560163_25433844	ahaahahh Anna Kimareum okie
10151450219560163_25434743	Beedo Beedo Beedo Beedo
10151450219560163_25434969	My birthday (;
10151450219560163_25435558	Xavier Hernandez toy loka q salgaaaa yaaaa!!!
10151450219560163_25435864	Ha Shanda ! I CANNOT WAIT!!!!!!
10151450219560163_25435896	Im soooo gonna go!
10151450219560163_25436260	lol yay
10151450219560163_25436354	fu guys
10151450219560163_25436364	David Shapiro hahahaha
10151450219560163_25436495	Hahahahaha minions are down
10151450219560163_25436855	Can't waiiiiiiit !!!!! :DD
10151450219560163_25436932	aaaaaaaaahhhh! my minions :)
10151450219560163_25437122	Ahaha can't wait !! ;D
10151450219560163_25437143	Hahaha!
10151450219560163_25437286	Drew Raguse we gotta see it hahaha
10151450219560163_25437541	Beedo beedo beedo beedo.
10151450219560163_25438159	Carolina Falcão ta chegandu cakooo!! Haha
10151450219560163_25438201	Sasha Rosales
10151450219560163_25438796	Heck yeah we do DeejRa lol :D
10151450219560163_25439142	Whaaaaaat :o
10151450219560163_25441424	AWESOME!!! :)
10151450219560163_25441660	Beedo beedo beedo beedo
10151450219560163_25442389	my birthday
10151450219560163_25443098	xD
10151450219560163_25443220	Shanna Graham
10151450219560163_25443649	3ayzaaaa arooo7777ooooooo
10151450219560163_25443877	Brandon Hagans, I thinkk im gunnaaa dieee,.. they're tooo adoraableeeee !!!! :D
10151450219560163_25443930	ROFL xD
10151450219560163_25444142	beedo beedo beedo beedo
10151450219560163_25444856	Omgooshh Hayyy que verlaaa obligaaaooo'!! 
10151450219560163_25444913	Abigail Carrejo huhu
10151450219560163_25445393	Delisha Osley
10151450219560163_25445633	Sooooo excited Samena xx
10151450219560163_25445722	Luka Kobalia
10151450219560163_25446073	haha funny
10151450219560163_25446115	Beedo beedo beedo beedo
10151450219560163_25446166	My birthday haha xD
10151450219560163_25446393	WHAAAAAT??? lol
10151450219560163_25446459	*want
10151450219560163_25446507	Beedo! Beedo! Beedo!
10151450219560163_25447418	bee do bee do bee do bee do !!! ;D !!
10151450219560163_25447571	woo hoo!!!!
10151450219560163_25447681	Marii ^-^
10151450219560163_25447870	Emily haha
10151450219560163_25448322	way kool got to seee
10151450219560163_25448452	Hahahaha
10151450219560163_25449031	Mee too!!
10151450219560163_25449422	xD
10151450219560163_25449628	Nathalia Caroline *uuuuuuu*
10151450219560163_25450017	hahahahahahhahahahahaha fire run away
10151450219560163_25450150	1 day before my b-day
10151450219560163_25450521	Baaannnnaaaanaaaa!!!!
10151450219560163_25450996	oo nga ee. hahahha xD
10151450219560163_25451060	Yeah! nuod tayo :)
10151450219560163_25452285	butt...whahaha...butt..whahahah
10151450219560163_25452318	woohooo!!
10151450219560163_25452743	Shraddha Patil ^_^
10151450219560163_25452876	haha
10151450219560163_25453364	Haha
10151450219560163_25453621	me encantaaaaaaaaa los amos <3
10151450219560163_25453810	Itzel you want too?
10151450219560163_25453928	Rania Saleem ouuui I know!! Me too walla .<3 xoxoxo
10151450219560163_25454428	i wanna see it
10151450219560163_25455002	CAN HARDLY WAIT
10151450219560163_25455012	xD
10151450219560163_25455351	Be do be do be do be do be do hahahaha
10151450219560163_25456415	Jeffrey Finkey ohhhhhhhh myyyyy gooooosh!
10151450219560163_25457222	Eva Machado,Sarah Muricy
10151450219560163_25457936	JULY 3 IS MY BIRTHDAY!!!!!!!!!!!
10151450219560163_25458129	Can't wait....he's so fluffy! hahahahah
10151450219560163_25458740	bedoo bedooo
10151450219560163_25459529	weedoooweeedooooooooooweeeeeeeeedoooooooooooooo
10151450219560163_25459664	Rodolfo Fenocchi , Marta Ramos biiiroo biiiiiiiiiiiiiro ♫
10151450219560163_25459723	omg can't waiiiit :D
10151450219560163_25459797	Babycakes Sabado iloveyou (:
10151450219560163_25460853	kawayi
10151450219560163_25461037	ay july 3rd is mah BDAY XD
10151450219560163_25462372	ha so funny
10151450219560163_25462585	danny u big baby....aja
10151450219560163_25462887	my birthday july 3rd
10151450219560163_25463385	Be do be do be do be do hahahahaha
10151450219560163_25464143	Haha yes!! :D
10151450219560163_25464477	haha
10151450219560163_25466589	Woohoo!!
10151450219560163_25467340	bedoobedoobedoo
10151450219560163_25468306	Jordan Murray (:
10151450219560163_25468369	soo awesome
10151450219560163_25468634	Lmfaooooooooooo yooo.im weakkkk Jessica Marie
10151450219560163_25468835	Yay!
10151450219560163_25469133	Hooray!
10151450219560163_25469191	Caroo CG
10151450219560163_25469383	beedooobeedooobeeedooobeeedooo!!!!
10151450219560163_25469530	Shadrach Kayee
10151450219560163_25469676	Hahaha
10151450219560163_25469692	haha lol
10151450219560163_25474972	Oh my god!
10151450219560163_25480246	*-* tengo que verlaaaaaaaaaaa *---*
10151450219560163_25483782	wow saya nito, biliiiiiiiiiiiiiiiissssssssss...
10151450219560163_25487794	Siiiiii seguro! cuando sale? :)
10151450219560163_25497296	bidobidobido...
10151450219560163_25498141	haha
10151450219560163_25501003	Yeaaaaaayyyyhhhh !!
10151450219560163_25511950	Jaaaaaaaaa! :D
10151450219560163_25536185	BEE DOO BEE DOO
10151450219560163_25537390	BEE DO BEE DO
10151450219560163_25538753	So EXCITED!
10151450219560163_25544552	can't waiiiit !!!! :D
10151450219560163_25548500	BAAAAAAhahahahahahaa!
10151450219560163_25549963	Que chistoso bananaaa
10151450219560163_25552431	we-do-we-do-we-do-we-do-we-do
10151450219560163_25555955	Khrystyna Shiny
10151450219560163_25556708	hahaha
10151450219560163_25559581	weeedo weeedo weeeedo
10151450219560163_25563755	Zahid Bottom :D hahahhahahahahahhahahaa :D
10151450219560163_25645412	hahahahaha weedo weedo
10151443067760163_25374012	hahahah
10151443067760163_25374030	Yaaaaaay!
10151443067760163_25374075	awwwwwwwwww ya
10151443067760163_25374090	wooow
10151443067760163_25374153	they are soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo funny
10151443067760163_25374181	Tenq Weii Weesley Cyy
10151443067760163_25374198	yay yaya yayaya yAaya 7yayay yayay yay yay yay yay yzy ay gdkefkdbikbhbvkbkb  hdfkhvgkad  hdfgf gbvhjedg vddfgj vdj sejhfv gfjhfv  t8dgic grfjvcu v4.4652 103215
10151443067760163_25374408	yay!
10151443067760163_25374446	Mayoda Rowanna :D :D
