419551477591_2817332	this is literature?
419551477591_2821482	 ITS SOOOO FLUFFY! IM GONNA DIE!!!  i loved this movie
419551477591_2821484	ITS SOO FLUFFAHH!!   i mean who doesnt like that part? lol!  XD
419551477591_2821485	It's so Fluffy!!! LOL!
419551477591_2821487	Agnes is my mom's name!!!
419551477591_2821488	my favorite is when she got the stuffed uniCorn and she has that deep voice that says ''IT'S SO FLUFFY''
419551477591_2821491	lol i like all of the ones mentioned n when they were prayin at there bed n she prayed that the family had a unicorn lol she really luved unicorns
419551477591_2821492	when she sad its SO FLUFFY
419551477591_2821495	ITS SO FLUFFY!!!!
419551477591_2821496	It's sooooo fluffy!!!!!!!!!!!!!!!!!!!!
419551477591_2821497	"IT"S SO FLUFFY I'M GONNA DIE!"Knocked ooovveeer!
419551477591_2821499	Where do I get a copy of that book?
419551477591_2821508	It's so fluffy!!! 
419551477591_2821509	You can get the book on Amazon!
419551477591_2821513	its so fluffy part
419551477591_2821521	It's so fluffy!
419551477591_2821522	This is the best film ever :)
419551477591_2821529	It's so FLUFFY!!!!
419551477591_2821535	ITS SO FLUFFY!
419551477591_2821538	SOOO CUTE!!!!  I LOVE AGNES!!!!!!!! :)))))))))))))))
419551477591_2821542	gonna die part she is the cutest animated character in a long time
419551477591_2821545	the fart machine lol that was a killer...
419551477591_2821550	It's so FLUFFY!
419551477591_2821555	does this count as annoying?
419551477591_2821556	When she gets the unicorn and says "ITS SO FLUFFY!!"
419551477591_2821560	"it's so fLufFy"
419551477591_2821561	Does this count as annoying?
419551477591_2821565	It's so fluffy!!! and "Lightbulb"
419551477591_2821566	It's so fluffy I'm gonna die
419551477591_2821567	Oh that was cute. 
419551477591_2821575	"does this count as annoying?"
419551477591_2821580	It's so FLUFFY!!!!!!
419551477591_2821586	I love the end when he has to kiss all the minnions on the head, Best movie ever
419551477591_2821587	"ITS SO FLUFFY!! IM GONNA DIE!!!" this movie was so good! that has to be the best line in the history of movies!! that and her song about unicorns being real!!
419551477591_2821588	it's so fluffy!!!
419551477591_2821593	its so flufffy!
419551477591_2821597	Where she gets the 'fluffy' unicorn.
419551477591_2821602	It's. so. FLUFFY!!!!!
419551477591_2821604	"it's so fluffy I'm gonna die!"
419551477591_2821611	"IT'S SO FLUFFY!!!!!!!!!"
419551477591_2821618	"It's so fluffy I'm gonna die!"
419551477591_2821621	It's so fluffy!!
419551477591_2821622	Its so fluffy!!!!!!!
419551477591_2821624	definitely the fluffy unicorn :)
419551477591_2821625	"does this count as annoying?" *makes weird sound on her cheeks*
419551477591_2821627	my favorite scene is when she gets the fluffy unicorne
419551477591_2821631	I said a dart gun, not a fart gun.  Where are we going to use that?
419551477591_2821635	when she says "IT'S SO FLUFFY!"
419551477591_2821638	Its soooo fluffy I'm going to die !!!!!!!
419551477591_2821640	IT'S SO FLUFFY!!!!!!!!! with the ginormous Unicorn :)
419551477591_2821642	my favorite scene is when her first fluffy unicorn was accidentally disintegrated and she asked for it to be fixed. When he said he couldn't she just held her breath until she passed out...  haha so cute!!!
419551477591_2821644	i love that movie
419551477591_2821645	"It's sooo fluffy!"
419551477591_2821646	Its so fluffy!!!!
419551477591_2821648	this movie rocked, im gonna say:  Does this count as annoying (starts smacking her cheeks)
419551477591_2821660	It's so fluffy!!!!!
419551477591_2821661	all of them!
419551477591_2821663	It's So FLUFFY!
419551477591_2821666	"it's so fluffly!!!!!!"
419551477591_2821668	Hannah says "It's so fluffy I'm gonna die!"
419551477591_2821676	does this count as annoying? XD
419551477591_2821678	" It's so fluffy"!
419551477591_2821679	"IT'S SO FLUFFY" AND "IT'S SO FLUFFY I'M GOING TO DIE"
419551477591_2821680	"They call this literature?"
419551477591_2821682	It's so FLUFFY!!!!
419551477591_2821684	When she makes the sound with her face and asks if is bad sound, lol... So cute!!!
419551477591_2821685	long ass nose flat head top but the girl is cute
419551477591_2821686	Mine is the "is this an annoying sound?" where she is popping her cheeks. Love it
419551477591_2821690	It's so FLUUFFYYY!!!! I'm gonna DIE!!!!!!
419551477591_2821701	where she is happy with the bottle brush unicorn the minions bring back, it is so simple and sweet, then she gets the big FLUFFY one
419551477591_2821704	"ITS SO FULFFY!!! ITS SO FLUFFY I COULD DIE!!!"
419551477591_2821706	<3 IT'S SO FLUFFYY<3
419551477591_2821707	itS SO flUffy ! :D
419551477591_2821708	The goodnight kisses!!!  for everyone  :D  so so so cute!!
419551477591_2821710	"ITS SO FLUFFY!!" & "does this count as annoying??"`i love does part(:
419551477591_2821712	"he's so flufffffyyyy!"
419551477591_2821718	ITS SO FLUFFY!
419551477591_2821728	Does this count as annoying?????
419551477591_2821736	not sure, got into a fight with the crabby lady behind me- so ruined the movie.
419551477591_2821739	IT'S SO FLUFFY!!!!
419551477591_2821746	when agnes asks vector why he's wearing pajamas. LOVE IT.
419551477591_2821748	ITS SO FLUFFY!!!!
419551477591_2821757	ITS SO FLUFFY!!!!
419551477591_2821765	He's so fluffy I'm gonna die !!!!!!!!!!!!
419551477591_2821771	It's so FLUFFY!!!!
419551477591_2821793	It's so fluffy I'm gonna die!!!
419551477591_2821801	Deeeefinitely "It's so fluffy I'm gonna DIE!!!"
419551477591_2821808	Oh my gosh, its so fluffy i'm gonna die...
419551477591_2821817	I saw this with Brian and ZoeZoe last week it is adorable.
419551477591_2821827	It's so FLUFFY!!!
419551477591_2821834	"It's so FLUFFY!"
419551477591_2821835	ITS SO FLUFFY!
419551477591_2821836	"IT'S SO FLUFFY!!!! I'M GONNA DIE!!!" 
419551477591_2821838	ITS SO FLUFFY!!!!!
419551477591_2821843	IT'S SO FLUFFY I'M GONNA DIE!!!
419551477591_2821845	I luv the scene of "It's sooooooo fluffy"
419551477591_2821846	has anyone noticed that every time they show the minions - there is always one that is facing backwards? Every time!!
419551477591_2821848	"IT'S SOOO FLUFFYYY!!!! I'M GONNA DDIEEEE!!!!"
419551477591_2821849	"Good bye, answering machine"
419551477591_2821854	THE ROLLER COASTER RIDE!!
419551477591_2821856	When she gave him the piggy bank!
419551477591_2821857	It's so FLUFFAAAYYYYY!
419551477591_2821867	"IT'S SO FLUFFY!"
419551477591_2821873	"it's so fluffy!"
419551477591_2821878	"ITS SOOO FLUFFY IAM GUNNA DIE "!!!!
419551477591_2821890	its so fluffy im gonna die.......................................when she gets it....ITS SOO FLUFFY!!!!!11
419551477591_2821893	Dart Gun I thought you said Fart gun?!?!?!
419551477591_2821901	It's so fluffy !!!!!
419551477591_2821903	" It's SO FLUFFY"!!!!!!!!!!
419551477591_2821904	IT'S SO FLUFFY IM GONNA DIE
419551477591_2821905	its sooooo fluffy
419551477591_2821908	i love when she says its sooooo flufy!!!!
419551477591_2821911	when she sings the unicorn song!!!!
419551477591_2821914	"It's so FLUFFY!"
419551477591_2821919	Does this count as annoying?...
419551477591_2821925	DID YOU KNOW: -Kissing is healthy. -Bananas are good for cramps. -Chicken soup actually makes you feel better. -Its true. Guys DO insult you if they like you. -Having someone rub your tummy when it hurts actually helps it. -89% of guys would want girls to make the first move. -Girls love it when Guys hug them from behind the waist. -Chocolate... See More... ... See MoreSee More... ... See moreSee more... ... See MoreSee More... ... See MoreSee More... ... See MoreSee More ... ... See MoreSee Moremakes... See More... See More... See More... See More you feel better. -Girls love it when guys let them wear their hoodie or jacket. -Guys think its cute when you mess up. -A true friend will NEVER judge you. -There is only one guy who is worth your tears. -If you have a dream about someone, then that person went to sleep thinking about you. -More guys than girls will read this. - Everyone likes surprises. * Now make a wish. Wish really hard! Wish before reading on. * ** *** **** *** ** * You wish will be received tomorrow. Your wish will only come true if you forward this to at least ten
419551477591_2821930	Is so fluffly .....
419551477591_2821932	IT'S SO FLUFFY!!!!!!!
419551477591_2821935	the whole amusmant park thing omg she made the movie for me :)
419551477591_2821936	When she goes after his "dog"  the first time
419551477591_2821937	It's so FLUFFY!!!
419551477591_2821938	"Does this count as annoying?" ...^_^
419551477591_2821944	the part where goes "it;s sooo fluffy"  Hilarious!!!!!
419551477591_2821946	It's so flufffyy!!!
419551477591_2821955	IT'S SOOOOOOOOOOOOO FLUFFY!!!!
419551477591_2821958	IT'S SO FLUFFY!!!
419551477591_2821964	Its ssooo Fluffy!!!!!!!!!!!!!!! *___*
419551477591_2821974	It's so fluffy!!!!!!!!!!
419551477591_2821975	ITS SO FLUFFFYYY
419551477591_2821976	its so fluffy im gonna die... &  does this count as annoying?
419551477591_2821977	"ITS SOOO FLUFFY!!!" and does this count asan annoying  sound scene...tooo funny
419551477591_2821981	 My favorite quote would be "You will not laugh, or sneeze, or giggle...You will not burp or sneeze or fart." lol his voice was so funny when he said that. And I like the cheesepuff part. lol
419551477591_2821986	It's so fluffy!!!
419551477591_2821991	cheese puff turning into a butterfly & good bye recording
419551477591_2822002	Its beautiful!!!
419551477591_2822004	It's so fluffy
419551477591_2822005	It's so Fluffy is the winner in my book!
419551477591_2822007	awesome!
419551477591_2822008	ITS SOOOO FLUFFY !
419551477591_2822009	its so FLUFFFFYYY!!!!!!!!
419551477591_2822030	it's soo fluffy
419551477591_2822033	it's so FLUFFY!
419551477591_2822038	its so fluffy
419551477591_2822039	"It's so fluffy I'm goina die"!!!
419551477591_2822040	it's so fluffy
419551477591_2822046	I love the "it's so fluffy" scene!!
419551477591_2822050	IT'S SO FLUFFY!!!!!!!
419551477591_2822053	Okay! Go to bed! (minions start fitting) Not you, get back to work! (Yay!!!!!!)
419551477591_2822061	IT'S SO FLUFFY!!!!!!
419551477591_2822064	"IT'S SO FLUFFY!" & The unicorn song in the bed at the orphanage.
419551477591_2822065	'Hey that one looks like me!'...thats so cute and Gru is says noo... :]
419551477591_2822073	IT'S SO FLUFFY!!!
419551477591_2822074	the fluffy unicorn
419551477591_2822080	Is this annoying ? ;)
419551477591_2822082	Where she sings her unicorn songto go to bed at the orphanage!!!!!
419551477591_2822097	IT'S SO FLUFFY!!!!!
419551477591_2822111	ITS SO FLUFFY!!!! 
419551477591_2822115	It"s SO FLUFFY!!!!!!
419551477591_2822118	its so fluffy am gonna die and its so fulffy
419551477591_2822122	Somebody's got a frownie face!
419551477591_2822134	"would this count as annoying? *makes popping noises with her mouth* XD
419551477591_2822141	ITS SO FLUFFY!
419551477591_2822147	"ITS SO FLUFFY!!!!"   (\_/)  (0_0)C(")(")
419551477591_2822155	ITS SO FLUFFY!!!!!!!!!!!!!!!!!!!!!!!!!!!!
419551477591_2822159	It's soo fluffy is sooooo funny
419551477591_2822162	It's so fluffy!!!!
419551477591_2822168	when gru have to kiss all the minions have to get a kiss good night
419551477591_2822173	"Does this count as annoying?"
419551477591_2822176	"he's nice" "and creepy"..."like santa!"
419551477591_2822178	it's so FLUFFY!!!!!
419551477591_2822184	ALL of them.
419551477591_2822194	"IT'S SO FLUFFY!!!!"
419551477591_2822203	DONT READ THIS. YOU WILL BE KISSED ON THE NEAREST POSSIBLE FRIDAY BYTHE LOVE OF YOUR LIFE.TOMMOROW WILL BE THE BEST DAY OF YOUR LIFE. NOWYOU'VE STARTED READING THIS. DON'T STOP. THIS IS SO FREAKY.1. say your name ten times.2. say your mom's... name five times. ... See More... See More... See More... See More... See More... See More... See More... See More... ... See MoreSee More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See more... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See more... See more... See more... See more... See more... See More... See more... See more... See More... See more... See more... See More... See more... See More... See more... Ver mais... See more... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See more... See more... See More... See More... See More... See more... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See More... See more... See more... See more... See more... See More... See More3. say your crushes three times4. paste this to four other groups.If you do this, your crush will kiss you on the nearest Friday.But if you read this and do not paste this, then youwill have very bad luck.SEND THIS TO 5 GROUPS IN 143 MINUTES. WHENYOU'RE DONE PRESS F6 AND YOUR CRUSH'S NAME WILL APPEAR IN BIG LETTERSON THE SCREEN. THIS IS SO FREAKY BECAUSE IT ACTUALLY WORKSSee MoreJuly 2 at 5:56am · LikeUnlike ·
419551477591_2822206	all of them i love the whole movie
419551477591_2822208	IT'S SO FLUFFYYYYYYYYY
419551477591_2822214	The scene at the amusement park after the unicorn had been won for her. "It's so FUZZY!"
419551477591_2822217	When she gets the fluffy unicorn at the carnival.... "It's so FLUFFY!"
419551477591_2822229	When the little girl kisses the yellow dudes;  after they got her a new unicorn!!!!!! cute 
419551477591_2822235	He just so fluffy!!
419551477591_2822236	Every scene was really cute. She's an adorable character.
419551477591_2822237	ITS SO FLUFFY!!!!
419551477591_2822242	when he wrote his new bedtime story book.
419551477591_2822244	such a good movie......yay my pancake is shaped like a dead guy lol
419551477591_2822248	My caterpillar didn't turn into a butterflyThat's cause it's a CheetoOh *smiles and eats it 
419551477591_2822259	It's soooo fluffyy!!!
419551477591_2822263	ITS SO FLUFFY!!!
419551477591_2822267	It's so fluffy!!!!!!
419551477591_2822274	"Its so fluffy!"
419551477591_2822285	ALL OF THEM!!I cant believe I cried at the end....such a sap.
419551477591_2822293	I still want a minion!! Saw it again Sunday.This movie just tickles me!!!
419551477591_2822304	when he kisses them good night ; u ; <3
419551477591_2822324	What a cute movie!!!
419551477591_2822326	its soooooooo fluffy!!!!!!!!!!!
419551477591_2822337	"It's so fluffy!"
419551477591_2822344	My fav. part "I'm so fluffy i'm gonna die!" & "It's so fluffy!!!" haha
419551477591_2822346	when the minions bring her the new "unicorn" they made for her out of what looks like a wrench, a koosh ball, and an ice cream cone and she says, "its beautiful" :)
419551477591_2822350	i love when she grabs his leg and never lets go when she finds out they've been adopted!!!! she's soooooooooo cute!!!!!!!!!!!!!!
419551477591_2822352	"It's so fluffy"...
419551477591_2822354	It's sooo fluffy!
419551477591_2822361	My favorite Agnes scene is 'IT'S SO FLUFFY"
419551477591_2822362	When he sticks his nose through the hole of the book ( to make the unicorn horn) and kisses them good nt!
419551477591_2822368	IT'S SO FLUFFYYYY !!!!!!!!
419551477591_2822394	When she kissed the minion on the cheek for getting her a unciorn!(:<333
419551477591_2822410	which scene isn't to love. this movie is awesome!
419551477591_2822422	its A tie between "ITS SO FLUFFY!!!!!!!!!!!!!!" and the Does this count as annoying scene
419551477591_2822428	IT'S SO FLUFFYYYY !!!!!!!! luv that part
419551477591_2822432	''ITS SO FLUFFY!''nd after that wen she says "Lets go blow up another game"
419551477591_2822434	'My caterpillar never turned turned into a butterfly' LOL
419551477591_2822444	aw she is so cute dont u think 
419551477591_2822450	It's soooo fluffy !!!
419551477591_2822457	" It's so fluffy im gonna die~!"  I love this scene!
419551477591_2822473	its so fluffy
419551477591_2822487	"It's so fluffy, I'm gonna die!"
419551477591_2822488	The unicorn song! Not the one on itunes, the one she sings before going to bed.
419551477591_2822491	"Does this count as an annoying sound?"
419551477591_2822496	ITS SO FLUFFY........its so fluffy i can die
419551477591_2822498	it's so fluffy too is really,really cute, adorable!!!!!!!!!!!!!!!!!!!!!!!! 
419551477591_2822501	IT SOO FLUFFY!!!!!
419551477591_2822521	IT'S SOOOO FLUFFY!!!
419551477591_2822522	"My turn". Voop! BOOOOOOM!!!!!!!!
419551477591_2822539	ITS SO FLUFFY!
419551477591_2822554	at the amusement park..."awww, can we play again? i accidently closed my eyes"...
419551477591_2822563	"oooo stuffed crust" + "does this count as annoying?" love this movie!!!
419551477591_2822567	its so fluffy!!
419551477591_2822570	'ITS SO FLUFFY I'M GONNA DIE!"
419551477591_2822577	i want to watch that movie it looks good
419551477591_2822581	Its so FLUFFY!
419551477591_2822600	Does this count as annoying?
419551477591_2822607	Why do you have to be so old?
419551477591_2822616	ITS SOOO FLUFFY IM GONNA DIE!!
419551477591_2822620	Definately the "Its so fluffy" scene. Haha! "He's so fluffy, I'm gonna die!" LOL! 
419551477591_2822621	OMG THE PART WHERE THE MINIONS GIVE HER A NEW UNICORN THING AND SHES LIKE ITS BEAUTIFUL!! AND SHE KISSES ONE OF THEM!!!
419551477591_2822632	ITS SOOO FLUFFY!!!!!!
419551477591_2822652	its so fluffy im gonna die and goodbye answring machine 
419551477591_2822659	ITS SOOO FLUFYYY!!!
419551477591_2822660	IT'S SO FLUUUUFFFFY!!
419551477591_2822664	its so fluffy
419551477591_2822674	shes so cute
419551477591_2822681	Do you call this annoying? ~Pop pop pop~
419551477591_2822692	When Agnes gets the large stuffed Unicorn and says "it's so FLUFFY!!!"
419551477591_2822699	where she is freaking out over the big unicorn he won for her... "its sooo fluffy!"
419551477591_2822706	"It'S So FlUfFy!!!!!!!!!!!" You just gotta love it! =D
419551477591_2822709	Agnes: ITS SO FLUFFY IM GONNA DIE And Agnes: LETS GO BLOW UP ANOTHER GAME!
419551477591_2822718	its so fluffy
419551477591_2822735	i really enjoy watching this movie and theres alots of what i like from that movie ^^
419551477591_2822745	"Does this count as annoying?"
419551477591_2822757	its so fluffy!!!
419551477591_2822760	ey jan .in bachehe eshghe mane .delam mikhad becheloonamesh!
419551477591_2822763	Her running down the midway screaming "It's soooo fluffy!!!!!"  LOL
419551477591_2822791	I love them all...
419551477591_2822796	Awwww I love that movie
419551477591_2822799	Awesome Movie!! I really liked it alot!!:)
419551477591_2822840	great movie
419551477591_2822849	IT'S SO FLUFFY!!!!!!!!!! (of course=)
419551477591_2822851	It's a draw between her unicorn song in the orphanage and "It's so fluffy I think I might die."
419551477591_2822889	 "Does this count as annoying?" LOL! GREAT movie!!!
419551477591_2822915	IT"S SO FLUFFY!!
419551477591_2822928	"ITS SO FLUFFY"
419551477591_2822929	IT'S SO FLUFFY!!!!!!
419551477591_2822931	IT'S SO FLUFFFFFY!
419551477591_2822942	IT'S SO FLUFFY!
419551477591_2822946	Its so fluffy.......! Its so fluffy i think im gonna die..... lol.....
419551477591_2822951	the part when she makes diff weird noises and says "does this count as annoying?" love her though!
419551477591_2822962	Aw! It's so fluffy!!
419551477591_2822969	Also the part where she finds the cheeto and says, "Awwww, my caterpiller never turned into a butterfly." Then Margo tells her that it's a cheeto. Then "CRUNCH," she eats it! Haha! 
419551477591_2822986	its so fluffy
419551477591_2822995	"It's so Fluffy!!!"
419551477591_2823002	She holds her breath. Grue: "What is she doing? It is freaking me out..."
419551477591_2823020	I really like a lot of scenes, when she holds her breath and faints "It's so fluffy!!", when she prays with her sisters, "those this count as annoying", when she chases the dog, holds on to Grue's leg and wont let go, and lots more!!!!!!
419551477591_2823027	Oh and when Grue is reading the book and keeps saying how much it sucks but he keeps on reading it and when he makes the book  Agnes IS ADORABLEEE!!!!
419551477591_2823121	The fluffy unicorn at the carnival - LOVE HER!!!
419551477591_2823148	My favorite scene is when the minions go to the toy store as a "family." ... and of course, FLUFFY!!!
419551477591_2823157	BED TIME STORY LOL..... CRAZY......
419551477591_2823174	I hope his house is made out of gummy bears and ,Its so fluffy I'm gonna die
419551477591_2823212	"ITS SO FLUFFFFFAAAAAYYYYY IM GOING GO DIEEEEE ITSSS SOOO FLUFFFFYYYYY.""But he pinky promised..."i forgot if agnes said it,"your cousin did it." minion:"Whaaaaat?"
419551477591_2823267	I like this one ' HaHaHa.. BUTT!! 'Lol.. So funny
419551477591_2823325	"IT"S SO FLUFFY"
419551477591_2823350	It's so FLUFFY!
419551477591_2823364	ITS SO FLUFFY!
419551477591_2823370	It's so fluffy!!!!!
419551477591_2823385	all of them
419551477591_2823398	What ISN'T there to love about her?
419551477591_2823441	I LOVE MY LITTLE DESPICABLE ME'S <3 <3 <3 both of them!!!! 
419551477591_2823492	IT'S SO FLUFFY!!!!!
419551477591_2823496	If you have a heart and a sense of innocence, you'll love this movie.
419551477591_2823522	"It's so FLUFFY!!!"
419551477591_2823529	It's so fluffy!!!
419551477591_2823535	ITS SO FLUFFY IM GONNA DIE!
419551477591_2823564	and also the little song she sings about unicors at the orphanage. 
419551477591_2823602	at the carnival " ITS SO FLUFFY"
419551477591_2823618	and the minons do the dirking tingamabob and "does this count as anooying" and when agnes prays :I HOPE HIS HOUSE IS MADE OTTA GUMMY BEARS" and my caterpiller dident cange to a butterfly but it was a cheeto
419551477591_2823626	It's so fluffy!!!
419551477591_2823646	"It's so fluffy, I'm gonna die!"
419551477591_2823664	does this count as anoing awwww my catapiler didnt turn into a butterfly thats a cheto CRUNCH
419551477591_2823667	" IT'S SO FLUFFY!!!!!!!!!! "
419551477591_2823681	EVERY AGNES SCENE!!! She is so adorable and to me I think she made the movie a success! "Aw, my caterpiller never turned into a butterfly..it's a cheeto' oh, CRUNCH!' I <3 AGNES!! 
419551477591_2823716	where she sings her unicorns song :D
419551477591_2823730	I love the unicorn song
419551477591_2823757	IT'S SO FLUFFY
419551477591_2823762	i love the movie despicable me it was soo cute i hope they have a book for it that would be fun to read ( a chapter book not a baby book)
419551477591_2823781	its so fluffy im gonna die and,Does this count as anoyying
419551477591_2823794	it so fluffy im gonna die!its so fluffy!!!!!!!!!!!
419551477591_2823833	can,t choose but if i had to it would be her with the unicorn in the amusment park. !!!!! ITS SO FLUFFY !!!!!!!!
419551477591_2823845	ITS SOOO FLUFFY!
419551477591_2823846	IT'S SOOOO FLUUUFFFFYYYYY!!!!!!
419551477591_2823850	the must funny..."those this count as annoying"....
419551477591_2823855	Took my grandsons to see this movie.  They loved it and so did I.  It had a sweetness about it along with laughter and humbleness.
419551477591_2823876	When she is holding the stuffed unicorn and says "It's so fluffy"  I love that scene.
419551477591_2823879	It's so fluffy I'm gonna die !!!!!!& does this count as annoying?
419551477591_2823888	of course "I'ts so fluffy, I'm gonna die!!!"
419551477591_2823889	"ITS SO FLUFFY!"
419551477591_2823898	IT'S SOOOO FLUFFY IS MY FAVORITE AGNES SCENE!!
419551477591_2823907	"OOOOHHHH. My caterpillar never turned into a butterfly." 
419551477591_2823909	it's so fluffy im gonna die
419551477591_2823911	I LOVE that scene!!! :) 
419551477591_2823915	love that movie
419551477591_2823917	"no anoyying sounds..."
419551477591_2823927	its sooo fluffy im gonna die
419551477591_2823930	ITS SO FLUFFY!
419551477591_2823935	It's so fluffy I think I'm gonna die... ITS SO FLUFFAYY!!!
419551477591_2823952	It's SO fluffy I'm gonna die!!!!!!!!!!!!!!!!!   ^_^
419551477591_2823962	IT'S SO FLUFFY!!!!!!!!!!!!!! and "does this count as annoying"
419551477591_2823974	its so fluffy!
419551477591_2823977	IT'S SO FLUFFFFFAAAAAAAAAAAAAAY!
419551477591_2823985	SO FLUFFY I'M GONNA DIE
419551477591_2824004	Somones got a frouny face ha ha lol
419551477591_2824025	I love this little girl. She reminds me of Boo!
419551477591_2824028	ITS SO FLUFFY!!!!
419551477591_2824034	It's so fluffy, I'm gonna die! 
419551477591_2824036	ITS SO FLUFFY
419551477591_2824037	IT't SO Fluffy.
419551477591_2824038	IT'S SO FLUFFY!!!!!!!!!!!!!!!!
419551477591_2824042	Oh... my cat-er-pillar never turned into a butt-er-fly. Agnes that's a Cheetoh. Oh -CRUNCH-
419551477591_2824083	It's so fluffy!! and the prayer at bedtime!!
419551477591_2824084	ITS SO FLUUUUUUUUUUUUUUUUFFFY!!!
419551477591_2824090	It's so FLUFFY!!!!!!!!!!!!!!!!!!!!!!!!
419551477591_2824106	IT'S SO FLUFFY!
419551477591_2824175	My favorite  Angus lines.."it's So Fluffy!!!" And "does this count as annoying?" and you gotta love her unicorn song that makes the move!
419551477591_2824188	My daughter and i love does this count as annoying. My daughter mocks her everytime she sees the trailer. Sooooo cute.
419551477591_2824231	"It's so fluffy!"
419551477591_2824232	"IT'S SO FLUFFY!!!!" & "Does this count as annoying?"
419551477591_2824241	I think the general consensus here is that the best Agnes scene has some involvement with unicorns… I love the “It’s so fluffy!!! I’m gonna die!!! ….IT’S SO FLUFFFAY!!!” scene… gotta be the most epic scene in the movie!! I’ve been saying those lines about every giant stuffed animal I see now!! *looooser*
419551477591_2824267	"Aw my catterpillar never turned into a butterfly..."
419551477591_2824271	"It's so fluffy, I'm gonna die!!!!""IT'S SO FLUFFY!!!!!"
419551477591_2824296	Does this count as annoying?*makes pop/clicking noise*
419551477591_2824300	& IT's SO FLUFFYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY!!
419551477591_2824305	LOOK AT HER EYES IN THIS PIC!!! AWWWWWWWWW
419551477591_2824307	''unicorns i love them''
419551477591_2824310	her game face when she's trying to hit the alien ship at the carnivle 
419551477591_2824357	When she scares Grues dog thing and "Its so FLUFFY!"
419551477591_2824378	IT'S SO FLUFFY!!
419551477591_2824384	"It's so FLUFFY!!!!!!"
419551477591_2824393	I am "IN LOVE" with that movie
419551477591_2824395	Edith:Hes scary but nice Agnes: Like Sanata Clause...OMFG HIGHlarious i <3 Agnes
419551477591_2824398	IT'S SO FLUFFY!!!!!
419551477591_2824400	Does this count as annoying?**** Plop plop plop plop plop with cheeks***and Its so fluffy I'm gunna die....IT;S SO FFFFLLLLUUUUFFFFYYYY!!!
419551477591_2824451	When she got the stuff animal, "It's so fluffy!"
419551477591_2824454	"He's so fluffy!"
419551477591_2824476	"It's so FLUFFY!" 
419551477591_2824487	"It's so fluffy im goin to DIE!!!"................................."IT'S SO FLUFFY!!!"
419551477591_2824493	"IT'S SO FLUFFY!!!!" & "Does this count as annoying?"
419551477591_2824522	ITS SOOOOOOOO FLUFFY!!!!!!!!!!!!
419551477591_2824565	"Does this count as annoying?" Lol I love that part!!
419551477591_2824586	I love when she sings the "Unicorn" song!!! Oh and "It's so fluffy I could die!" 
419551477591_2824610	It's so fluffy!
419551477591_2824611	its so fluffy!
419551477591_2824619	"its so fluffy, i'm going to die"
419551477591_2824621	i love the scene where she says "my caterpillar never turned into a butterfly" ;D
419551477591_2824629	ITS SOOO FLUFFY!!!!! I watched it like 100 times laughed AND ALMOST PEED EVERYTIME... I LOVE IT!!!
419551477591_2824639	IT"S SO FLUFFY!!!!!!!!
419551477591_2824654	just saw the movie yesterday....very cute.
419551477591_2824692	"IT'S SO FLUFFFFFAAAAYYYYY!!!!" & "It's so fluffy, I'm going to die!!!"Agnes is so cute!!! :D
419551477591_2824705	I totally get it! My husband works in the Gulf with all the crap mess from the oil spill. How can my simple issues compare to the worlds worst oil spill?.....I got myself busy with my own life. I am a fitness coach and super happy about having "MY TIME" I am transforming peoples lives for the better and making my own money.If Im happy, my husbands happy and we make a happy family for our kids. So we can enjoy each other when we finally do have our time together and I have my own stories to share.Check out my link please...http://beachbodycoach.com/esuite/home/MartyKosmeh?bctid=1805534547
419551477591_2824708	ITS SO FLUFFFY!!!!!!!!!!!!!
419551477591_2824717	its so FUZZY!!!!!!!
419551477591_2824730	It's so fluffy!!!!
419551477591_2824732	"Does this count as annoying ?" Ha ha I Love that part !
419551477591_2824754	does thiz count az annoying?????????
419551477591_2824760	does dis count as annoying?
419551477591_2824780	Look at that fluffy unicorn. It's so fluffy I'm gonna die. It's so fluffy lol
419551477591_2824808	ITS SO FLUFFY
419551477591_2824820	When she is hugging the toilet brush unicorn.
419551477591_2824825	"It's so FLUFFY!!
419551477591_2824842	"o its so fluffy im gonna Die!!"
419551477591_2824875	I hate to be cliche, but I love the "It's so fluffy!" or the final kiss goodnight. So sweet!
419551477591_2824897	..."it's sooo fluffily, i'm gonna die..."
419551477591_2824902	IT SO FLUFFY IM GOING TO DIEIT'S SO FLUFFY!!
419551477591_2824915	"I like him. He's nice.""But scary.""Like Santa!"
419551477591_2824933	You like this this is garbadge
419551477591_2824934	Does this count as annoying
419551477591_2824941	AND IT'S SOOOOO FLUFFY
419551477591_2824950	Its So Fluffy!!!
419551477591_2824964	it's so fluffy i'm gonna DIE!
419551477591_2824989	ITS SOO FLUFFY IM GONNA DIE!!
419551477591_2824994	every scene!
419551477591_2824998	it's fun
419551477591_2825033	i havent seen the movie yet :(
419551477591_2825036	"it's so fluffy Im going to die!!!"
419551477591_2825042	ITS SO FLUFFY I COULD DIE.
419551477591_2825046	"does this count as annoying?" and "ITS SO FLUFFAAAAY!!!!"
