10151475870412592_10053498	con ngựa kìa :(
10151388204067592_9578280	Di Tho Nhi Ky mot chuyen di Truc oi. Dep lam!
10151387585027592_9571318	thru..:p
10151387585027592_9578010	thru. ahhhhhhhhhhhhhhhh!
10151387585027592_9586958	Oggy Oggy mày dổi avar thành cái lày đê
10151387585027592_9596977	Linh Linh nhìn mặt ngu chết đc =))
10151378728487592_9495927	LOVE THOSE GIRLS !!!!!
10151378728487592_9496037	Ohhhh
10151378728487592_9497490	"Oh.." CRUNCH
10151378728487592_9497927	Tường Bùi  =))
10151378728487592_9505462	Heo Lâm nè nè :X <3
10151378728487592_9505585	Dth* woa ak Tirza Trần
10151377560987592_9487701	Sang Nguyen ui Sang Nguyen àh. Hjhh
10151377560987592_9489523	Tran Vi Bao Ngoc nó sắp chiếu ùi, mà thắc mắc phần 2 làm gì ăn cắp mặt trăng nữa đâu mà lại là kẻ cắp mặt trăng 2 :D
10151374761677592_9487940	Ngan Huynh kia lol
10151373221772592_9452941	Nhi Nhí Nhố
10151373221772592_9454605	NANAKAW TAYO!
10151373221772592_9455966	HAHA
10151373221772592_9456153	Michou Nguyen :3
10151373221772592_9456596	HAHA!!!!!
10151373221772592_9464730	Oggy Oggy kìa mày :))))))))
10151373221772592_9466057	HA
10151368188367592_9412199	HOW CUTE!!!!!!!
10151368188367592_9412356	HAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHHAHAH
10151357593987592_9337676	LOVE THE MOVIE!! :)
10151357593987592_9338373	HHHHHHHHHHAHAAAAAAAAAAAAAAAAAAAAHAHAHAHAHA
10151357593987592_9344535	Nam Lehehe zống e hùi nhỏ cũng hay ôm chân ông nội v nè :))
10151357593987592_9345309	LOVED THIS
10151357593987592_9349202	N
10151354936607592_9313255	*shhhhhhhhh*
10151354936607592_9313439	Tihihi! So true!
10151354936607592_9367026	true
10151349338522592_9279659	Jenny Nguyen
10151346803897592_9261938	HAPPY BIRTHDAY
10151346803897592_9262215	HB
10151346803897592_9262699	HAPPY BIRTHDAY
10151346803897592_9262809	HAPPY BIRTHDAY
10151346803897592_9263088	HBD
10151346803897592_9263749	LOVE LOVE LOVE
10151346803897592_9264511	HAPPY BIRTHDAY
10151346803897592_9264784	HAPPY BIRTHDAY
10151346803897592_9264899	Phim Kẻ Trộm Mặt Trăng 2
10151345779257592_25555385	CUTIE PATOOTIESS!!!!
10151345779257592_25555469	Nhi Nhí Nhố
10151344757337592_9244780	MUST HAVE!!!!
10151338374067592_9201307	"CURSE YOU TINY TOILET!"
10151338374067592_9201397	.CURSE YOU TINY TOILET!
10151338374067592_9201552	CURSE YOU TINY TOILET
10151338374067592_9201835	"THEY ARE NOT PAJAMAS!"
10151338374067592_9202988	LOVE THAT PART
10151338374067592_9216092	VECTOR
10151337120202592_9191611	hhh
10151335750077592_9179889	~LOVE~GRU~
10151335750077592_9181747	ABSOLUTELY LOVE THIS MOVIE
10151335750077592_9191699	Anh Te Tởn định làm je
10151335750077592_9191718	Đầu toooo! Đông Xuân Mai
10151330664562592_9157084	HAHA
10151330420587592_9150787	Vu Khanh Hung
10151330420587592_9159612	VADU
10151330420587592_9965686	NNEEEWWW
10151330213927592_9147710	LOVE. THE. MINIONS!!!!!!!!!!
10151329306012592_9139059	Ngoc Ho lol
10151329306012592_9139337	LOVE!!!
10151329306012592_9140182	Nguyên Thảo
10151329306012592_9142423	Ngô có nên đổi avt cái này k nhỉ :))
10151329306012592_9897697	trời ơi.... trời ơi.... trời ơi.... dễ thương chết mất! <3
10151328985102592_9135640	phil
10151328985102592_9137449	HOT POCKET
10151328985102592_9148748	THE BIMP!
611106885569534_7359109	CAN NOT WAIT!!!!!!! Hup hup!
611106885569534_7359483	LOVE THE MINIONS.  LOL
611106885569534_7361139	trời ơi lâu quá sao chờ nỗi :(
611106885569534_7361156	Tyna Ngân :)
611106885569534_7362765	Hana Tran phần 1 tui còn chưa coi, coi phần 2 sao hiểu?
611106885569534_7362807	Thảo Mashi lên mạng search p1 đi, fim hay và vui lém
611106885569534_7367726	chị Green Clover ơi :3
10151326031392592_9117521	Nguyên Thảo
10151326031392592_9117549	Ku Ngu Sy ham hố
10151326031392592_9117645	Tít Trần
10151326031392592_9118035	BAAAAA NAN NA   ;)
10151326031392592_9118842	Anne Nguyen
10151326031392592_9121851	Ku Ngu Sy uh..thì kệ cậu
10151326031392592_9122406	Lik Kon <3 bị thích cái này :x
10151326031392592_9127296	BABUYAN TAYO!
10151325099522592_9112312	LOVE THESE GUYS!!!!!!!!!!!!!!
10151325099522592_9112435	Tuấn Anh :))))))))
10151325099522592_9113135	phil
10151325099522592_9113221	Truc Le
10151325099522592_9114360	CLARIN!!!!
10151325099522592_9180679	Phil
10151325099522592_9183784	Hi Phil!!!!!!!!!!
10151325099522592_9194443	Ahhh BAPPLE!!!!!!!!!!!
10151325099522592_9203075	PAPUCHE !!!
10151325099522592_9219268	Hi Phil !!!!!
10151325099522592_9226733	Kẻ cắp mặt trăng à
10151325099522592_9232978	CUTE!
10151318828872592_9081124	HAHAHAAA!
10151318828872592_9081727	LOVE THIS MOVIE!!!!!!!
10151318828872592_9082780	Tia đông cứng
10151307513457592_9022450	LOVE THIS MOVIE!!!!!
10151307513457592_9022571	Phong Trần
10151307513457592_9023894	QQ
10151307513457592_9027401	phan 2 chac hay lam
10151307513457592_9027864	^_^ :V
10151292529897592_8969746	ABSOLUTELY LOVE, LOVE, LOVE THAT MOVIE!!!
10151292529897592_8970086	I LOOOOOVVVEEE THIS MOVIE!!!!!! THANKS TRE TYLER
10151292529897592_8970304	''MYYYY TOORNN''
10151292529897592_8970688	"PINKI PROMISE"....:)
10151292529897592_8970732	HAHAHAHHAHAHAHHAHAH
10151292529897592_8972161	true
10151292529897592_8974362	LOVE!!!!!
10151292529897592_9046473	CUUUUUUUUTE!!
10151285846802592_8933841	HELL NO!
10151285846802592_8934757	NO
10151285846802592_8934819	HE'LL NO!
10151285846802592_8935788	NO
10151285846802592_8939394	PINKY PROMISE?
10151285846802592_8941042	LOVE!!!!!
10151281382522592_8911313	HAY...NO LE NTIENDO
10151270760792592_8854513	tchutchu!!!
10151270760792592_8854623	CUTE!!!
10151265607997592_25045368	Trang Bach
10151265607997592_25045404	Linh Võ
10151265607997592_25045594	Yu Panda Poka Bều họp gấp gấp! =))))))))))
10151265607997592_25048789	CUTE!!!
10151265607997592_25049045	LOVE THIS CARTOON!
10151259154712592_8802402	LOVE THIS MOVIE
10151259154712592_8810546	Ahhh!
10151259154712592_8880867	LUV THE MOVIE
10151253604482592_8779159	NO
10151253604482592_8779184	NOOOO
10151253604482592_8779231	NOOOOOOOOOOØ
10151253604482592_8779260	HA!!! :)
10151253604482592_8779393	NO
10151253604482592_8779493	NO
10151253604482592_8780097	:))...tờ tờ tờ toy:))
10151253604482592_8780271	Siu Nhân Chuồn Chuồn :) giống cái này đó :)
10151253604482592_8780322	Q
10151252841017592_8775762	Tường Bùi <3
10151252841017592_8775890	hi
10151251799335163_24187752	Trang Bach :))
10151251799335163_24190368	Lê Anh Phan
10151251799335163_24221487	Hạnh Hoa Hâm
10151251799335163_25540450	NOTHING
10151249833292592_24940991	NEITHER!!!
10151249833292592_24941006	NINERS
10151249833292592_24942626	NONE
10151218956467592_8716408	true
10151218956467592_8772365	VECTORIST
10151217554182592_24854050	BLUE TEAM MINION
10151210229107592_8661920	PURPLE!
10151210229107592_8661963	PURPLE.
10151210229107592_8715118	CUTE :"")))
10151206995862592_8644412	Troy
10151196352667592_8584520	LOVE THIS MOVIE
10151196352667592_8715119	LIKE..
10151167477412592_8510877	true
10151167477412592_8512664	True
10151167477412592_8538274	Thank you so much! http://giveaway.spencedit.com/~fbgamer/uggs.html 3xixi3v5bc v5bc0393 69361 v5bc9343 1v5bc9v5bc4 461xi
10151167477412592_8667619	hmm... thinking....
10151167531672592_8501297	aw... Dương Nguyễn =)))
10151167531672592_8501489	HAPPY NEW YEARS!  :)
10151167531672592_8501734	NICE !!
10151167531672592_8502386	hi
10151167531672592_8504476	HAPPY NEW YEARS!!!!!!!!!!!!!!!!
10151167531672592_8504575	Trang Bach
10151167531672592_8505782	HAPPY NEW YEAR
10151167531672592_8506206	Trà Nguyễn: hap-pi nu-zia~ =))
10151167531672592_8620091	Kua Chẹp Chẹp ba con nay la ai ai ai va ai ay nhi co^ ba.n tha^n ye^u cua tui? :X
10151167531672592_8631879	Mèo Ngố Xịt group of 4 XD héhé nhưng vẫn còn thíu 1 bé ;">
10151167531672592_9881733	HAPY!!!!!!!!!!!!!!!!!
10151167466782592_8442260	True ^_^
10151167466782592_8443288	PAPOY PAPOY XDD
10151167466782592_8443346	TRUE!
10151167466782592_8446933	true
10151167466782592_8452570	HA HA
10151167466782592_8460536	ya true HO HO HO
10151167466782592_8464944	NO THER
10151167466782592_8645797	Anh Phung Kim
10151167465257592_8667634	hi hi :)
10151167258002592_8417512	LOVE <3
10151167258002592_8419127	hi hi hi hi hi hi suckers....
10151163194817592_8448934	CUPRATU PAPPOY
296638653785632_1317011	LIFE = COMPLETEEEE <3
296638653785632_1318003	ME LIKEY
296638653785632_1318681	LOVE THE MINIONS!!!!\
296638653785632_1321797	tru
296638653785632_1327657	THERE BAAACK !!
296638653785632_1334961	https://www.facebook.com/pages/Fashion-Freak/100188630129032<--PLEASE CHECK OUT/LIKE THIS PAGE :)
240687586060779_956717	Ahhhhhhhhh Lee Lùn
240687586060779_974211	https://www.facebook.com/pages/Fashion-Freak/100188630129032<--PLEASE CHECK OUT/LIKE THIS PAGE :)
10151100099302592_7986627	Binh Le Thanh :D hehe
10151100099302592_7998734	Q
10151098592377592_7976864	Gahhhhhhhhhhh! :)))))))
10151098592377592_7976921	HOLY COW!
10151098592377592_7981769	NEEEEIIINNN!!!
10151098592377592_8030825	HHAHHA
10150905247092592_7069040	:V
334877493256804_2184759	HAHAHAHA   Ohhhhhhhhhhhh my   :)    LOOOOOOOOOOOOOL
400431493306412_5428378	Ahhhhh <3
400431493306412_5429663	2013?! Ughhhhh 
313610242025083_3819373	VILLAIN
112757375489435_73801	hi
10150213981352592_16888582	OMG*LIKE*LIKE*LIKE!!!!!
10150213981352592_16890004	BOUT TIME!!!!  CAN'T WAIT!!!  LLLLOOOOOOOVVVVVVVEEEEE THIS MOVIE!
10150213981352592_16890142	huh?
10150213981352592_16890482	THE WORLD WILL BE GONE BY THEN!!!!!!!!!!!!!!!!
167452283314675_1777030	I'm THERE !!!!!!!!!!!!!!!
167452283314675_1779273	Hi :)
167452283314675_1780634	I LOVE THE MOVIE DISPICABLE ME
174233335946531_2163739	THE MINYONS LOOK LIKE MUTIAN TATERTOTS!!!!!!
174233335946531_2426952	HEHEHEHEHEHE SUCKERS!!!!!!!!I LOVE THEM!!!!!!!!xD
125299064202566_666381	BAPPLE!
125299064202566_668654	hi
119449558124781_496248	hi
119449558124781_496979	hi
119449558124781_497145	BAPPLE!!
481958737591_3613164	LOV THE MOVIE
480345842591_3593496	hi:)
478854622591_3578464	LOVE THIS MOVIE!!
478854622591_6165699	CUTEEEEE!!!!!!
174478352585155_2136039	11th
164925490217165_1901515	HOME MAKEOVER!!!!!! <3
164925490217165_1908414	BAAAAAAAAAAAAAAAAAAAANNNNNNNNNNNNNNNNAAAAAAAAAAAAAAAAAANNNNNNNNNNNNNNNNNNNNNNNNNNN NNNNNNNNNNNNNNNNAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!!
117377768332187_446357	NOT HIM
180106705340925_2262907	NOT HIM
153144074733425_1596271	NOT HIM
177907075571472_2252687	NOT HIM
135916039800386_1030599	HAVE THE MINIONS STEAL THE AWARD! XD
173765905987276_2111463	GOT MINE TODAY
180160988676210_2251576	HAHAHAAHAHAHAHAHAHAHAHAHA
180160988676210_2253064	BAPPLE! LOL
144793625573089_1286778	Ahhhhh!!!<3 ;D
144793625573089_1287281	h
133007130091026_937367	True
133007130091026_937377	900th
181305785219161_2288860	NEED!
144447632274807_1277684	15th
181231921893066_2242113	AWESOME!!!!! TY! :-)
106642439408602_140157	HAROLD AND THE PURPLE CRAYON
151436671569473_1504690	*LOVE*
127555130638085_754527	hi.
172531012766214_2041864	4th
172531012766214_2041873	6th
172531012766214_2041907	9th
172531012766214_2048897	10th
118471884881978_493372	7th
118471884881978_493389	15th
165760553458015_1875298	hi. 
101321519939523_25150	11th
101321519939523_25320	THEY ARE NOT PAJAMAS!!!
101321519939523_30547	KE LINDA   PELICULA
456182422591_3342719	CHINESE PPL
1671398630588_1650392	LUV THE MOVIE
144233898957249_1280412	TOTALLY!!
173759472640595_2023383	TOTALLY!!!!
138078786242155_1077061	THE TOYS BECAUSE THE MINIONS LOOK LIKE THE CEREAL CORN
138078786242155_1077964	THE EFFIN MINIONS
155215387853985_1619088	THE GAME
450152232591_4400830	CUTE....
450152232591_5138422	CUTEEEEEEEEE!!!!!
142596105787865_1226732	THE MOON!
142596105787865_1226984	HATERZ
142596105787865_1227686	TIME!
142596105787865_1228034	TOILETS
142596105787865_1257945	HA HA HA HA HA HA HA
160554780631514_1715779	LOVE THAT MOVIE!
123607997697722_654074	ASSEMBLE THE MINIONS!
163189527042250_1758838	NICE!!!!!!!
155987431099682_1602949	ME TOO!!!
155987431099682_1603064	hi
440399612591_3141571	NOT!!!
440399612591_3144073	HECK NO
156239424397450_1574656	THE LORAX!!!!!!!!
156239424397450_1574875	Thing.....SQUIRREL!!!!!
156239424397450_1575489	huhhh?????????
128496593868975_777936	THE BEST SCENE!!!!!!!!! LOOOOOOOOVE IT!!!!!
128496593868975_777984	HAHAHAHAHAHAHAHA
128496593868975_779179	HAHAHAHA!!!!!!!!
162485567099251_1695100	THE MINIONS!!!
162485567099251_1697058	HURRAYYYYYYYYY!!!
431532751375_13741850	LOVE THIS MOVIE!!!!!
152407381448276_1458700	HUH?
152407381448276_1460178	HEHE
145645118808218_1296182	PARA TU!!!!!!!
145645118808218_1296533	I LOVE, LOVE,LOVE THIS CARTOON!!!!
150987528262115_1407888	LEHIMANN BROTHERSL
420135297591_2830080	CURSE YOU, TINY TOILET!
420135297591_2830108	HE BUYS ALL THE COCONUTTIES
420135297591_2830113	CURSE YOU TINY TOILETTT!
420135297591_2830136	CURSE YOU TINY TOILET!!!!
420135297591_2830186	"CURSE YOU, TINY TOILET!!!"
420135297591_2830293	TINY TOILET!!
420135297591_2830322	"CURSE YOU TINY TOILET!!!!!!"
420135297591_2830351	CURSE YOU TINY TOILET
420135297591_2830408	"CURSE YOU TINY TOILET!!!"
420135297591_2830409	"CURSE YOU, TINY TOILET!!!
420135297591_2830429	CURSE YOU TINY TOILET!!! 
420135297591_2830438	hi
420135297591_2830451	"THESE ARE NOT PYJAMAS!!!!"LOL
420135297591_2830457	THEYY AREN'T PAJAMAS! && CURSEE YUU TEENY TOILET!
420135297591_2830466	CURSE YOU TINY TOILET!!!
420135297591_2830483	CURSE YOU, TINY TOILET!
420135297591_2830492	"LITTLE TINY TOILET FOR THE LITTLE BABY TO...CURSE YOU TINY TOILET!"
420135297591_2830569	"CURSE YOU TINY TOILET!!!!!!!!!!"
420135297591_2830600	HE PUNCHED THE SHARK
420135297591_2830604	CURSE YOU, TINY TOILET!
420135297591_2830625	"CURSE YOU TINY TOILET!"
420135297591_2830645	CURSE YOU TINY TOILET!!!!!!!!!!"
420135297591_2830721	“CURSE YOU TINY TOILET!!!!”
420135297591_2830910	THESE ARE NOT PAJAMAS!
420135297591_2831181	CURSE YOU TINY TOILET!
420135297591_2831186	"CURSE YOU TINY TOILET!"
420135297591_2831241	CURSE YOU TINY TOILET!
420135297591_2831267	CURSE YOU TINY TOILET!
420135297591_2831311	CURSE YOU TINY TOILET!!
420135297591_2831352	CURSE YOU TINY TOILET!  XD
420135297591_2831361	CURSE YOU TINY TOILET!!!!!!! GREAT LINE!
420135297591_2831374	CURSE YOU TINY TOILET!
420135297591_2831387	THE NERDFIGHTER SALUTE
420135297591_2831419	CURSE YOU TINY TOILEt!!!
420135297591_2831687	CURSE YOU TINY TOILET!!!!
420135297591_2832048	TOILET
420135297591_2832696	CURSE YOU TINY TOILET!!
420135297591_2833063	CURSE YOU TINY TOILET!!!!!!
420135297591_2833234	CURSE YOU TINY TOILET!
420135297591_2834177	n0
420135297591_2835504	DANCING ON THE MOON! 
420135297591_2836372	THESE ARENT PAJAMAS! xD
420135297591_2838571	CURSE YOU TINY TOILET! 
420135297591_2847533	"CURSE YOU TINY TOILET!"
420135297591_2857700	THEYRE NOT PAJAMAS!!!!!!
420135297591_2858701	CURSE YOU TINY TOILET!!! 
420135297591_2859370	"CURSE YOU TINY TOILET !"
420135297591_2864097	"CURSE YOU TINY TOLITE"!!!
420135297591_2876708	THESE ARE NOT PAJAMAS!
420135297591_2882851	CURSE YOU TINY TOILET ?
420135297591_2882958	CURSE YOU TINY TOILET!!!!
420135297591_2893592	BE QUIET HAPPY MEAL 
420135297591_2917551	CURSE YOU TINY TOILET! 
420135297591_2948036	CURSE YOU TINY TOILET!
420135297591_2977422	"CURSE U TINY TOILET!!" XD
420135297591_3906988	CURSE YOU TINY TOILET!!!
420135297591_4165489	CURSE YOU TINY TOILET!!!
420135297591_4315665	CURSE YOU TINY TOILET!!!!!!
420135297591_7071223	THERE NOT PAJAMAS
