10151475870412592_10052258	SO FLUFFEH!
10151450219560163_25448238	bedo bedo bedo..................................Rofl......................
10151450219560163_25448472	Fernanda, Cláudia, Maria e Patrícia. It's coming soon!
10151450219560163_25449754	Yaz Do ♥ te amo :3
10151450219560163_25450526	Jhourdan Fleming ❤󾌧󾌧󾌬󾬏󾔏󾌴 vido vido vido vido ! x'DD buuutt !
10151450219560163_25450527	me encanta ....... son tannnn lindossss k losss adoroooooo
10151450219560163_25450702	Oscar Franco
10151450219560163_25453340	Andrea Gosper
10151450219560163_25454636	Amanda Rose
10151450219560163_25455060	bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo bedo
10151450219560163_25458218	ESO es para bebe
10151450219560163_25458224	SO CUTE!!!
10151450219560163_25458910	Katrina Herrera-Agosti
10151450219560163_25459071	Jessica :D
10151450219560163_25459531	Christopher Poot Fernando Alvarado Robert Cortez Salgado
10151450219560163_25459689	Brianda Lopez
10151450219560163_25460111	Haha this os tpo cute Ariana Sandoval
10151450219560163_25460432	Jorge Farias
10151450219560163_25462956	Alvance ^-^
10151450219560163_25464768	coi r m =))
10151450219560163_25466810	be do be do be do
10151450219560163_25467302	Cesar Felippe Tche :) ai quero apertarr hahah
10151450219560163_25470059	Jessica Macdonald /,3
10151450219560163_25470387	Fernanda M. Tapia Ve esto Amor..!! :D :D :D
10151450219560163_25472123	e muito b,onitinho  mas n chegou a qui e serio
10151450219560163_25474501	Patricia Pessoa ;)
10151450219560163_25521697	Jessica Ribeiro en deze !
10151450219560163_25539441	Jose Aquino
10151450219560163_25541735	pido pido :D
10151450219560163_25545996	Michael Brado
10151450219560163_25549435	Amber Maldonado
10151450219560163_25573378	be do
10151450219560163_25654153	Gr Lann dido dido dido dido dido
10151443067760163_25374229	Liz Chamorro
10151443067760163_25374336	OHMIGOSH .
10151443067760163_25374429	Janice Ganatra !!!!!! <3
10151443067760163_25374548	no Nintendo DS love??? :(
10151443067760163_25374652	TOO HOO ^O^
10151443067760163_25375825	Vanessa Sanabria
10151443067760163_25377376	No.
10151443067760163_25379242	Omg !!! Diana Bodocan
10151443067760163_25386716	o_O
10151443067760163_25422137	be do be do be do bedo..:D
10151428948757592_9857929	AL PACHINO?!
10151428948757592_9860258	OMG
10151428948757592_9864858	NOOOOOOOO!! BRING VECTOR BACK!!! :O RIGHT NOW!!
10151443077910163_25363695	Andrea Ramos Forte
10151443077910163_25363711	love da minions!
10151443077910163_25363983	Frida Dong哈哈哈哈哈哈哈你太傻了哈哈哈哈
10151443077910163_25364085	Sandra Dee no doubt... Lol
10151443077910163_25368185	Kimm Guardado
10151443077910163_25368234	ai primae sa pelicula es chida
10151443077910163_25368495	i am so excited
10151443077910163_25368773	Davide Armas
10151443077910163_25368866	Termator+ gru= Grumator. B|
10151443077910163_25372071	OOYVCCCCCCCCCCCCCCAASRYIP]\
10151443077910163_25372213	vamos curtir essa pag Não compre , Adote e vamos ajudar os animais a encontrar um lar p adoção!!
10151443077910163_25374641	papa dom Awesome I love minios :D
10151443077910163_25375028	Andrea Estrada
10151443077910163_25378440	Onix Orlando Degro Rodriguez
10151443077910163_25381399	Olivia Palfi
10151443077910163_25381440	FFFIIINNNNAAAAALLLLLLYYYYYY!!!!!! <333333 OOO;
10151443077910163_25385486	Amanda Feliciano :3
10151443077910163_25453593	papa dom
10151429000812592_9852604	Rosa Cruz
10151429000812592_9852759	LMAO !!!!
10151429000812592_9854953	Tiago Gaspar olha o Gru de verdade :D
10151429000812592_9857236	Beatriz Coutinho olha só isso rs
10151429000812592_9859706	OHHH
10151429000812592_9886139	Pedro Martins Cordeiro podes ver aí o vídeo...
10151429000812592_9894909	o.o
10151429000812592_9899150	be do be do be do
10151429000812592_10007977	O    M   G
10151429000812592_10008763	umm no
10151429000812592_10022358	Bianca De Aquino
10151428304222592_9848448	So cute
10151428304222592_9849285	dope!
10151428304222592_9851046	Maria Da Conceição Brito!
10151428304222592_9851671	No, No, No.
10151428304222592_9852353	So cute
10151428304222592_9853917	So cute
10151428304222592_9854089	Cute <3
10151428304222592_9875700	SO CUTE
10151428304222592_9910800	Cute :*
10151427306717592_9843622	Alexa Perera
10151427306717592_9843687	Diego Torres Castro ve! Tú no eres gru amor
10151427306717592_9843707	LIKE A BOSS
10151427306717592_9843713	O.O
10151427306717592_9844361	Alyssa Flores
10151427306717592_9844493	:O
10151427306717592_9844697	OMFG
10151427306717592_9845191	Alexa Foster
10151427306717592_9847041	^ um no.
10151427306717592_9847042	Arianna Pomo!!!
10151427306717592_9847531	Carolina Quemé
10151427306717592_9848601	OMGGGG
10151427306717592_9849113	O_o
10200472102578255_5421527	Bee-do! Bee-do! Bee-do...
10200472102578255_5421669	Bee-do... Bee-do... Bee-do...! :P
10200472102578255_5421722	hahaha pedo pedo pedo pedooooo
10200472102578255_5421781	Amanda Coulombe
10200472102578255_5421790	Bee-do Bee-do :3 lol
10200472102578255_5421842	Alexis Delgado !!!!!!
10200472102578255_5421874	BEEDO!
10200472102578255_5421991	be do be do be do!!
10200472102578255_5422006	be do be do be do
10200472102578255_5422041	be do be do be do be do be do
10200472102578255_5422140	XD Lmfao
10200472102578255_5422198	bido bido bido =)))))))))))))
10200472102578255_5422206	im excited ;D Oscar Huerta Natalie Mentado Erika Valdivia
10200472102578255_5422428	vee-do vee-do vee-do vee-do  hahahahaha
10200472102578255_5422470	PEEEDO PEEEDO!!!!!!!
10200472102578255_5422505	lol be doh be doh
10200472102578255_5422538	Ta chegando Flávia Ferreira Valério..
10200472102578255_5422579	Cute!!!
10200472102578255_5422607	Lmfao󾌴
10200472102578255_5422662	Sarah Castro minions!!!!
10200472102578255_5423189	LMBO!!
10200472102578255_5423271	Bido bido bido bido
10200472102578255_5423286	Bido bido bido..
10200472102578255_5423385	oh paboi be doo bedo :3
10200472102578255_5423550	Bedo! Bedo! Bedo! Bedo!
10200472102578255_5424145	Be do be do................. Be do be do be do
10200472102578255_5424254	Y m énerve,bido bido bido
10200472102578255_5424346	bido bido bido
10200472102578255_5424377	Be do be do Sammy Moezinia
10200472102578255_5424490	bedo..bedo..bedo  :)
10200472102578255_5424535	be do be do........... be do :D
10200472102578255_5424550	Be…do…be…do
10200472102578255_5424607	Despoina Kam Marialena Tsimou Theodosis Vidakis
10200472102578255_5424616	tido tido...
10200472102578255_5424742	pedo pedo pedo.
10200472102578255_5429391	陳袅袅 Pido pido xD
10200472102578255_5432578	Bedo Bedo...
10200472102578255_5433243	pedo pedo pedo
10200472102578255_5433491	pedo pedo pedo alert
10200472102578255_5437843	Sandro :D :D
10200472102578255_5454844	O.O <3
10200472102578255_5455438	Bedo Bedo Bedo Bedo Bedo! LOLOLOLOLOLOL! ROTFL!
10200472102578255_5457395	peedo!!!
10200472102578255_5459942	COOO-EL
10200472102578255_5509689	de do de do de do de do de do!!!!!!!!!!11
10200472102578255_5515500	be do be do be do be do
10200472102578255_5537813	be do be do be do be do be do be do
10151418432967592_9799911	BANANA!!!!!!!!!!!!
10151418432967592_9799914	BANANA!
10151418432967592_9799920	BANANAAAA!!!!
10151418432967592_9799939	Maria Fernanda Saenz Rodriguez ummmmm
10151418432967592_9799964	BANANA?!?!?!?!??!?
10151418432967592_9800012	BANANA!!!!!!
10151418432967592_9800033	BA-NANA-NAAAAA!!!! :*
10151418432967592_9800064	Jessica Cardoza
10151418432967592_9800360	Rosa Cruz
10151418432967592_9800414	BANANA!!!!
10151418432967592_9800779	BANANA!
10151418432967592_9801334	OMG
10151418432967592_9801767	BANANA!!!
10151418432967592_9802131	Luis Granados
10151418432967592_9802565	Jessica Crider
10151418432967592_9804185	BANANA!
10151418432967592_9804261	BANANA!!!
10151418432967592_9804493	BAAANANAAAA!
10151418432967592_9807881	BANANA!!!
10151418432967592_9808738	BANANA!!!!!!!!
10151418432967592_9809394	BANANA!!!!!
10151418432967592_9811584	BAANAANAAAAAAA!!
10151417714262592_9796376	Papoi..
10151417714262592_9796659	Andrea Ramos Forte
10151417714262592_9796811	http://www.progressive.com/dm2?utm_source=progressive&utm_medium=email&utm_content=share&utm_campaign=5009584
10151417714262592_9797005	me recuerda a nosotros cuando bromeamos xD Guido
10151417714262592_9966605	do do ha ha
10151417011402592_9793012	Even evil has a job to do!
10151417011402592_9793518	Go gru, OR GO HOME!
10151415722257592_9792898	adoribal
10151415722257592_9866939	o/)
10151415722257592_9890154	o)
10151415722257592_9900908	o)
10151415722257592_9909345	o)
10151415722257592_9910804	o)
10151415722257592_9959800	o)
10151415722257592_9961297	O)
10151415572652592_9784980	made me laugh!
10151415572652592_9785092	Cute!
10151415572652592_9785277	Jessica Truman...
10151414127777592_26143702	Ricardo Torres Andrade :) Miraaaa!!!!!
10151414127777592_26145852	o.0
10151414127777592_26154537	O-M-G!!! YAY!
10151414127777592_26172589	LMAO!!!!:)
10151409782832592_9751930	NO PROB!!
10151422651655163_25196122	omg Agnes is soo damn adorable
10151422651655163_25196186	Nadia Abde <3
10151422651655163_25196191	so excited
10151422651655163_25196232	OMGGGG
10151422651655163_25196354	quack quack :D
10151422651655163_25196492	Alexandra Perez
10151422651655163_25196517	quack quack :P
10151422651655163_25196591	Anna Tropiano Claire Paulhac SO EXCITED
10151422651655163_25196607	Jessica Alejos
10151422651655163_25196778	Amanda Ambrose
10151422651655163_25196841	Andres Torres Olga Romero
10151422651655163_25197576	Rosa Dorado Amarillis Dorado she is too cute  !!!
10151422651655163_25197691	quack quack
10151422651655163_25197872	OH <3
10151422651655163_25197875	Marce Avalos Andrade quack quack!
10151422651655163_25197952	Alexis Ortiz
10151422651655163_25198039	Lmao super cute.
10151422651655163_25198121	omo etan todos
10151422651655163_25198186	Capriana Alvarez
10151422651655163_25198417	Esteban Madrigal Agüero mira :3
10151422651655163_25198664	Miranda Johnson
10151422651655163_25198703	Sam Acance
10151422651655163_25198718	so excited
10151422651655163_25199111	Brenda Gomez mira brendaa
10151422651655163_25199714	Brandon Harris... lmao!
10151422651655163_25199790	Janice Ganatra :)
10151422651655163_25199979	FeRnanda Gaitan asi puede q sea Danika quemandonos a todos hahha
10151422651655163_25202420	Cute.
10151422651655163_25202968	Jessica Olivia
10151422651655163_25206180	quack quack
10151422651655163_25206719	SOOOOOO CUTE
10151422651655163_25207487	"quack quack" xP
10151422651655163_25207939	Cute<3
10151422651655163_25207979	<3 Maeva O'Brien
10151422651655163_25208299	:O
10151422651655163_25208303	<:O
10151422651655163_25209079	Norma A. Marin
10151422651655163_25209163	A poco no es tierno Dira Ambriz
10151422651655163_25213814	quack quack
10151422651655163_25214827	Cute!!
10151422651655163_25219351	quack quack
10151422651655163_25220480	quack quack
10151422651655163_25223137	quack quack
10151422651655163_25223645	SOOO CUTE! <3
10151422651655163_25228470	Jesus Estrada Angélica Noemí Caravez Plfx
10151422651655163_25231559	:OOO :D
10151422651655163_25233220	Jessica Marquez
10151422651655163_25243778	Jessica Donada
10151422651655163_25244029	Kenia A. Vaquiz
10151422651655163_25244273	Abraham Benavides
10151422651655163_25244434	Mayra Morais e Felipe Eduardo *------------* quem quer muito assistir ??
10151422651655163_25244504	EU QUERO MTMTMTMTMT ASSISTIR Brenda Vitoria Camargo *u*
10151422651655163_25245589	quack quack....
10151422651655163_25254010	Jose Dorame
10151422651655163_25254227	lmfao quack quack
10151422651655163_25255275	Amanda Pierce....OOOOOOH I CANT WAIT!!!
10151422651655163_25257505	LMAO!!!!!!!!!
10151422651655163_25261260	Paulina Vazquez
10151422651655163_25264334	Miranda Vazquez
10151422651655163_25264363	Alejandra Flores
10151422651655163_25267337	Cristina López   *_* dem pero dem cuchi...la veremos demasiao!!!
10151422651655163_25268451	Omg you have no idea!
10151422651655163_25269108	Briana Pacheco!!
10151422651655163_25269291	Cute <3
10151422651655163_25269575	Angélica Ortega-Franco
10151422651655163_25281842	Tara O'Brien quack quack haha
10151422651655163_25284040	Emma Emma Molt
10151422651655163_25284834	Bladimiro Blanco :O
10151422651655163_25287757	quack quack
10151422651655163_25287865	lmao! quakquak
10151422651655163_25288133	Tamuna Gudadze
10151422651655163_25288208	quack quack!
10151422651655163_25289216	quack quack
10151422651655163_25289526	Oscar Topete
10151422651655163_25291004	No da purge !
10151422651655163_25291516	quack quack!!!!!!!!!!!!!!!1
10151422651655163_25293097	MeLissa Castro
10151422651655163_25296404	JSLDLSKSLXKAKAKAKEOORIEUQHSMCLPWIQUAHDMWLOQJQJQKDKD M O R R I Almir Rodrigues
10151422651655163_25297639	Oscar Altamirano :)
10151422651655163_25297818	Awwww, ❤❤❤ Zeida Betance quack quack
10151422651655163_25298680	Muito bom esse filme *-*
10151422651655163_25300910	Amanda Monterrosa lmao
10151422651655163_25302144	Jose Antonio Partida
10151422651655163_25303010	Haha do hilarious 󾌴
10151422651655163_25306129	sO CUTE!!!
10151422651655163_25306611	MK Macerato quack quack
10151422651655163_25306846	OOH quack quack
10151422651655163_25310550	quack quack
10151422651655163_25323653	SO CUTE
10151422651655163_25324684	cute! naman
10151422651655163_25350653	O:)
10151422651655163_25367286	quack quack
10151422651655163_25380883	Brenda Salinas
10151422651655163_25409888	quack quack
10151422651655163_25443147	quack quack
10151422651655163_25482106	Adam Penland "quack quack"!!!
10151422651655163_25504300	Cute.
10151422651655163_25504823	Alfonso Cervantes
10151422651655163_25505723	Omg Arelii Garciia quack quack
10151422651655163_25506644	Lmfao XD AHAHAHA Javier Jasso
10151422651655163_25506716	quack quack
10151422651655163_25510355	OMG!!!!  SOOOOOO EXCITED!!!! <3
10151422651655163_25514867	Lmao!!!! Love it
10151422651655163_25515234	Jose Florido :D :D :D
10151422651655163_25515922	So cute
10151422651655163_25516328	Brandon Moreno :D <3
10151422651655163_25519670	Aasia Pereira
10151422651655163_25522502	Sam Vosper
10151422651655163_25526142	quack quack adorkable
10151422651655163_25534721	Oscar Rodriguez
10151422651655163_25535708	Joe Modes
10151422651655163_25537264	Janice Rodriguez Acevedo Vasmos a verla
10151422651655163_25539992	" oh quack quack" lmaoo Liz Rivas
10151422651655163_25540866	Chris Estrada
10151422651655163_25545290	Alexzandria Rich
10151422651655163_25547243	Paloma Coria
10151422651655163_25548434	Luis A Flores
10151422651655163_25550490	quak quak
10151422651655163_25550730	Te amo
10151422651655163_25567495	James Dench quack quack
10151422651655163_25669846	miiira Ileisy Dionicio Rodríguez ;;)
10151408218702592_9912028	osum
10151407826887592_9741289	SOOO cute!
10151407826887592_9741959	Pocoi
10151407826887592_9744465	To cute
10151405939397592_9731542	Eegads!!  NOT Flo!!!
10151405939397592_9731560	I HATE Flo!!! FLO NEEDS TO GO!!
10151405427227592_9725645	Miranda from Miranda!lol
10151405427227592_9726117	miranda is margo from despicable me
10151405427227592_9734207	hb miranda cosgrove
10151405427227592_9751825	uma delicia
10151405427227592_9765560	Amemosnos unos a otros como Dios nos ama!
10151405427227592_9768636	q  rico  pero  pasado  de  moda
10151405427227592_9789106	q linda se ve
10151405427227592_9993540	Omg Miranda Cosgrove
10151405427227592_10024622	Miranda Cosgrove has voiced margo!
10151404381412592_9719215	SO.....EXCITED!!
10151404381412592_9719261	A lot
10151404381412592_9719276	A lot
10151404381412592_9719332	Oscar Altamirano
10151404381412592_9719379	A LOT  ;D
10151404381412592_9719847	EXCITEMENT!!!
10151404381412592_9719963	BA NA NA??
10151404381412592_9720273	A lot
10151404381412592_9720844	um 2,003
10151404381412592_9722458	Gautam Poptani Aloks Ese'Tipo Patil cholo...........:)
10151404381412592_9723018	OMGE:o YES WE DO <3
10151404381412592_9726721	No168395265074327809112
10151404381412592_9734293	A lot
10151404381412592_9734813	no more
10151404381412592_9735776	Jessica! :D
10151404381412592_9736329	o[]o
10151404381412592_9739949	A lot
10151404381412592_9743365	:O
10151404381412592_9744545	>o<
10151404381412592_9745234	A LOT
10151404381412592_9751858	Norma A. Marin
10151404381412592_9762080	WAAAAAATTT Xandra Rose Sabrina Noti
10151404381412592_9765212	A lot
10151404381412592_9822484	A lot
10151404381412592_9875312	OMG
10151414564815163_25129345	Cute. <3 !
10151414564815163_25129391	Cute!!!
10151414564815163_25129423	O:)
10151414564815163_25129441	Cute..
10151414564815163_25129509	:O
10151414564815163_25129543	So cute
10151414564815163_25129590	no dout
10151414564815163_25129787	GO MINIONS
10151414564815163_25129844	SOOOOO CUTTTEEEEE
10151414564815163_25129873	So cute
10151414564815163_25129886	Miriam Bojorquez Campos
10151414564815163_25130024	3 De Julio! Ya Falta Poco :)
10151414564815163_25130285	Q BONITO TE PARECES A LA  NENITA..JAJA
10151414564815163_25130730	So cute
10151414564815163_25130765	So cute
10151414564815163_25130776	So cute
10151414564815163_25130780	OMGGG
10151414564815163_25130850	Cute ❤
10151414564815163_25131040	Maribel Mendoza For your mom! Lol& Patricia Lara Andrade Love u mom!
10151414564815163_25131247	Esta chida palos kidss.
10151414564815163_25131401	Debra Alvarado-Rocha
10151414564815163_25131477	Oh no
10151414564815163_25131708	im so excited
10151414564815163_25131713	SO PRECIOUS
10151414564815163_25132122	Sara Torossian
10151414564815163_25132124	SOO cute!! x3
10151414564815163_25132225	Anrea Santos so cute!!!
10151414564815163_25132792	SO FUNNY!!!
10151414564815163_25133318	Yuliana Estrada :D
10151414564815163_25133366	im so exsided
10151414564815163_25134407	So cute
10151414564815163_25135067	Cute!
10151414564815163_25135339	ADORABLE AND SO FUNNY
10151414564815163_25135354	Cute!
10151414564815163_25135638	 So cute
10151414564815163_25135713	Cute !!!
10151414564815163_25136284	so cute!!!!!! xo
10151414564815163_25136797	Adriana Campos Porras :3
10151414564815163_25136857	SO CUTE
10151414564815163_25138422	im so excited
10151414564815163_25139295	Que lindo!!!!! NUnca cresça.... é verdade...Beijos, CRis.
10151414564815163_25139541	Cutest video ever
10151414564815163_25140343	OMG SO CUTE!!!!!!!!!!!!!!!!!!!!!!
10151414564815163_25140479	So cute
10151414564815163_25140596	Cute!
10151414564815163_25140601	Cute!
10151414564815163_25140929	momcons
10151414564815163_25146325	So cute
10151414564815163_25163178	so excited
10151414564815163_25185943	SO CUTE
10151414564815163_25198680	Monica Gomez LMAO!
10151414564815163_25199724	Luz Estrada :)
10151414564815163_25239196	Cute!
10151414564815163_25246245	Hermosa Agnes!!
10151414564815163_25422280	Adrian Paul Rosete SO EXCITED
10151414564815163_25427831	So cute
10151414564815163_25531917	So cute
10151399483992592_9689962	Love da mom and gru :D
10151399483992592_9707746	chcem vidieť
10151398090192592_9679659	Suzi A Manculj
10151398090192592_9679818	Yuvia Arredondo
10151398090192592_9679848	Soro :D
10151398090192592_9679967	lmao Alejandro Boss Ocampo
10151398090192592_9680677	LMAO!!!!
10151398090192592_9681166	Joshua Bradford
10151398090192592_9683156	Classic!:O 
10151396923342592_9671182	OWNED
10151396923342592_9671367	Poi poi?
10151396923342592_9671682	NIMO?!
10151396923342592_9673451	no banana for you Dave!
10151396923342592_9677028	Poca!
10151395822147592_9662581	PACdog
10151394152947592_9647791	no.
10151394152947592_9680215	No.
10151394152947592_9688033	no no
10151394152947592_9755167	O:)
10151392572057592_25950974	Florida!!!
10151392572057592_25951366	come to colorado
10151392572057592_25951572	O...M...G...ITS SO CUTE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10151392572057592_25951677	Orlando, FL!!!
10151392572057592_25954792	BANANA!!!!!
10151404405045163_25053090	Jose Arreaga :)
10151404405045163_25053155	Rio
10151404405045163_25053343	funnt e ho eho eho eho
10151404405045163_25053603	Bido,bido,bido
10151404405045163_25053793	Vanessa Acosta
10151404405045163_25054106	Jéssica Venturini
10151404405045163_25055092	Beatriz Ramos :)
10151404405045163_25055354	Fernando Jose Casco
10151404405045163_25055470	Anna Mendoza
10151404405045163_25056491	>:o   .. :D
10151404405045163_25058813	O
10151404405045163_25059746	hahaha stra6no e tva
10151404405045163_25060804	*o*
10151404405045163_25061237	lmfao!!!!!!!! :)
10151404405045163_25061407	PEDO!! ^_^
10151404405045163_25065865	Antez out
10151404405045163_25070604	Gabriel de Oliveira Natália Quideroli
10151404405045163_25075875	NO ASIA, NO.
10151404405045163_25079367	Azucena Olivares Labastida :3
10151404405045163_25097476	Ana Luisa Brocco Ferrari Ana Carla Digieri Cavalheiro Juliana Hespanhol Maffei
10151404405045163_25423937	▓▓²╚ã♣♣
10151404405045163_25519373	"OLO"?
10151404405045163_25527472	no me gusta, me encanta!!!
10151389928987592_9595185	Osvaldo Hernandez Morales
10151389928987592_9595225	:O
10151389928987592_9595233	Oh no..... :0
10151389928987592_9595248	:O
10151389928987592_9595475	<3<3<3 SO CUTE!!!
10151389928987592_9595512	No :(
10151389928987592_9595514	mm, no
10151389928987592_9595540	Alim Alvarado lol
10151389928987592_9595551	Amanda Rose
10151389928987592_9595606	No!!!
10151389928987592_9595713	Sigfredo Maldonado
10151389928987592_9595760	evil minions?! :O! Elia!
10151389928987592_9595770	Alicia Huab Lwg Ci!
10151389928987592_9596268	Nicole Cadavid
10151389928987592_9596506	MiKs Sim Cute lo!
10151389928987592_9596916	Kim A. Goco :D
10151389928987592_9597102	hermosos ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
10151389928987592_9600241	So cute
10151389928987592_9600665	Anna Mendoza
10151389928987592_9602612	OMG Liza!!!! OMG OMG OMG
10151389928987592_9605920	Verusca Picamilho
10151389928987592_9606091	OMG
10151389928987592_9609413	Oh no. Evil minions.
10151389928987592_9616838	Analia Aquino
10151389928987592_9637401	O so cute
10151389928987592_9638797	Norazura Mohamad Foat
10151389928987592_9661117	ER...MA...GERD O.o
10151389928987592_9668518	O.o
10151389928987592_9673974	Rodrigo Fontes
10151389928987592_9909749	o x Diosssssssssss
10151389928987592_9956063	LMFAO!!!!
10151389530077592_9592126	Ross
10151389530077592_9592670	Porque no miro nada? :@
10151388204067592_9607906	^no.
10151388204067592_9709000	Waou! :O
10151387585027592_9570584	Te da de da de da de.....
10151378728487592_9495427	<3 Jairo
10151378728487592_9495924	Cute!
10151378728487592_9496155	Oh nom nom nom
10151378728487592_9496551	Norma A. Marin
10151378728487592_9496671	Nadia Louis
10151378728487592_9498030	Sergio Luis Cano
10151378728487592_9498297	miranda cogsrove's bad..
10151378728487592_9528470	"Oh, nom" -Agnes
10151377246532592_9490953	Oh no!!
10151377246532592_9596590	OOO NO PAPOY!!!!!!!
10151374761677592_9486045	@ um
10151374761677592_9487150	Vero Lam Leao
10151373221772592_9452873	PO POY.... :D
10151373221772592_9453035	Grandoso
10151373221772592_9453161	Tricia Palmer
10151373221772592_9454164	:O  <3
10151373221772592_9454797	eu aprendendo a dirigir na avenida kkkkk Rafaela Araujo
10151373221772592_9454977	Jude Al-Zoumot
10151373221772592_9455031	grnde merda Gustavo Sousa débil.
10151373221772592_9455074	lindos *-*
10151373221772592_9456346	Samantha Contos
10151373221772592_9458325	too adorbs
10151373221772592_9458749	popai
10151373221772592_9463018	Jessica Flint
10151373221772592_9463927	OMG
10151373221772592_9464531	Que lindinhos Ksil
10151373221772592_9465396	Maira Correia
10151373221772592_9469191	eu ne um carro
10151373221772592_9478338	PRDRDRDRDRDRDRD JAJAJAJAJAJA ESTA BONITA NO Maribel Olguin VAMOS AVERLA SIP
10151373221772592_9750911	mm amouuuu estas cositasss lindas
10151368188367592_9411956	Oscar Altamirano :)
10151368188367592_9412145	No. ):
10151368188367592_9412639	beso? Jessika Oseguera
10151358900552592_9346693	come in Trinidad!
10151358900552592_9352279	:OOOO
10151357593987592_9337919	Madalena Figueiredo olha esta foto minha no estágio xD
10151354936607592_9452886	Linda Rios
10151349338522592_9279724	Vanessa Sanabria
10151348454597592_9273470	Alexis Riordan
10151348454597592_9273521	Ridiculous!
10151348454597592_9274006	Come to Oklahoma!!!!
10151346803897592_9264072	Adriana Campos Porras :3 Agnes :)
10151346803897592_9265203	So cute
10151346803897592_9266295	So cute
10151346803897592_9270947	So cute
10151345779257592_25553916	O NOOOOO
10151345779257592_25557704	BANANAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!!
10151345779257592_25566216	Cute !!!
10151344757337592_9245160	Ca
10151344757337592_9247292	So cute
10151339830222592_9209977	Cute <3
10151339830222592_9210155	So cute
10151339830222592_9210428	Mom!!!!!!!
10151339830222592_9210442	adore it =]
10151339830222592_9210611	OC* ^
10151339830222592_9218422	Awww do adore able:)
10151339830222592_9218737	SO CUTE!!
10151339830222592_9218784	O MY GODD!!!!!!!!!!!
10151338374067592_9201449	Ricardo Arturo
10151338374067592_9201564	piranha gun !
10151338374067592_9206145	V >:O :P
10151337120202592_9191629	O.o
10151337120202592_9191702	BANANA!!
10151337120202592_9191932	Pe PoOO pePoooOOOOO
10151337120202592_9204809	martes
10151335750077592_9181434	So cute
10151335750077592_9183416	A-dorbs!!!
10151335750077592_9217484	Cute.
318452341614789_1528072	<3  SO CUTE <3
10151330664562592_9157061	Bee-do Bee-do :D
10151330664562592_9157101	Rodrigo Ortins Ferreira xD
10151330664562592_9157116	adoro esta pelicula
10151330664562592_9157395	RossxD
10151330664562592_9180997	LMAO!!!
10151330420587592_9148023	cul  :P :O :P :P :P :P
10151330420587592_9150343	oa <3
10151330420587592_9392402	MAY PLANO TAYO...
10151330213927592_9146460	GO MINIONS,,,,,
10151330213927592_9146662	Laredo texas
10151330213927592_9146806	:O
10151330213927592_9150293	Boss
10151330213927592_9173514	Fabulous!
10151329306012592_9139289	its do do bee do be do bee do bee
10151329306012592_9139578	Be do be do
10151329306012592_9139586	:O :O :O <3 <3 Maxime Déry va trop falloir que tu me la montre :3
10151329306012592_9140701	Jessica R. Espinoza
10151329306012592_9142776	Cute 
10151329306012592_9143234	Cute!
10151329306012592_9143280	J'adore!
10151329306012592_9143724	do de doo be do ba agant P!!!!!!!
10151329306012592_9144780	BEE-DO >:O
10151328985102592_9135220	A MINION
10151328985102592_9135309	Nemo!!
10151328985102592_9135485	a chode?
10151328985102592_9135582	I have no idea!!!!
10151328985102592_9135654	A dildoe
10151328985102592_9135746	BANANA!!!!!!!!!
10151328985102592_9136059	arcade gun
10151328985102592_9136128	Torpedo minion
10151328985102592_9136218	A dodo, lol
10151328985102592_9136241	A pencil
10151328985102592_9136436	A dildo
10151328985102592_9136629	Piranha
10151328985102592_9136786	torpido
10151328985102592_9137077	a tampon
10151328985102592_9137483	A squid o3o
10151328985102592_9137532	O__O
10151328985102592_9137584	a Torpedo Minion
10151328985102592_9138029	A pencil
10151328985102592_9138260	or a mim
10151328985102592_9138384	dominian
10151328985102592_9138418	dominian
10151328985102592_9138817	A FLYING MILLION,?
10151328985102592_9139717	Or a dog
10151328985102592_9139833	a squid
10151328985102592_9139834	A Blimp
10151328985102592_9140194	Bee do. Bee do. Bee do.
10151328985102592_9147738	A node woman
10151328985102592_9148728	A ROCKET
10151328985102592_9176013	A dick
10151328985102592_9203657	O YEA
10151328985102592_9618622	Despicalme
611106885569534_7359057	SO EXCITED!!
611106885569534_7359162	Cute!
611106885569534_7359269	Omfg!!! Be do be do be do lmfao.. I can't wait!
611106885569534_7359371	Jessica Vega
611106885569534_7359700	Miranda Chavez
611106885569534_7360098	im so excite
611106885569534_7362450	SO FUN !~
611106885569534_7363240	be do be do be do
10151326031392592_9117320	OMG SO EXCITED!
10151326031392592_9117341	Poi Poi pitrr
10151326031392592_9117730	ROFLMAO!
10151326031392592_9118122	Julia D'Amico
10151326031392592_9118426	"be do, be do, be do"
10151326031392592_9119388	*BEEDO BEEDO BEEDO*
10151326031392592_9119512	SO EXICTED
