10151475870412592_10052264	Roni Pham
10151450171707592_9946638	Blannana!!!!!!!!!!!!!!!!!!1
10151450171707592_9946863	I'm a banana, I'm a banana!
10151450171707592_9946864	Ba-na-na-na HAHAHAHA
10151450171707592_9946926	Ba-na-na? Ten para tu!
10151450171707592_9947105	ku palagu banana :D
10151450171707592_9947919	banana?????????
10151450171707592_9948049	Ring, ring, ring, ring...Bananaphone for you!
10151450171707592_9948307	Banananana!
10151450171707592_9948724	Ba-na-na? Ba-na-na!
10151450171707592_9948754	banana
10151450171707592_9950115	Hehe abanana
10151450171707592_9950899	Banana?
10151450171707592_9950951	Banana? BANANA!!
10151450171707592_9951189	"Banana?" "WHHHHHAT?"
10151450171707592_9951295	banana?
10151450171707592_9951772	b-b-b-b-b- bana-nana-nana-b-b-b-b-ba-na-nana-nana nananana
10151450171707592_9958766	banna?
10151450171707592_9960476	Nana?
10151450171707592_9961808	Tryzee Banana!?!
10151450171707592_9965212	hawaii party
10151450171707592_9969516	Banana ?
10151450171707592_9975959	ba na na plah!
10151450171707592_9980346	Banana bananana~
10151450171707592_9985418	banana hehe
10151450171707592_9992142	wanna peel my banana?
10151450171707592_9995233	Oh Banana!
10151450171707592_10006487	Minions LOVE bananas!
10151450171707592_10007910	Banana
10151450171707592_10049150	banana
10151449662542592_9940696	Illuminaughty!!!
10151449662542592_9940779	IlluminatiON
10151449662542592_9940871	Banana.? BANANA.?! BAANAANAAA!!!
10151448444637592_9935600	Ba nan na
10151448444637592_9935675	Banana!
10151448444637592_9935690	ILLUMINATIon
10151448444637592_9935877	omg PURPLE!!!!!
10151448444637592_9935921	Samantha Billington
10151448444637592_9937154	hhhhh，banana
10151448444637592_9937195	purple bananas silly
10151448444637592_9938826	Chin ZhingHang Zhen Tao Ooi
10151448444637592_9938980	Banana?
10151448444637592_9953100	banana
10151459176355163_25478290	Angela Sipes
10151459176355163_25478295	Oh Poor minion,  hahaha.... :P
10151459176355163_25478345	YAS ! Angelica Angie Romeo Arpino
10151459176355163_25478542	Nathaly Aramayo
10151459176355163_25478696	Adriana Salas <3
10151459176355163_25478876	Naaz Paul
10151459176355163_25479059	Adriana Espinosa I can't wait!
10151459176355163_25479074	Mélissa Tremblay !!!
10151459176355163_25479117	banana!
10151459176355163_25479313	Pi pi pi
10151459176355163_25480048	Hao Koo
10151459176355163_25480336	Karina Llamas
10151459176355163_25480368	banananana
10151459176355163_25482241	like q 2...xn mapanood 2 sa sine
10151459176355163_25482633	Teyana Azalia Simi lol
10151459176355163_25483775	Serena Wang Omi Naomi Yang Natalya Langford Rennie Jiang René Chang Cindy Wu
10151459176355163_25484453	Mohit Agarwal
10151459176355163_25486792	Lmao Karely
10151459176355163_25487200	Manda Ann
10151459176355163_25495189	manonood ako nito ^^
10151459176355163_25499351	Virgin-Boy Bryan Salick
10151459176355163_25500694	P
10151459176355163_25502083	Lindsay Kim
10151459176355163_25502857	Are you taking me Karla Ronquillo?
10151459176355163_25504969	patoy
10151459176355163_25505074	Katelina Galán
10151459176355163_25505653	banana!!
10151459176355163_25505684	Lindsay Kaslavage
10151459176355163_25505715	Paw Clay   June Say
10151459176355163_25506882	ang kolit
10151459176355163_25509171	Angel  :)
10151459176355163_25509788	Peggy Sandoz
10151459176355163_25509837	Papoii parA tu
10151459176355163_25510648	Angelina
10151459176355163_25511871	Crystalito Salinas
10151459176355163_25516658	Jonny Maturino omggggggggggg
10151459176355163_25518813	Runrong Kwan
10151459176355163_25519215	lol glug glug glug lol
10151459176355163_25522691	May sana ipapalbas to. Kaso nagkaroon ng isyu sa gumawa ng mga minions and sa director at ibang creator.
10151459176355163_25522692	Matutuloy na ata?
10151459176355163_25522697	Nagiba ung story.
10151459176355163_25522775	Cana Danys
10151459176355163_25529831	nakakatawa
10151459176355163_25535958	Jennie Elias ay sales haha
10151459176355163_25539046	Dayana Mardueno let's go watch it !!!!!!
10151459176355163_25540331	Okay (: <3
10151459176355163_25548631	HuiiYing Ou
10151459176355163_25555776	Bottom (laughing)
10151441542812592_9908363	Awe pipi- minion!
10151441542812592_9908975	banana
10151441542812592_9909821	aww <3 :*
10151441542812592_9909851	Angelina Goodwin
10151441542812592_9910777	Kapanyaaaaaa!!!!!
10151441542812592_9925427	Papoy!
10151441542812592_9936267	sassy
10151441542812592_9992469	Pippi Longstocking is turning into a minion! LOL
10151441542812592_10050536	AWW :)) ADORABLE !!!
10151441203797592_9906661	Banana
10151441203797592_9906673	Banana, na na na na, banana na na, na na!
10151441203797592_9906682	Minions are going  Bananas!!
10151441203797592_9906683	banana? ...BANANA!!!!
10151441203797592_9906698	Banananana bananana banananana bananana popsicleeeee
10151441203797592_9906701	Banana bananana banana bananana
10151441203797592_9906704	Me banana you banana :D
10151441203797592_9906741	Ba-ba-ba-banana :)
10151441203797592_9906742	papoy!!!!!!!!!!!
10151441203797592_9906743	Ring ring ring ring ring BANANA PHONE!
10151441203797592_9906746	"Poka poy" "no no no no Poland POy"
10151441203797592_9906747	Banana?!?
10151441203797592_9906748	One banananana para tu
10151441203797592_9906750	Want a banana?
10151441203797592_9906755	Banana!....banana?....bana....ahhhhhh?!?!
10151441203797592_9906756	I banana, you banana, WE BANANA!
10151441203797592_9906768	papoy ?
10151441203797592_9906769	Banana!!
10151441203797592_9906772	Another banana.
10151441203797592_9906773	Plano na tayong sumugod!
10151441203797592_9906776	Copacabana song lol
10151441203797592_9906777	Banana(:
10151441203797592_9906779	here's a ba-na-na!
10151441203797592_9906783	Gru is calling... banana? :)
10151441203797592_9906791	Banana ?
10151441203797592_9906794	Ba-na-na?
10151441203797592_9906803	It's a ba ba ba ba banana!
10151441203797592_9906805	Bo-na-na
10151441203797592_9906812	Banana? Uh...no.
10151441203797592_9906815	Me banana you banana we all go crazy banana !!!!!! :D
10151441203797592_9906817	mananana!!
10151441203797592_9906836	wanana oop!!
10151441203797592_9906842	ba-poy
10151441203797592_9906844	Haha the banana man is calling
10151441203797592_9906846	Banana??
10151441203797592_9906847	Ring ring ring ring ring; banana phone!!
10151441203797592_9906856	Banana ? Na na na ?
10151441203797592_9906859	papoy papoy
10151441203797592_9906874	banana family
10151441203797592_9906887	tally me banana
10151441203797592_9906894	orange you glad I didn't say banana
10151441203797592_9906895	Banana my good minion?
10151441203797592_9906896	ay! papoy! Papoy? no no no Papoy! oh papoy! bwahahahahaha!!!!!!!1
10151441203797592_9906909	ahhh ba-na-na! ba-na...eh?
10151441203797592_9906916	Banana?
10151441203797592_9906949	Copacabanana!
10151441203797592_9906953	Banana?
10151441203797592_9906962	Minion banana split 
10151441203797592_9906976	U want banana? 
10151441203797592_9906979	Gimme a Banana
10151441203797592_9906980	Banana aren't u glad I didn't say orange!
10151441203797592_9906997	Banana?
10151441203797592_9906998	Ba-na-na-na-na-na-na!
10151441203797592_9907010	Tropical Minana.
10151441203797592_9907026	Ahhh.... Banana? Banana!!! Ba ba ba ba ba banana!!!
10151441203797592_9907052	aw ban-nana for you
10151441203797592_9907054	One banana, two banana
10151441203797592_9907061	Orange you glad I didn't say banana again?
10151441203797592_9907062	Look bannana .......BANANA !!!!!!
10151441203797592_9907074	Hulu want a banana???
10151441203797592_9907095	banana para mi y banana para ti. :)
10151441203797592_9907121	Banana gelato? What do you think?
10151441203797592_9907142	Banana.
10151441203797592_9907143	banananana???? nahnananana!!!!
10151441203797592_9907151	Banana an banana
10151441203797592_9907173	Look! Look! Banana! Aaaahhhhh!
10151441203797592_9907180	nice banannas!
10151441203797592_9907213	Banana?!
10151441203797592_9907223	Banana Oe!
10151441203797592_9907242	Tempting bananas!
10151441203797592_9907260	Banana-nana lick-a jamma!
10151441203797592_9907262	Want Banana?
10151441203797592_9907283	Oy! Look at mi banooouna!
10151441203797592_9907289	Zack Pangelinan :(
10151441203797592_9907296	"anana spit" What did you say, oh Banana Split..bahahahhah
10151441203797592_9907337	Uno and dos bananas! :)
10151441203797592_9907362	Lickable Popoya!
10151441203797592_9907369	banana...:D :D :D
10151441203797592_9907392	Aloha-la banana?
10151441203797592_9907410	In minion garble Banana Polka!
10151441203797592_9907425	Conana?!!! :)
10151441203797592_9907427	Wanna have a hula banana golf luau?
10151441203797592_9907431	one banana, two banana, three banana, eh banana!
10151441203797592_9907435	one banana two banana ..MINE  :D
10151441203797592_9907463	Banana na na na knock knock
10151441203797592_9907469	"Banana?" "Balala."
10151441203797592_9907483	Copa copabanana!!!!
10151441203797592_9907516	Ba-na-naaa? no my Ba-na-na!!!!
10151441203797592_9907555	My bananas don't lie.
10151441203797592_9907557	Banana anyOne LOL!!!!!!!!!!!!!!
10151441203797592_9907624	Lets go bananas!!!
10151441203797592_9907665	Bnamnamna?
10151441203797592_9907675	Hold ur tongue and sing "Banana-nana fo fana"
10151441203797592_9907676	You like ba-na_nas? Carl?
10151441203797592_9907683	Banana?  :)
10151441203797592_9907745	Banana?
10151441203797592_9907750	Do u want banananana? My tongue is stuck :((
10151441203797592_9907809	This banana is on me kid!!
10151441203797592_9907814	Na na na naaaaa I got a banana!
10151441203797592_9908002	Banana!
10151441203797592_9908020	banana
10151441203797592_9908089	Banana!
10151441203797592_9908093	Minion left: Banana? Minion right: Aaahhh Lalapap!
10151441203797592_9908105	Its banana time laddie
10151441203797592_9908139	How many licks will it take to peel this ba-ba-ba-ba-ba-na-na?
10151441203797592_9908155	Ba!na!uh..
10151441203797592_9908183	Ananna? Huh?
10151441203797592_9908282	Hawaiina banana bababa babab ba ba nanana nanana
10151441203797592_9908534	Banana?
10151441203797592_9908536	Bananana?
10151441203797592_9908552	Banana, Banana, Banana, Banana, POPsicle!
10151441203797592_9908592	1 banana 2 banana............ stick!
10151441203797592_9908624	"ba na na...." "eh?"
10151441203797592_9908744	one banana, two banana,....lalala
10151441203797592_9908746	Bo-nana hula
10151441203797592_9908764	Copa banana para tu!
10151441203797592_9908775	Banana?
10151441203797592_9908983	Manana, para tu!
10151441203797592_9909001	"Banana?" "No popsicle" "No banana" " popsicle "banana"popsicle' NO BANANA!!!!!!" ok fine" Banana?" Banana."
10151441203797592_9909125	Time to go bananas.
10151441203797592_9909131	sexiiii, papoy !!!
10151441203797592_9909304	banana....:)
10151441203797592_9909365	Papoka? Banana?
10151441203797592_9909383	Banana?
10151441203797592_9909501	Ring ring ring ring ring.. Bananaaaa phonne! Boopadoopiedoop!
10151441203797592_9909586	Banana
10151441203797592_9909602	CobaBanana
10151441203797592_9909628	Ba Ba Ba Banana na Ba Ba Ba Banana na POPSICLE.  No.  It's POTATOE not POPSICLE!
10151441203797592_9909926	banana
10151441203797592_9909974	banana?
10151441203797592_9909983	Bluth Original Frozan Banana?
10151441203797592_9910442	Bananananananananananananananananananananana (batman them SONG)
10151441203797592_9910532	Banana?
10151441203797592_9910749	try some banana-sicle (banana+popsicle):))
10151441203797592_9911950	banana
10151441203797592_9911970	Banananana!
10151441203797592_9912283	Say banana now!
10151441203797592_9912368	Go bananas!!
10151441203797592_9912549	"Banana?"
10151441203797592_9912702	Bannana!!!!!!!!!:):)
10151441203797592_9912751	Banana Pa Tu?!!
10151441203797592_9914675	Ba, ba, ba, banana!
10151441203797592_9914767	Papouii?? Banana!!!!!
10151441203797592_9914813	Banana? :3
10151441203797592_9916006	banana? banana is always the answer
10151441203797592_9916194	Taking it tropical
10151441203797592_9916207	Banana! :):):)
10151441203797592_9916670	"Magic Bananas!!!"...."WHAAAAAAT!?"
10151441203797592_9916673	banana
10151441203797592_9920238	Meet Banana 1 and Banana 2
10151441203797592_9921855	Banana??? BA-NWA-NA!!!!!!
10151441203797592_9937253	I got two bananas, i got two bananas today hey hey!
10151441203797592_9945082	thats my banana!!!
10151441203797592_9945351	haha :poop: (^^^)
10151441203797592_9957574	"BaNaNa??"
10151441203797592_9971092	Minon says....take banana!
10151439301947592_9898629	tan lindos
10151439301947592_9898752	ba ba ba banana na nah...
10151439301947592_10014343	good danceing guys
10151437914872592_9893469	banana!
10151437914872592_9981909	Ba ba ba BAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA *PUNCH* *PUNCH* *PUNCH* *PUNCH* *PUNCH* *PUNCH*
10151437914872592_10014720	ba ba baba nana ba ba ba baba nana POTATOOOOOO
10151436905802592_9887499	Omg
10151436905802592_9887921	Giri Ananto
10151436905802592_9888140	pa poy :)
10151436905802592_9937065	Happy Song
10151436905802592_9966315	daaaaaaaaaaaaaaaaaaaaaaaaannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnngggggggggggggggg that is   lots of minons
10151436905802592_10044427	Jc Gigabyte so many minion!!!
10151450219560163_25409107	waitingggggg
10151450219560163_25409171	Alae Dagh Asmaa Az
10151450219560163_25409312	Hataf Siyal
10151450219560163_25409316	Anna Reusing
10151450219560163_25409390	Alaina Monroy
10151450219560163_25409426	Thao Dang
10151450219560163_25409468	Mika Smith
10151450219560163_25409493	Ana Christina Morales
10151450219560163_25409539	Pat Viray
10151450219560163_25409598	0:02 Still Loving Banana ☺ ..
10151450219560163_25409674	Diana!! OMGAAGAAGH
10151450219560163_25409792	Nataly Nguyen
10151450219560163_25409912	Ngan Huynh pido pido!
10151450219560163_25409963	Mina Mina Toor
10151450219560163_25409982	Troy Hamilton
10151450219560163_25410489	Matt Lugar Andrea Lugar Robyn Lugar Ahahaha!
10151450219560163_25410583	Siba :)
10151450219560163_25410673	Angela Armstrong
10151450219560163_25410691	Brandon Gates banana.
10151450219560163_25410842	Lisa Matrale
10151450219560163_25410850	Ann Dao
10151450219560163_25410852	Naomi Magid
10151450219560163_25410937	Regina Palomar
10151450219560163_25411228	Paulina Alcantar Luna
10151450219560163_25411319	Mahsa ;)
10151450219560163_25411581	Hanan
10151450219560163_25411594	Whitney Stevens banana nananana
10151450219560163_25411697	Banana!!!
10151450219560163_25411794	hahaha I saw that butt lol
10151450219560163_25411857	Marlon Soyangco Alyssa Wu Xuefang Shirley Hwang
10151450219560163_25411858	Carolina Bonilla Reyes
10151450219560163_25412007	Moana ba ba ba ^_^
10151450219560163_25412050	Jayna Evans
10151450219560163_25412123	bannaananan
10151450219560163_25412249	omg omg omg >.<
10151450219560163_25412362	Runrong Kwan
10151450219560163_25412510	Teddie Nguyen banana song hay hon
10151450219560163_25412714	Lapit na to!  Mapanood nga! :-)))
10151450219560163_25412812	Aline, Maya, Rhayssa
10151450219560163_25412934	Alicia Kang Rose Park
10151450219560163_25413030	Anghie Uy
10151450219560163_25413036	Ponchita Chaiyakam
10151450219560163_25413101	Hannan Rawda ang dami nilaaaaa!:""">
10151450219560163_25413251	ba!ba!ba! ba!ba!na!na! ☺ ♥
10151450219560163_25413361	Paola
10151450219560163_25413390	Luz Maria Aguilar
10151450219560163_25413495	panoorin ko ganda ng 1 nito meaning ganda din 2ng 2,...
10151450219560163_25413531	may 1 pala nito.... inaabangan ko kc 2 nito :D
10151450219560163_25413968	Hop Dang
10151450219560163_25414265	atapot tapot!!! papoy!!!
10151450219560163_25414360	hahahah omgg <3 Ryan Schindo
10151450219560163_25414401	Banana..
10151450219560163_25414497	ayos ahh may sarii na silang show
10151450219560163_25414522	Hilary Hilary urggggggggg :xxxxxxx
10151450219560163_25414751	omg :O
10151450219560163_25415292	Nino Sasania
10151450219560163_25415293	Kalena So lolol
10151450219560163_25415599	Amr El-Darawy
10151450219560163_25415969	Angel Ivan LunaYA TIENE FECHA!!!!! :DDD
10151450219560163_25416008	Adriana Mazariegos Miraaaaa!!!!
10151450219560163_25416016	Angel Ivan Luna SIIIIIIIIIII :DDD *w*
10151450219560163_25416109	Kayee Wong ♥
10151450219560163_25416132	Anthoyla Juggling
10151450219560163_25416177	papoyy??
10151450219560163_25416362	Kyuwon Kang JULY 3~
10151450219560163_25416561	Camryn Phan
10151450219560163_25416663	banana bababanana
10151450219560163_25416758	popoy popoy poooopoy
10151450219560163_25416766	Alina
10151450219560163_25416881	Andy KangAmy KangJennifer Kim 양진호
10151450219560163_25417191	Pingyin Lee
10151450219560163_25417352	pa poy
10151450219560163_25417566	Apurva  Abhay Amogh Ajinkya Shloka :)
10151450219560163_25417570	Αmazing <3
10151450219560163_25417953	Angela Zhang ITS PG??? Y?? APPARANTLY THERES RUDE HUMOR AND MILD ACTION
10151450219560163_25418074	Carling!!!!!!!!!!!
10151450219560163_25419294	Amy Higashiyama Hoang Vu Bin Nuong Le Lam Lê :(((((((
10151450219560163_25420140	hongita !! Wloria Salinas
10151450219560163_25420381	Khem Rose babababababababababababnnananananananannannannnanan
10151450219560163_25421821	Popoy
10151450219560163_25421878	Kim Farren Garcia ^_^ <3 bababababanana
10151450219560163_25423103	Omg can't wait Alana Calmi
10151450219560163_25423434	Karol Nathani :D
10151450219560163_25423737	Justin Callanta tan.aw ta ani
10151450219560163_25426248	Michael Araya Solano <3
10151450219560163_25426297	Isabella Hofinga
10151450219560163_25426483	omggggg ;)
10151450219560163_25427803	Nathan Hamiltonan
10151450219560163_25429723	pa poy !
10151450219560163_25431294	Carolina Amet Lupita Uscanga Nidia Uscanga
10151450219560163_25431662	Amalay Florat
10151450219560163_25433814	Anna Kimareum sponsor by subway? okay:)
10151450219560163_25434992	Angela
10151450219560163_25435657	Lalo Luna !!!
10151450219560163_25436246	bababababanana bababababa babanana ... and also papple
10151450219560163_25436777	Greg Aguilar
10151450219560163_25436924	Lisa Guan  legooo
10151450219560163_25437171	ninuninuninuninuninuni
10151450219560163_25437290	Abigail Garcia Kim Ho
10151450219560163_25437348	Mariana Serna I knoooowwwwww!!!!!
10151450219560163_25437503	ba ba ba ba nanana bababa ba nanana bananaAAA POTATO!
10151450219560163_25438379	Banana!!!!!!!!!
10151450219560163_25438981	Darly Zuniga okayy(;
10151450219560163_25443483	Luis Barragan
10151450219560163_25443854	AAHHHHH, !!!!!! <3
10151450219560163_25444163	Blan Ca
10151450219560163_25444626	Lmao
10151450219560163_25444814	I am so going
10151450219560163_25445674	*-* can't wait mi papooyyy <3
10151450219560163_25446127	Kim Xiong
10151450219560163_25446849	Evgenia Nigay
10151450219560163_25447079	Angie Zayas Isairis Tran
10151450219560163_25447977	Thong C. Ngoer  :) <3 yayayayaya
10151450219560163_25448278	Erika Delarosa ur lil niggas! :D
10151450219560163_25448327	AHAHA
10151450219560163_25449227	Katelyn May
10151450219560163_25449437	Luis Martinez okay ? Okay ! :3
10151450219560163_25449765	Morgan Sabo
10151450219560163_25450546	Tabitha Jacqueline Bayangos
10151450219560163_25450994	espren.. Mel panoorin natin to sa birthday mo ung showing ohh xD
10151450219560163_25453005	Karina Aguilar
10151450219560163_25455128	I gonna see it maybe
10151450219560163_25458150	Kayla Zamarripa
10151450219560163_25459194	Donna Wong :0
10151450219560163_25459284	Martin Dingdong
10151450219560163_25460794	Dylan Bowman hahaha our song!! :D
10151450219560163_25461570	gusto ko na silang makita sa july 3!!excited na ako!!
10151450219560163_25463289	Dayana Nur
10151450219560163_25464815	Naaz Paul
10151450219560163_25467214	Issa Gaytan
10151450219560163_25467231	Amit
10151450219560163_25467362	Amy Park leggoo
10151450219560163_25467682	.p4p;.'''
10151450219560163_25468165	nooo
10151450219560163_25468309	Lisa Bogart
10151450219560163_25468662	Thitipong Assarasakorn. ดู !!!! พาไปดู
10151450219560163_25468827	Kate Haas Andy Haas
10151450219560163_25469248	Ana Rayl Breanna Phillips
10151450219560163_25469650	Ik Mo An
10151450219560163_25492922	AWSOME
10151450219560163_25500223	Zach Bingaman
10151450219560163_25529836	hindi ko kaya tawa ko
10151450219560163_25534563	papoy
10151450219560163_25536268	Samantha Pat Kyle!
10151450219560163_25547707	Jena Cayou-Gilpin
10151450219560163_25548778	Kayla Johnson
10151450219560163_25649598	Si :) @  Omar
10151443067760163_25373984	no
10151443067760163_25374000	Alae Dagh
10151443067760163_25374037	Arianna Neuenkirk omg omg omg omg omg
10151443067760163_25374074	Samantha!!!! DAVE!!!!
10151443067760163_25374242	Maroon 5
10151443067760163_25374246	5,m
10151443067760163_25374251	maronb 45
10151443067760163_25374272	Tasaya Kumpholpakdi
10151443067760163_25374517	omg.. =))
10151443067760163_25374909	it
10151443067760163_25375270	Angelina Goodwin o.O
10151443067760163_25383040	Papoy
10151443067760163_25412173	Tin Olino
10151443067760163_25416056	ShiHan Wang 好白癡
10151428948757592_9858558	Dag!
10151428948757592_9859564	What am I looking at?
10151443077910163_25363619	Andrew May-Lawson look!!!
10151443077910163_25363644	Pinny Elman
10151443077910163_25363658	Rob Roman lol
10151443077910163_25363693	Yay --  I'm a Gru-py!
10151443077910163_25363702	Yay -- I'm a Gru-py.
10151443077910163_25363745	Ankit Kundaliya
10151443077910163_25363770	Tako Tabagari
10151443077910163_25363810	Alyana Shamsi i cant wait o m g
10151443077910163_25363854	Blan Ca
10151443077910163_25363884	Waiting.... :-)
10151443077910163_25363934	Anji Thapa Santona Shrestha .... :)
10151443077910163_25363965	ahhh,,,minions,,,>>boka,,,kakao,,papa john..! :D
10151443077910163_25364122	Zanab Matuqe !!
10151443077910163_25366921	AUTUMN!
10151443077910163_25367173	Look babe !! Ulysses Tamayo
10151443077910163_25367898	Tina Chau
10151443077910163_25368675	waiting..
10151443077910163_25369980	Im waiting badly!!!
10151443077910163_25372246	Shannon Silva
10151443077910163_25376326	KianaLynn Dizon
10151443077910163_25378733	man
10151443077910163_25379228	BABE !! Raymon Santana
10151443077910163_25381400	Runrong Kwan
10151443077910163_25386744	Marlon Dingzon
10151443077910163_25387953	omg omg omg omg... me want 2 see
10151443077910163_25389250	Amalay Florat
10151443077910163_25389278	Amalay Florat
10151443077910163_25403152	lawak minion
10151443077910163_25414198	Stanley Santosa
10151443077910163_25542974	ayos to
10151429000812592_9852567	i saw it
10151429000812592_9852572	<3 it!
10151429000812592_9852854	Abby Isa Zurita
10151429000812592_9853040	Lmao....
10151429000812592_9853335	Gru ! Abhay Apurva Amogh
10151429000812592_9853490	Vishal Sawant
10151429000812592_9853713	omg omg Mel Manning
10151429000812592_9854752	Tanmoy Das :P
10151429000812592_9855463	poyngat
10151429000812592_9856346	Banana
10151429000812592_9858964	I saw it!
10151429000812592_9863339	I saw it lol
10151429000812592_9863704	A☻
10151429000812592_9873793	Santina Isabella
10151429000812592_9878272	omg!
10151429000812592_9928182	Omg
10151429000812592_9991574	omg!
10151428813287592_9851459	papoy ... da da papoy
10151428813287592_9851591	im gonna post it soon..........prob monday
10151428813287592_9851840	PAPOY!!!! :)
10151428813287592_9852000	PAPOY! <3
10151428813287592_9854183	Pagong
10151428304222592_9848404	Nononononononono Papoy!!! Aaaaaahh Papoy!!!! That is my favourite!!! :D
10151428304222592_9848445	Waiting...
10151428304222592_9848463	awwww......luv ya agnes...!!! :*
10151428304222592_9848487	Swarnasankha Singh: Here you go!!!!
10151428304222592_9848513	Omg
10151428304222592_9848651	Iffa Matnawi.
10151428304222592_9848656	:P
10151428304222592_9848663	Angela
10151428304222592_9848944	<3 it <3 it <3
10151428304222592_9849231	Maple Tay  annoying kid XD
10151428304222592_9849259	Zainab Ali :D
10151428304222592_9849671	Anghie Uy
10151428304222592_9849756	Olay!!!!!!!! :D
10151428304222592_9852056	Emma Gramling <3
10151428304222592_9852974	Dina Waguih Nora Wagdy Tarek Anwar
10151428304222592_9853361	Baba Út
10151428304222592_9856484	LOL xP no no not at all <3 -Agnes :p
10151428304222592_9971861	Candy Huang
10151427306717592_9843579	Angelina Goodwin
10151427306717592_9843777	omg!!
10151427306717592_9843865	omg.
10151427306717592_9843901	Katrina
10151427306717592_9843909	AMAZING
10151427306717592_9843961	Maryam
10151427306717592_9844002	Angela Dawn
10151427306717592_9844016	Nina Law
10151427306717592_9844045	Maili Yang Gogo Moua
10151427306717592_9844266	Alainna Hanson lolol
10151427306717592_9844364	AWESOME
10151427306717592_9844447	Arianna Tsikitas
10151427306717592_9844726	Alyssa Wu Xuefang Shirley Hwang Matt Wong Marlon Soyangco
10151427306717592_9844745	Omg Dana Rasmussen
10151427306717592_9844776	Amazinggggg
10151427306717592_9844874	Amazing..!!!!! (:
10151427306717592_9844973	Lmao!
10151427306717592_9845171	Anna, THE ELLEN SONG
10151427306717592_9845199	Lmao.
10151427306717592_9845253	Omg!
10151427306717592_9845310	lmao omg
10151427306717592_9845377	Jan Lyon
10151427306717592_9845701	Karina Rayo
10151427306717592_9846920	Katy Darmon
10151427306717592_9847002	hahaha.that's Mr. Gru! amazing!
10151427306717592_9847005	HAHAHAH I WATCHED THIS Sabrina Lu
10151427306717592_9847369	Ana Amelia Cury
10151427306717592_9847487	omg amazing
10151427306717592_9847634	totoo o drawing?????????????
10151427306717592_9847756	kalaban ni bat man bayan si penguin man
10151427306717592_9847772	omg!!!!!
10151427306717592_9847826	I'm going to pee my pants. hahaha
10151427306717592_9848086	Anonyaa Choudhury Rizowana Hussaini
10151427306717592_9849043	Omg!
10151427306717592_9849255	AHHHHH <3
10151427306717592_9849398	Angel Urias
10151427306717592_9849513	AHAH
10151427306717592_9849904	looks super gay
10200472102578255_5421561	omg <3
10200472102578255_5421643	Angelina Goodwin
10200472102578255_5421713	Adriana Aguilar :)
10200472102578255_5421728	Dayna Hemphill
10200472102578255_5421758	Carol Ingram
10200472102578255_5421822	Zahra & Asma :pP
10200472102578255_5421826	Amalay Florat
10200472102578255_5421847	Abigail Taets
10200472102578255_5422150	Caaaaaaaannooottt freaking WAITTT
10200472102578255_5423056	yay minions
10200472102578255_5423060	Cindy Ayumi Hatsu
10200472102578255_5423530	Taylor Engman!!!!
10200472102578255_5424096	PAPOY!
10200472102578255_5424127	Papoy ?!?!?    OHHHH papoy  !!!!!!! Hilarious !!!!
10200472102578255_5424158	Phim nay hay lam
10200472102578255_5424209	Marilin Samayoa veaaaa
10200472102578255_5424498	Anghie Uy
10200472102578255_5424973	yay popoy!!
10200472102578255_5426180	Chesca Wahahaha!! Oo nga bestie ko, kukulet nung minions. Hahaha!! :))
10200472102578255_5426489	Omggggggg I cant wait!!!!!!!!!!!!
10200472102578255_5428932	m loving it :)
10200472102578255_5441040	I am so making that noise my alarm.
10200472102578255_5451660	Leo Fang Ching !!!!!
10200472102578255_5459494	Mey Posa Jrenh nas ahhhh -.-'
10200472102578255_5459581	Maryna Ret ah ngob
10200472102578255_5469660	Banana.
10200472102578255_5494238	Kyoya Bonafe Hibari Jimwell Delmundo bago nlang kalaban PURPLE NA MINION.
10151418432967592_9799925	Banana
10151418432967592_9799974	banananananana <3
10151418432967592_9799994	Banana!!!
10151418432967592_9799995	Banana <3
10151418432967592_9800004	ba-na-na
10151418432967592_9800038	Omg Lee
10151418432967592_9800043	BA  nana!!!!
10151418432967592_9800070	Everyone like banana ?
10151418432967592_9800117	Ba Na Na!
10151418432967592_9800162	Haha! Banana?
10151418432967592_9800179	Banana! :-)
10151418432967592_9800224	Banana baba nana banana babanana.. Potatooooo!!!!!!... Hahahhah
10151418432967592_9800289	banana?
10151418432967592_9800290	Banana.. I love the banana song
10151418432967592_9800334	Ba-ba-ba, ba-ba-na-nah, ba-ba-ba, ba-ba-na-nah, BA-NA-NAAAA, POTATO LAAAAA
10151418432967592_9800341	Mmmmmm banana bananA BANNAna
10151418432967592_9800453	Karisa:)
10151418432967592_9800466	Ba na na
10151418432967592_9800811	Banana!
10151418432967592_9800892	Ba-ba-ba ba-ba-banana~
10151418432967592_9800906	Banana!!!
10151418432967592_9800920	yo plano 2 like me nono 2 bananana like a suty talimoo i think i dont speak minions
10151418432967592_9800949	Bunana!!!!
10151418432967592_9801024	Banana!!!!!!
10151418432967592_9801034	Banana!
10151418432967592_9801044	banana banana
10151418432967592_9801085	Michele Lim omggg banana~
10151418432967592_9801257	Banana!!!! Papoy!!!
10151418432967592_9801314	banana
10151418432967592_9801665	ba-na-na, ba-na-na-na...
10151418432967592_9801736	lalalalalalala XD
10151418432967592_9801970	ba ba ba ba banana potey-toe
10151418432967592_9802034	banananana~~~
