10151475870412592_10052463	Hanna DeAno
10151328985102592_9139345	rocket
10151328985102592_9139444	Rocket
10151328985102592_9139454	Evil rocket
10151328985102592_9139515	minion rocket
10151328985102592_9139697	minnion rocket
10151328985102592_9139712	Or just a rocket.. :D
10151328985102592_9139718	rocket
10151328985102592_9139762	minion rocket
10151328985102592_9139764	rocket
10151328985102592_9139793	big rocket
10151328985102592_9139820	rocket
10151328985102592_9139831	Rocket
10151328985102592_9139868	Banana Rocket :D
10151328985102592_9140047	A rocket
10151328985102592_9140052	minion rocket
10151328985102592_9140146	Rocket
10151328985102592_9140168	minion rocket
10151328985102592_9140183	minion rocket
10151328985102592_9140204	minion rocket
10151328985102592_9140222	minion rocket !!<3
10151328985102592_9140327	A rocket
10151328985102592_9140433	or rocket
10151328985102592_9140505	rocket
10151328985102592_9140652	Cock rocket!
10151328985102592_9140705	minion rocket
10151328985102592_9140795	rocket
10151328985102592_9141192	Rocket
10151328985102592_9141468	rocket
10151328985102592_9141708	rocket
10151328985102592_9142003	minion rocket
10151328985102592_9142030	a rocket
10151328985102592_9142049	rocket
10151328985102592_9142100	Rocket
10151328985102592_9142347	miniom rocket
10151328985102592_9142373	minion rocket
10151328985102592_9142449	a rocket?
10151328985102592_9142464	rocket
10151328985102592_9142509	minion rocket
10151328985102592_9142535	RPG- Rocket Propelled Gnome
10151328985102592_9142796	minion rocket
10151328985102592_9142843	Rocket
10151328985102592_9143219	minion rocket
10151328985102592_9143226	minion rocket
10151328985102592_9143233	minion rocket
10151328985102592_9143386	Rocket..
10151328985102592_9144031	rocket minion!!!!
10151328985102592_9144033	rocket.
10151328985102592_9144039	rocket
10151328985102592_9144091	Rocket
10151328985102592_9144094	rocket
10151328985102592_9144125	rocket
10151328985102592_9144397	a rocket
10151328985102592_9145202	rocket-minion
10151328985102592_9145544	rocket
10151328985102592_9145603	rocket
10151328985102592_9145673	A rocket?? idk
10151328985102592_9146678	rocket
10151328985102592_9146865	rocket
10151328985102592_9147577	a minion ridig arocket
10151328985102592_9148459	rocket
10151328985102592_9149093	Rocket
10151328985102592_9149420	Blimp/rocket
10151328985102592_9150001	gru's rocket
10151328985102592_9150226	minion rocket
10151328985102592_9150723	rocket
10151328985102592_9152067	minions rocket
10151328985102592_9153316	rocket
10151328985102592_9153447	rocket
10151328985102592_9153834	Rocket?
10151328985102592_9153928	Rocket ?_?
10151328985102592_9154357	rocket
10151328985102592_9154723	Rocket
10151328985102592_9155121	minion rocket
10151328985102592_9155301	minion rocket
10151328985102592_9155311	minion rocket
10151328985102592_9155405	minion rocket
10151328985102592_9155484	minion rocket
10151328985102592_9155598	rocketship
10151328985102592_9155819	rocket
10151328985102592_9156434	rocket
10151328985102592_9156942	a rocket
10151328985102592_9158029	rocket
10151328985102592_9158300	rocket
10151328985102592_9163538	rocket
10151328985102592_9166015	minion rocket
10151328985102592_9170215	minion rocket
10151328985102592_9173852	rocket
10151328985102592_9205500	ira a rocket
10151328985102592_9206075	i mean rocket
10151328985102592_9209911	Rocket
10151328985102592_9268032	a  rocket
10151328985102592_9936833	a rocket
10151328985102592_9972285	a rocket
611106885569534_7359117	Amber Byleckie Sam David Amanda Kim
611106885569534_7359131	lmfao
611106885569534_7359177	bottom . . .
611106885569534_7359622	OMG!! ramsbottom!
611106885569534_7359966	Erika Soltero
611106885569534_7360026	Ha. Bottom!!
611106885569534_7360216	I gotta get me some Minions!
10151326031392592_9117210	Jordan Mesibov Hassan Franklin
10151326031392592_9117241	Kayla Grapensteter
10151326031392592_9117288	HAHA!!! Bottom! :)
10151326031392592_9117343	Haha bottom ;-) lol
10151326031392592_9117620	:)) bottom :))))))
10151326031392592_9117807	Bottom.
10151326031392592_9117925	Bottom !
10151326031392592_9118197	ha, to4no :D apsos en "bari joxovurn" el durs 4i ekel mer nkari mej ;)
10151326031392592_9119072	mr higgenbottom - i am mr higgenbottom
10151326031392592_9119200	Quinna Koch!!! :)
10151326031392592_9120221	Matt Olosky
10151326031392592_9120428	Matt Henley
10151326031392592_9120600	Luv it!!!! HaHaHaHa :)
10151326031392592_9123173	Bottom xD
10151326031392592_9124232	Bottom!!!!
10151326031392592_9125036	bottom !
10151326031392592_9126030	bottom :D
10151326031392592_9131997	Bottom....HAHAHAHAHAHAHAHA!!!!!!!!!!!!
10151326031392592_9144198	bla bla bla bottom
10151326031392592_9150625	bottom.........:D
10151326031392592_9289807	Bottom xD
10151326031392592_9979415	bottom :D
10151325099522592_9112286	Erika Mae omg!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10151325099522592_9112782	Butt.
10151325099522592_9113844	omg
10151325099522592_9114238	ohhhh deveras  !!!!!!!!!!!!!!!!!!!!mmmmmmhhhh
10151325099522592_9148084	Crack kills
10151325099522592_9156077	omg
10151325099522592_9157219	butt..XD
10151325099522592_9174125	Bebe ( Johnny ) me vas a llevar a verla.! ♥
10151325099522592_9181661	'Babydaddy Memo hdp valv !!
10151325099522592_9181755	Ummmm, privacy????? Haha Tori Miller
10151325099522592_9183091	Hanna DeAno
10151325099522592_9184470	I'm exciteeddddd!!!
10151325099522592_9202058	Jennifer Avila
10151325099522592_9229945	My fav.
10151325099522592_9233526	Savannah George
10151325099522592_9245117	Omg so funny
10151325099522592_9255079	Mars Soller
10151325099522592_9884473	odd.
10151318828872592_9082782	GRUsome
10151315760852592_9063073	funny vary funny
10151315760852592_9063953	Fav*
10151315760852592_9220760	smart
10151307513457592_9022466	;) i meant
10151307513457592_9023170	Kathia Farah Sandrine Haddad OH MY GOD LOOOOOL le filmmm sen viien bientoottt guyssssssss :D<3
10151307513457592_9066287	Hi pretty girl...musta?
10151307513457592_9124513	mdrr <3!
10151292529897592_8969574	My fav part!
10151292529897592_8969587	"Knocked overrrrr" - Gru
10151292529897592_8969613	luv u..u r my fav.. <3 <3 <3
10151292529897592_8969638	my fav
10151292529897592_8969648	Knocked ooovverr!- GRU
10151292529897592_8970077	Uppsss!!!
10151292529897592_9003914	utyrve
10151285846802592_8939357	getting so relex
10151283091422592_8918423	perfeck
10151281382522592_8907661	lol my fav. movie
10151281382522592_8912551	my fav dialouge
10151270760792592_8856029	Tara Rumpelstilskin
10151270760792592_8856198	Tori Wellspeak
10151267206667592_8841432	lmfao
10151267206667592_8844910	my favrt...:) :) gru...!!!
10151267206667592_8850255	hugs!
10151265607997592_25049757	Karoletth :3
10151265607997592_25049766	vdd :3
10151259154712592_8807652	my fav
10151253604482592_8779298	Ravens oh ya
10151253604482592_8779312	`i still like da niners
10151253604482592_8779386	gayvens
10151253604482592_8779632	Ravens
10151253604482592_8779950	Ravens suck
10151253604482592_8783959	ravens suck...go 49ers!!!
10151253604482592_8787558	boo!i hate ravens.GO 49ERS!!!!!!!!!!!!!!
10151253604482592_9143700	vbguvfjhyuutghvngjuutyhgjjkdjthgnvbfryuthyghjgygn
10151252841017592_8775264	Omar Navarro
10151252841017592_8775588	rsrsrs...
10151252841017592_8776002	1:09 lift till kick off
10151251799335163_24184116	Matt Karo
10151249833292592_24940988	Ravens
10151249833292592_24940993	Ravens!
10151249833292592_24940995	ravens!!!!!!!!!
10151249833292592_24940998	ravens!
10151249833292592_24941010	Ravens!!!
10151249833292592_24941017	Ravens
10151249833292592_24941042	ravs....all day err day
10151249833292592_24941055	#ravensnation
10151249833292592_24941078	Ravens
10151249833292592_24941080	Ravens ;)
10151249833292592_24941090	Ravens!!
10151249833292592_24941091	Ravens
10151249833292592_24941110	Ravens...
10151249833292592_24941150	Ravens
10151249833292592_24941183	Ravens
10151249833292592_24941202	Ravens
10151249833292592_24941203	Ravens
10151249833292592_24941211	Ravens!!
10151249833292592_24941227	Ravens
10151249833292592_24941243	Ravens
10151249833292592_24941270	Ravens!!!
10151249833292592_24941277	Ravens
10151249833292592_24941281	Ravens.
10151249833292592_24941299	Ravens!!
10151249833292592_24941395	Ravens
10151249833292592_24941404	ravens!!
10151249833292592_24941405	Ravens
10151249833292592_24941429	49's
10151249833292592_24941455	Ravens
10151249833292592_24941520	Ravens!!!
10151249833292592_24941553	niners bitoch
10151249833292592_24941566	Ravens 
10151249833292592_24941615	Ravvens
10151249833292592_24941625	"Ravens, Ravens, Ravens, Ravens!!!!"
10151249833292592_24941651	Ravens!!
10151249833292592_24941661	Ravens
10151249833292592_24941732	Ravens
10151249833292592_24941734	Ravens
10151249833292592_24941739	Ravens !!
10151249833292592_24941740	Ravens!!
10151249833292592_24941779	Ravens :)
10151249833292592_24941834	Ravens!!!
10151249833292592_24941855	Ravens.
10151249833292592_24941920	Ravens
10151249833292592_24942078	Ravens!!
10151249833292592_24942119	ravens!!!!!!!!!!!!!!!!!!!!!
10151249833292592_24942195	Ravens
10151249833292592_24942211	Ravens!
10151249833292592_24942288	Ravens!!!!
10151249833292592_24942400	number 1
10151249833292592_24942510	Ravens!
10151249833292592_24942553	Ravens
10151249833292592_24942665	Ravens!
10151249833292592_24943115	Ravens
10151249833292592_24943427	Ravens
10151249833292592_24943694	Ravens
10151249833292592_24944149	Ravens!!!
10151249833292592_24944168	ravens ravens!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
10151249833292592_24944198	Ravens
10151249833292592_24945012	Ravens
10151249833292592_24946037	Ravens
10151249833292592_24947569	Ravens
10151249833292592_24947606	Ravens
10151249833292592_24948535	Ravens!
10151249833292592_24948601	49rs
10151249833292592_24949162	Ravens
10151249833292592_24949514	Ravens
10151249833292592_24949538	Ravens!!!
10151218956467592_8710773	Ha!
10151210229107592_8661507	Orange and black!!!
10151210229107592_8661659	black silver GOOOOOOOOOOOO LA KINGS
10151210229107592_8661978	black and silver, GO KINGS GO
10151210229107592_8662133	black and silver... bad start kings!
10151210229107592_8662500	Orange and black!
10151210229107592_8663112	Garnet and Black!!!!!
10151206995862592_8655666	oh gru
10151206995862592_8659456	my fav
10151196352667592_8594270	Fernanda Hoffmann
10151196352667592_8661583	WHATTTTttttttTTTTTtTTTtTTttttttt~~~~~????
10151196352667592_8719826	Fernanda Hoffmann
10151192699557592_8561506	Butt!!!
10151192699557592_8562459	Butt!!
10151167477412592_8509156	Bernadett Candyqueen TOMORROW :DDDD
10151167531672592_8502184	Jordan Hanna
10151167531672592_8503303	Matt Koppenhoefer
10151167531672592_8503621	Alejandra , Isabel , Alexandra  :) papple
10151167531672592_8506913	Samma till dig gumman <3
10151167466782592_8443595	my fav movie!!!!!
10151167466782592_8443981	my favv>>
10151167466782592_8444815	Matt Lim
10151167466782592_8448465	swttttt baby girl <3
10151167258002592_8417843	Matt Henley
10151167258002592_8417997	Jordan Hanna
10151166229617592_8519378	tryrrtf    u6utt  yretr   ufu8yy   jyu   hkj      ghghybbbbb    gdtty     jhhhhhhhthgt76rfdddffbbvchbfgjtsgyau7iyo9i9qgguuhygyiuyuuuyyyyuuisyyuayosiytsiyduustsuyadttaydtadtysstratyassrtdrtardytrsasrtdrdtsrrsrdarerssesderadsdreratrsr6yu6aXUIIYUUYUYUYYUYUDUYYYJJYUHGYGHHJHYHHUYU98U88JUUYHHTZGUYUTYUTGTYGYTI7DTYUYGSEFTTTYTDGFDSDYTSDYFTSDYTFDSFRYSDFFRDSFRTYSTD  GTTTTT
10151163194817592_8396752	Annette Achaval
10151163194817592_8396849	,dfsdfgsdhfgjsakjfgsdjhfgsdksjgfd.
286674758119378_1272469	fvr8
296638653785632_1317646	Omgggggggg!! I'm so excitedddd!!! :D.
296638653785632_1320831	omg
296638653785632_1320903	Eryka Hernandez
296638653785632_1321403	Ummmmmmm.... okay,
296638653785632_1321933	:D omg
296638653785632_1322458	ppppppppppppbbbbbbbbbbbbtttttttttttttt HA Ha minionsness
296638653785632_1326240	Maura Olsewski
296638653785632_1327495	Butt, Butt!
10151098592377592_7976868	Isabella Krell soh vc pra like isso
10151098592377592_7976981	Can't Waitttttt :D
10151098592377592_7982640	tnx
10150905247092592_7069178	LOL Matt!!!
10150905247092592_7070782	Gotta get back !!!!!!
10150905247092592_7072273	omg
10150905247092592_7079981	my fav movie
334877493256804_2229590	Y'all stink
10150213981352592_16888828	omg
10150213981352592_16888861	Whatttttttttt
174233335946531_2161882	I likey!
174233335946531_2172351	"Whatttttttttttttttttt". my favorite line
119449558124781_496570	To stop stalker ppl ! Hehe
119449558124781_501506	I have banana envy!!!
182062765146612_2334996	funnnny
480345842591_3593349	1st
480345842591_3593392	1st
176253002408694_2205604	transylvanian
174478352585155_2136024	1st
174478352585155_2136188	21st
109464775793330_210255	Ppp, 0,,
109464775793330_3710004	butt.
109464775793330_3750918	Butt...
150635784983602_1495105	YIPPEE! I'm getting it!
111103725625299_262815	Fart gun is my fav :)
106642439408602_140153	No David 
168238779875531_1947858	i got street smarts
168238779875531_1974007	but i just gotit..ha
172627856098421_2041327	Damn
127555130638085_760937	Rock star!
172531012766214_2041854	1st
134406889945891_989234	i wish i had sleppy kittens
174508205909008_2080180	1st
174508205909008_2080448	Walmart sucks
169109543110317_1989768	kittens
160757893966325_1779484	Hurrr^
130024847056483_850488	"Imma kick your f@cking @ss"
130024847056483_850760	My mom makes black jokes. And Ginger jokes. :D 
130024847056483_851449	Mom: FUCK! Me: Wat!! Mom: I dropped da jalepeños!! Haha
165760553458015_1875293	1st
450152232591_3342649	i got it. :)
450152232591_3410360	i am SO getting that
450152232591_3906265	omg
142596105787865_1224655	my bills
142596105787865_1224763	my bills
142596105787865_1224778	pamela anderson.
142596105787865_1224822	my visa bill!!!
142596105787865_1224852	My bills!!!
142596105787865_1224916	my bills! LOL
142596105787865_1224977	my husband
142596105787865_1225066	My Butt!
142596105787865_1225250	my kids.
142596105787865_1225410	my junk
142596105787865_1225512	all my bills
142596105787865_1225732	my bills
142596105787865_1225745	idiot drivers!!!
142596105787865_1225899	my kids !!
142596105787865_1226271	my fat rolls.
142596105787865_1226362	My bills!!!!!!!!!!!!!!!!!!!!
142596105787865_1226536	My bills!
142596105787865_1226875	my fat!
142596105787865_1226991	my husbands ego.............just kidding
142596105787865_1228496	my bills
142596105787865_1228948	My bills!!!!!!!!!!!!!!!!
142596105787865_1231113	back fat
160554780631514_1717912	i lik ur character she rockz sometimes im just lik her
122045594520642_594464	omg
122045594520642_594876	symbolism
122045594520642_601847	my fav movie
155987431099682_1603013	b nnv mv cmhnfn
155987431099682_1603029	1st
155987431099682_1603056	MINIONS! i lovedddd themmmm
440399612591_3145419	mmhm :)
156239424397450_1574541	Haha i got 2nd
156239424397450_1577849	idr
128496593868975_777711	oh-my-crap.so do i!.:).i Wunt a frikken unicornS!
128496593868975_777743	luv ittttt no homo
128496593868975_777809	Knocked OVER!!!
128496593868975_779791	My fav part!
128496593868975_781049	KNocked ooooverrrrrrr!
162485567099251_1695081	my fav movie ever!! :)
162485567099251_1696441	Gotta have 'em!
431532751375_13743330	gunna get it for xmas!!!
431532751375_13744304	Gotta get it
431532751375_13747546	getting it
152407381448276_1458473	1st
152407381448276_1458553	My fav. part!!!!!!!
152407381448276_1459207	it means like a donkey
152407381448276_1459424	itt mean like a donkey =D
152407381448276_1459453	burro means donkey or jackass
152407381448276_1459531	it means like a donkey
145645118808218_1295684	Knocked Over!!!!
145645118808218_1295688	Knocked Over!!!!
145645118808218_1295739	Fags 
145645118808218_1295777	Uberfags
145645118808218_1295851	Knocked Overrrrrrr! lol
145645118808218_1296830	rockin
145645118808218_1396327	fart!
150987528262115_1406539	LEHAMN BROTHERS!!!!! yuppers
420135297591_2830947	"i said dart gun not fart gun"xD!!
420135297591_2831020	vector is a retardddddddddddddd
420135297591_2846596	OH YEAH!!!!!!!!!!!!! fav. part
